"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","7","a","1215","3","134"
"congruent","1","4","4","l","588","8","134"
"incongruent","1","3","7","l","600","4","134"
"congruent","1","4","8","a","487","4","134"
"congruent","1","3","4","l","413","7","134"
"incongruent","1","1","4","a","544","5","134"
"congruent","1","4","3","l","379","7","134"
"incongruent","1","2","6","l","387","4","134"
"congruent","1","1","3","a","366","2","134"
"incongruent","1","2","4","a","366","6","134"
"congruent","1","3","5","a","410","2","134"
"congruent","1","4","4","l","356","8","134"
"congruent","1","1","2","l","379","3","134"
"incongruent","1","1","4","a","343","5","134"
"incongruent","1","2","5","l","366","3","134"
"incongruent","1","2","4","l","431","2","134"
"congruent","1","3","4","l","514","7","134"
"congruent","1","2","4","a","384","2","134"
"incongruent","1","4","6","l","360","2","134"
"congruent","1","2","6","a","336","4","134"
"congruent","1","3","7","a","426","4","134"
"incongruent","0","3","7","a","392","4","134"
"congruent","1","2","2","l","439","4","134"
"incongruent","1","4","3","a","500","7","134"
"congruent","1","1","4","a","387","3","134"
"congruent","1","3","6","a","419","3","134"
"incongruent","1","4","8","l","387","4","134"
"incongruent","1","3","2","a","498","5","134"
"incongruent","1","4","2","a","585","6","134"
"incongruent","0","3","4","l","399","7","134"
"incongruent","1","3","3","a","592","6","134"
"congruent","1","3","7","a","606","4","134"
"incongruent","1","4","4","a","463","8","134"
"incongruent","1","3","6","l","573","3","134"
"incongruent","1","3","3","a","639","6","134"
"incongruent","1","4","2","a","510","6","134"
"incongruent","1","1","3","a","448","4","134"
"incongruent","1","1","3","a","393","4","134"
"congruent","1","4","8","a","381","4","134"
"incongruent","1","1","3","l","503","2","134"
"incongruent","1","4","4","a","371","8","134"
"congruent","1","4","6","a","437","2","134"
"congruent","1","2","2","l","454","4","134"
"congruent","1","4","7","a","372","3","134"
"incongruent","1","2","3","a","561","5","134"
"congruent","1","4","3","l","386","7","134"
"congruent","1","1","4","l","474","5","134"
"congruent","1","1","3","a","432","2","134"
"congruent","1","2","3","l","406","5","134"
"incongruent","1","1","5","l","592","4","134"
"incongruent","1","1","2","a","434","3","134"
