"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","2","6","l","1023","4","129"
"congruent","1","2","3","l","565","5","129"
"incongruent","1","4","2","a","606","6","129"
"incongruent","1","2","4","a","577","6","129"
"incongruent","1","1","4","a","585","5","129"
"incongruent","1","1","3","a","666","4","129"
"incongruent","1","3","4","a","585","7","129"
"congruent","1","4","8","a","992","4","129"
"congruent","1","1","2","l","611","3","129"
"incongruent","1","2","6","l","590","4","129"
"incongruent","1","4","3","a","743","7","129"
"incongruent","1","2","2","a","705","4","129"
"congruent","1","3","3","l","501","6","129"
"incongruent","1","3","7","l","596","4","129"
"congruent","1","4","7","a","550","3","129"
"congruent","1","2","5","a","630","3","129"
"incongruent","1","3","7","l","459","4","129"
"incongruent","1","2","4","l","593","2","129"
"incongruent","1","4","4","a","542","8","129"
"congruent","1","3","6","a","474","3","129"
"congruent","1","3","6","a","476","3","129"
"congruent","1","4","4","l","471","8","129"
"congruent","1","1","5","a","470","4","129"
"incongruent","1","4","3","a","632","7","129"
"incongruent","1","1","3","a","514","4","129"
"incongruent","1","3","5","l","588","2","129"
"incongruent","1","4","7","l","642","3","129"
"congruent","1","4","3","l","537","7","129"
"congruent","1","2","4","l","595","6","129"
"congruent","1","4","4","l","553","8","129"
"incongruent","1","1","4","l","539","3","129"
"incongruent","1","2","2","a","527","4","129"
"incongruent","1","4","2","a","522","6","129"
"congruent","1","3","2","l","582","5","129"
"congruent","1","4","8","a","414","4","129"
"incongruent","1","1","4","a","432","5","129"
"incongruent","1","2","4","a","436","6","129"
"congruent","1","3","4","l","372","7","129"
"incongruent","1","1","3","l","517","2","129"
"congruent","1","4","6","a","391","2","129"
"incongruent","1","1","5","l","430","4","129"
"congruent","1","1","4","l","521","5","129"
"incongruent","1","1","4","l","450","3","129"
"incongruent","1","1","5","l","422","4","129"
"congruent","1","3","5","a","440","2","129"
"congruent","1","4","7","a","408","3","129"
"congruent","1","1","5","a","374","4","129"
"congruent","1","4","6","a","397","2","129"
"incongruent","1","4","8","l","453","4","129"
"incongruent","1","1","2","a","438","3","129"
"congruent","1","2","4","l","460","6","129"
"congruent","1","1","3","a","428","2","129"
"congruent","1","1","4","a","449","3","129"
"congruent","1","2","6","a","423","4","129"
"congruent","1","3","4","l","432","7","129"
"incongruent","1","3","2","a","438","5","129"
"congruent","1","1","2","l","457","3","129"
"incongruent","1","2","3","a","392","5","129"
"congruent","1","3","3","l","430","6","129"
"congruent","1","3","5","a","408","2","129"
"congruent","1","2","4","a","465","2","129"
"congruent","1","2","4","a","457","2","129"
"incongruent","1","3","3","a","513","6","129"
"congruent","1","4","2","l","501","6","129"
"congruent","1","1","4","l","482","5","129"
"congruent","1","1","4","a","478","3","129"
"incongruent","1","2","3","a","465","5","129"
"incongruent","1","2","5","l","452","3","129"
"congruent","1","4","3","l","466","7","129"
"congruent","1","3","2","l","457","5","129"
"incongruent","1","4","8","l","443","4","129"
"congruent","1","1","3","a","446","2","129"
"congruent","1","1","3","l","397","4","129"
"incongruent","1","3","3","a","517","6","129"
"incongruent","1","2","4","l","507","2","129"
"incongruent","1","4","4","a","476","8","129"
"congruent","1","3","7","a","489","4","129"
"incongruent","1","4","6","l","427","2","129"
"congruent","1","2","2","l","481","4","129"
"incongruent","1","4","6","l","493","2","129"
"congruent","1","2","3","l","461","5","129"
"incongruent","1","3","4","a","504","7","129"
"congruent","1","3","7","a","575","4","129"
"congruent","0","2","6","l","494","4","129"
"congruent","1","2","2","l","454","4","129"
"congruent","1","4","2","l","459","6","129"
"incongruent","1","3","6","l","491","3","129"
"congruent","1","2","5","a","492","3","129"
"incongruent","1","1","3","l","469","2","129"
"incongruent","1","3","5","l","490","2","129"
"incongruent","1","2","5","l","505","3","129"
"incongruent","1","3","2","a","567","5","129"
"incongruent","1","3","6","l","509","3","129"
"incongruent","1","1","2","a","412","3","129"
"incongruent","1","4","7","l","453","3","129"
"congruent","1","1","3","l","513","4","129"
"incongruent","1","3","5","l","476","2","129"
"congruent","1","3","2","l","412","5","129"
"congruent","1","2","2","l","362","4","129"
"congruent","1","1","3","l","409","4","129"
"incongruent","1","3","3","a","410","6","129"
"incongruent","1","4","8","l","409","4","129"
"congruent","1","1","5","a","478","4","129"
"congruent","1","4","7","a","511","3","129"
"congruent","1","2","5","a","481","3","129"
"incongruent","1","2","4","a","479","6","129"
"incongruent","1","4","3","a","476","7","129"
"incongruent","1","3","6","l","496","3","129"
"incongruent","1","2","6","l","458","4","129"
"congruent","1","1","4","l","377","5","129"
"incongruent","1","1","3","l","473","2","129"
"congruent","1","2","5","a","486","3","129"
"congruent","1","1","4","a","394","3","129"
"incongruent","1","1","3","l","395","2","129"
"congruent","1","3","5","a","415","2","129"
"incongruent","1","1","4","l","526","3","129"
"incongruent","1","4","4","a","406","8","129"
"congruent","1","4","2","l","410","6","129"
"incongruent","1","1","4","l","561","3","129"
"incongruent","1","3","4","a","462","7","129"
"incongruent","1","1","5","l","411","4","129"
"incongruent","1","2","4","l","521","2","129"
"incongruent","1","4","7","l","393","3","129"
"congruent","1","3","3","l","444","6","129"
"congruent","1","4","8","a","492","4","129"
"incongruent","1","3","7","l","420","4","129"
"congruent","1","1","3","a","357","2","129"
"congruent","1","4","3","l","314","7","129"
"incongruent","1","3","3","a","397","6","129"
"congruent","1","4","4","l","397","8","129"
"congruent","1","3","4","l","440","7","129"
"incongruent","1","2","5","l","417","3","129"
"incongruent","1","2","2","a","467","4","129"
"congruent","1","2","4","l","417","6","129"
"incongruent","1","4","2","a","382","6","129"
"incongruent","1","4","4","a","462","8","129"
"incongruent","1","2","4","a","430","6","129"
"congruent","1","2","3","l","470","5","129"
"incongruent","1","3","6","l","532","3","129"
