"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","5","a","829","3","153"
"congruent","1","1","3","l","556","4","153"
"incongruent","1","3","7","l","498","4","153"
"incongruent","1","4","8","l","484","4","153"
"congruent","1","1","3","a","408","2","153"
"incongruent","1","2","4","a","475","6","153"
"incongruent","1","2","5","l","766","3","153"
"incongruent","1","2","4","l","530","2","153"
"congruent","1","1","5","a","454","4","153"
"incongruent","1","1","5","l","510","4","153"
"congruent","1","4","4","l","598","8","153"
"incongruent","1","1","2","a","713","3","153"
"congruent","1","3","3","l","419","6","153"
"incongruent","1","4","3","a","444","7","153"
"congruent","1","1","5","a","522","4","153"
"congruent","1","2","4","l","471","6","153"
"incongruent","1","4","7","l","548","3","153"
"incongruent","1","4","8","l","421","4","153"
"incongruent","1","2","3","a","639","5","153"
"incongruent","1","1","4","l","397","3","153"
"congruent","1","4","2","l","457","6","153"
"incongruent","1","3","5","l","439","2","153"
"congruent","1","4","3","l","356","7","153"
"incongruent","1","2","5","l","460","3","153"
"incongruent","1","2","2","a","509","4","153"
"incongruent","1","3","2","a","372","5","153"
"congruent","1","2","5","a","570","3","153"
"congruent","1","2","2","l","481","4","153"
"congruent","1","2","6","a","573","4","153"
"congruent","1","4","4","l","310","8","153"
"congruent","1","1","3","l","427","4","153"
"congruent","1","3","3","l","503","6","153"
"incongruent","1","3","4","a","450","7","153"
"congruent","1","3","6","a","443","3","153"
"congruent","1","4","6","a","355","2","153"
"incongruent","1","3","5","l","383","2","153"
"congruent","1","1","4","a","381","3","153"
"incongruent","1","2","6","l","366","4","153"
"incongruent","1","1","4","a","372","5","153"
"congruent","1","2","4","a","530","2","153"
"incongruent","1","3","6","l","335","3","153"
"incongruent","1","1","3","l","579","2","153"
"incongruent","1","4","4","a","388","8","153"
"congruent","1","3","4","l","356","7","153"
"congruent","1","1","2","l","499","3","153"
"congruent","1","2","6","a","408","4","153"
"congruent","1","3","5","a","471","2","153"
"incongruent","1","3","7","l","411","4","153"
"congruent","1","4","2","l","405","6","153"
"incongruent","1","4","2","a","608","6","153"
"incongruent","1","4","6","l","362","2","153"
"incongruent","1","3","3","a","552","6","153"
"congruent","1","2","4","a","474","2","153"
"congruent","1","3","5","a","2","2","153"
"incongruent","1","3","2","a","826","5","153"
"incongruent","1","2","4","a","528","6","153"
"congruent","1","1","4","a","506","3","153"
"congruent","1","1","2","l","478","3","153"
"congruent","1","4","8","a","494","4","153"
"incongruent","1","4","2","a","779","6","153"
"incongruent","1","2","2","a","556","4","153"
"incongruent","1","4","6","l","424","2","153"
"congruent","1","2","3","l","459","5","153"
"incongruent","1","3","4","a","420","7","153"
"incongruent","1","1","2","a","626","3","153"
"incongruent","1","1","3","a","458","4","153"
"congruent","1","4","8","a","388","4","153"
"congruent","1","4","7","a","418","3","153"
"incongruent","1","3","6","l","400","3","153"
"congruent","1","2","2","l","442","4","153"
"congruent","1","4","7","a","377","3","153"
"incongruent","1","2","3","a","500","5","153"
"congruent","1","2","3","l","415","5","153"
"congruent","1","3","4","l","365","7","153"
"incongruent","1","2","4","l","492","2","153"
"congruent","1","3","7","a","321","4","153"
"congruent","1","4","3","l","328","7","153"
"congruent","1","3","6","a","394","3","153"
"congruent","1","1","4","l","515","5","153"
"incongruent","1","2","6","l","529","4","153"
"incongruent","1","1","5","l","327","4","153"
"congruent","1","3","2","l","396","5","153"
"incongruent","1","1","4","a","431","5","153"
"incongruent","1","4","4","a","392","8","153"
"incongruent","1","1","4","l","357","3","153"
"congruent","1","3","2","l","373","5","153"
"incongruent","1","1","3","l","404","2","153"
"congruent","1","1","3","a","456","2","153"
"incongruent","1","3","3","a","415","6","153"
"congruent","1","1","4","l","399","5","153"
"congruent","1","2","4","l","483","6","153"
"incongruent","1","4","3","a","488","7","153"
"congruent","1","3","7","a","483","4","153"
"congruent","1","4","6","a","475","2","153"
"incongruent","1","1","3","a","482","4","153"
"incongruent","1","4","7","l","430","3","153"
"incongruent","1","3","6","l","414","3","153"
"incongruent","1","4","8","l","503","4","153"
"incongruent","1","1","4","l","436","3","153"
"incongruent","0","4","3","l","420","7","153"
"congruent","1","3","7","a","574","4","153"
"congruent","1","3","2","l","390","5","153"
"congruent","1","2","4","a","436","2","153"
"incongruent","1","4","4","a","425","8","153"
"incongruent","1","4","4","a","419","8","153"
"incongruent","1","4","6","l","478","2","153"
"congruent","1","4","4","l","346","8","153"
"incongruent","1","2","6","l","458","4","153"
"incongruent","1","2","4","a","343","6","153"
"incongruent","1","2","4","l","366","2","153"
"congruent","1","4","3","l","469","7","153"
"congruent","1","4","3","l","339","7","153"
"incongruent","1","3","5","l","583","2","153"
"congruent","1","1","2","l","595","3","153"
"incongruent","1","2","2","a","559","4","153"
"incongruent","1","4","6","l","375","2","153"
"congruent","1","2","3","l","419","5","153"
"congruent","1","1","2","l","467","3","153"
"congruent","1","1","4","a","407","3","153"
"congruent","1","2","6","a","411","4","153"
"congruent","1","2","2","l","389","4","153"
"incongruent","1","1","4","a","567","5","153"
"congruent","1","4","2","l","403","6","153"
"congruent","1","3","6","a","409","3","153"
"congruent","1","4","6","a","380","2","153"
"incongruent","1","1","5","l","356","4","153"
"congruent","1","2","5","a","455","3","153"
"incongruent","1","1","4","l","306","3","153"
"incongruent","1","4","2","a","310","6","153"
"congruent","0","3","5","l","282","2","153"
"congruent","1","2","5","a","487","3","153"
"incongruent","1","2","4","l","483","2","153"
"congruent","1","2","6","a","455","4","153"
"congruent","1","1","3","a","477","2","153"
"incongruent","1","3","4","a","466","7","153"
"congruent","1","3","5","a","361","2","153"
"incongruent","1","3","5","l","557","2","153"
"congruent","1","2","4","l","458","6","153"
"congruent","1","3","4","l","474","7","153"
"congruent","1","3","4","l","387","7","153"
"congruent","1","1","3","l","426","4","153"
"incongruent","1","3","6","l","508","3","153"
"congruent","1","4","7","a","456","3","153"
"incongruent","1","4","8","l","446","4","153"
"congruent","1","4","8","a","587","4","153"
"incongruent","1","4","3","a","631","7","153"
"congruent","1","2","2","l","389","4","153"
"congruent","1","3","3","l","387","6","153"
"congruent","1","1","3","l","396","4","153"
"incongruent","1","3","2","a","486","5","153"
"congruent","1","4","8","a","529","4","153"
"congruent","1","1","4","a","489","3","153"
"congruent","0","1","4","a","416","5","153"
"congruent","1","2","4","l","984","6","153"
"incongruent","1","1","3","a","940","4","153"
"incongruent","1","1","2","a","498","3","153"
"incongruent","1","1","5","l","478","4","153"
"congruent","1","2","4","a","438","2","153"
"incongruent","1","1","4","a","377","5","153"
"incongruent","1","1","2","a","423","3","153"
"incongruent","0","2","5","a","389","3","153"
"incongruent","1","3","4","a","718","7","153"
"congruent","1","3","3","l","406","6","153"
"congruent","1","1","5","a","430","4","153"
"congruent","1","1","3","a","502","2","153"
"congruent","1","1","4","l","518","5","153"
"incongruent","1","1","3","a","428","4","153"
"congruent","1","3","6","a","634","3","153"
"congruent","1","4","2","l","462","6","153"
"incongruent","1","2","5","l","410","3","153"
"congruent","1","4","4","l","449","8","153"
"incongruent","1","2","2","a","574","4","153"
"incongruent","1","4","7","l","469","3","153"
"congruent","1","1","5","a","541","4","153"
"incongruent","1","2","3","a","583","5","153"
"incongruent","1","3","3","a","331","6","153"
"incongruent","1","2","3","a","392","5","153"
"incongruent","1","4","2","a","606","6","153"
"congruent","1","2","3","l","419","5","153"
"incongruent","1","2","6","l","426","4","153"
"congruent","1","4","7","a","445","3","153"
"incongruent","1","3","2","a","609","5","153"
"incongruent","1","3","7","l","398","4","153"
"incongruent","1","4","7","l","515","3","153"
"incongruent","1","1","3","l","458","2","153"
"congruent","1","4","6","a","415","2","153"
"incongruent","1","3","7","l","388","4","153"
"incongruent","1","2","4","a","532","6","153"
"incongruent","1","1","3","l","414","2","153"
"congruent","1","3","2","l","427","5","153"
"incongruent","1","3","3","a","457","6","153"
"congruent","1","3","7","a","354","4","153"
"congruent","1","2","3","l","549","5","153"
"incongruent","1","1","3","l","406","2","153"
"congruent","1","1","4","a","429","3","153"
"congruent","1","2","6","a","355","4","153"
"incongruent","1","3","4","a","337","7","153"
"congruent","1","4","6","a","374","2","153"
"incongruent","1","4","3","a","778","7","153"
"congruent","1","3","5","a","414","2","153"
"congruent","1","2","2","l","498","4","153"
"congruent","1","4","3","l","550","7","153"
"congruent","1","3","4","l","345","7","153"
"congruent","1","4","8","a","423","4","153"
"congruent","1","3","4","l","358","7","153"
"congruent","1","2","4","l","433","6","153"
"congruent","1","3","2","l","379","5","153"
"congruent","1","2","5","a","447","3","153"
"incongruent","1","2","4","l","462","2","153"
"incongruent","1","2","4","a","510","6","153"
"incongruent","1","3","3","a","440","6","153"
"incongruent","1","4","6","l","572","2","153"
"congruent","1","1","3","a","593","2","153"
"incongruent","1","2","3","a","473","5","153"
"congruent","1","1","2","l","350","3","153"
"incongruent","1","1","4","l","331","3","153"
"congruent","1","4","4","l","349","8","153"
"incongruent","1","1","5","l","289","4","153"
"congruent","1","4","4","l","401","8","153"
"congruent","1","1","5","a","398","4","153"
"congruent","1","1","4","l","323","5","153"
"incongruent","1","2","4","l","508","2","153"
"congruent","1","3","3","l","326","6","153"
"congruent","1","4","3","l","481","7","153"
"congruent","1","2","3","l","516","5","153"
"incongruent","1","2","2","a","590","4","153"
"incongruent","1","1","3","l","302","2","153"
"incongruent","1","3","5","l","377","2","153"
"congruent","1","1","4","a","422","3","153"
"congruent","0","4","8","l","285","4","153"
"incongruent","1","1","4","l","504","3","153"
"incongruent","1","2","6","l","414","4","153"
"incongruent","1","3","2","a","446","5","153"
"incongruent","1","4","7","l","709","3","153"
"congruent","1","2","2","l","385","4","153"
"congruent","1","3","2","l","369","5","153"
"congruent","1","1","3","l","346","4","153"
"congruent","1","1","5","a","502","4","153"
"incongruent","1","4","4","a","385","8","153"
"incongruent","1","2","4","a","460","6","153"
"incongruent","1","3","5","l","386","2","153"
"incongruent","1","3","6","l","426","3","153"
"incongruent","1","3","2","a","510","5","153"
"congruent","1","3","6","a","472","3","153"
"incongruent","1","3","3","a","376","6","153"
"incongruent","1","2","5","l","347","3","153"
"congruent","1","2","4","a","422","2","153"
"incongruent","1","1","2","a","480","3","153"
"incongruent","1","4","7","l","397","3","153"
"incongruent","1","4","3","a","811","7","153"
"congruent","1","3","7","a","593","4","153"
"congruent","1","4","2","l","380","6","153"
"incongruent","1","4","2","a","463","6","153"
"incongruent","1","2","5","l","365","3","153"
"incongruent","1","1","3","a","366","4","153"
"incongruent","1","1","4","a","497","5","153"
"congruent","0","1","4","a","601","5","153"
"congruent","1","3","6","a","721","3","153"
"incongruent","1","4","2","a","648","6","153"
"incongruent","1","4","8","l","549","4","153"
"incongruent","1","4","8","l","481","4","153"
"incongruent","1","2","3","a","543","5","153"
"incongruent","1","1","2","a","553","3","153"
"incongruent","1","1","5","l","477","4","153"
"congruent","1","1","3","a","469","2","153"
"incongruent","1","3","7","l","493","4","153"
"congruent","1","3","5","a","421","2","153"
"congruent","1","1","2","l","395","3","153"
"congruent","1","1","3","l","364","4","153"
"congruent","1","3","3","l","386","6","153"
"congruent","1","2","4","a","382","2","153"
"incongruent","1","2","6","l","373","4","153"
"congruent","1","4","6","a","517","2","153"
"incongruent","1","3","7","l","550","4","153"
"congruent","1","2","5","a","398","3","153"
"congruent","1","4","7","a","513","3","153"
"congruent","1","4","2","l","397","6","153"
"incongruent","1","4","6","l","626","2","153"
"incongruent","1","3","6","l","608","3","153"
"incongruent","1","4","4","a","482","8","153"
"congruent","1","4","7","a","440","3","153"
"incongruent","1","1","4","a","575","5","153"
"incongruent","1","2","2","a","474","4","153"
"incongruent","1","1","3","a","936","4","153"
"incongruent","1","3","4","a","686","7","153"
"congruent","1","3","7","a","447","4","153"
"congruent","1","2","6","a","682","4","153"
"congruent","1","2","4","l","501","6","153"
"incongruent","1","1","3","a","568","4","153"
"congruent","1","1","2","l","346","3","153"
"congruent","1","3","6","a","415","3","153"
"incongruent","1","1","5","l","308","4","153"
"incongruent","1","3","4","a","312","7","153"
"incongruent","1","1","4","a","419","5","153"
"incongruent","1","2","4","l","903","2","153"
"incongruent","1","3","5","l","394","2","153"
"congruent","1","1","3","a","517","2","153"
"congruent","1","2","3","l","392","5","153"
"congruent","1","2","3","l","385","5","153"
"incongruent","0","4","7","a","430","3","153"
"incongruent","1","1","3","a","553","4","153"
"incongruent","1","3","5","l","399","2","153"
"congruent","1","3","4","l","558","7","153"
"incongruent","1","1","4","l","441","3","153"
"incongruent","1","4","3","a","767","7","153"
"congruent","1","2","4","l","429","6","153"
"congruent","1","3","2","l","582","5","153"
"incongruent","1","3","7","l","426","4","153"
"incongruent","1","3","6","l","409","3","153"
"congruent","1","4","7","a","478","3","153"
"incongruent","1","1","2","a","504","3","153"
"congruent","1","2","6","a","425","4","153"
"incongruent","1","4","2","a","448","6","153"
"congruent","1","2","2","l","509","4","153"
"congruent","1","2","5","a","522","3","153"
"congruent","1","4","8","a","473","4","153"
"congruent","1","1","4","l","356","5","153"
"congruent","1","2","2","l","362","4","153"
"congruent","1","2","6","a","508","4","153"
"incongruent","1","1","4","l","433","3","153"
"congruent","1","3","3","l","353","6","153"
"congruent","1","3","6","a","480","3","153"
"congruent","1","3","5","a","415","2","153"
"incongruent","1","2","4","a","583","6","153"
"congruent","1","3","7","a","351","4","153"
"congruent","1","4","3","l","348","7","153"
"congruent","1","1","4","a","462","3","153"
"congruent","1","2","4","a","368","2","153"
"incongruent","1","4","2","a","338","6","153"
"incongruent","1","1","3","l","501","2","153"
"congruent","1","4","8","a","485","4","153"
"incongruent","1","4","7","l","268","3","153"
"incongruent","1","3","3","a","304","6","153"
"congruent","1","1","3","l","285","4","153"
"incongruent","1","1","5","l","489","4","153"
"congruent","1","4","6","a","396","2","153"
"congruent","1","1","5","a","423","4","153"
"congruent","1","3","4","l","373","7","153"
"congruent","1","4","4","l","351","8","153"
"incongruent","1","4","6","l","352","2","153"
"incongruent","1","1","4","a","400","5","153"
"incongruent","1","2","3","a","369","5","153"
"congruent","1","3","5","a","399","2","153"
"incongruent","1","3","6","l","460","3","153"
"incongruent","1","2","3","a","484","5","153"
"incongruent","1","4","4","a","428","8","153"
"incongruent","1","2","4","l","628","2","153"
"incongruent","1","2","6","l","373","4","153"
"congruent","1","2","5","a","437","3","153"
"congruent","1","4","2","l","516","6","153"
"incongruent","1","4","3","a","316","7","153"
"congruent","1","1","5","a","536","4","153"
"congruent","1","4","7","a","384","3","153"
"congruent","1","3","2","l","380","5","153"
"congruent","1","1","3","l","345","4","153"
"incongruent","1","3","2","a","437","5","153"
"incongruent","1","4","6","l","324","2","153"
"incongruent","1","4","4","a","389","8","153"
"congruent","0","4","6","l","303","2","153"
"congruent","1","2","4","a","461","2","153"
"incongruent","1","1","2","a","528","3","153"
"congruent","1","1","4","a","361","3","153"
"incongruent","1","2","6","l","431","4","153"
"congruent","1","4","2","l","425","6","153"
"incongruent","1","1","3","l","536","2","153"
"incongruent","1","2","2","a","397","4","153"
"incongruent","1","2","5","l","357","3","153"
"incongruent","0","3","4","l","471","7","153"
"congruent","1","3","7","a","1042","4","153"
"incongruent","1","2","4","a","548","6","153"
"congruent","1","4","3","l","435","7","153"
"incongruent","1","4","8","l","424","4","153"
"incongruent","1","2","5","l","480","3","153"
"congruent","1","3","3","l","505","6","153"
"congruent","0","1","2","a","567","3","153"
"incongruent","1","2","2","a","1170","4","153"
"congruent","1","1","4","l","507","5","153"
"congruent","1","1","3","a","565","2","153"
"incongruent","1","3","2","a","529","5","153"
"congruent","1","4","4","l","467","8","153"
"incongruent","1","3","3","a","702","6","153"
"incongruent","1","3","7","l","459","4","153"
"incongruent","1","4","8","l","375","4","153"
"congruent","1","2","4","l","384","6","153"
