"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","2","3","a","1712","5","147"
"congruent","1","4","6","a","979","2","147"
"congruent","1","4","8","a","659","4","147"
"incongruent","1","4","8","l","806","4","147"
"incongruent","1","3","6","l","691","3","147"
"incongruent","1","4","2","a","751","6","147"
"congruent","1","3","5","a","548","2","147"
"incongruent","1","2","5","l","724","3","147"
"congruent","1","2","3","l","706","5","147"
"incongruent","1","2","6","l","819","4","147"
"incongruent","1","1","2","a","511","3","147"
"congruent","1","2","4","a","552","2","147"
"incongruent","1","3","7","l","751","4","147"
"congruent","1","1","4","l","751","5","147"
"incongruent","1","4","6","l","521","2","147"
"incongruent","1","3","3","a","574","6","147"
"incongruent","1","1","5","l","488","4","147"
"congruent","1","2","6","a","434","4","147"
"congruent","1","1","2","l","407","3","147"
"congruent","1","4","2","l","644","6","147"
"congruent","1","3","6","a","578","3","147"
"congruent","1","1","4","a","555","3","147"
"congruent","1","1","2","l","494","3","147"
"incongruent","1","1","3","l","594","2","147"
"incongruent","1","4","4","a","559","8","147"
"congruent","1","4","3","l","575","7","147"
"incongruent","1","2","4","l","860","2","147"
"congruent","1","3","6","a","655","3","147"
"congruent","1","2","4","l","607","6","147"
"congruent","1","2","5","a","647","3","147"
"incongruent","0","4","3","l","685","7","147"
"incongruent","1","1","4","a","833","5","147"
"congruent","1","1","4","a","728","3","147"
"incongruent","1","3","6","l","602","3","147"
"incongruent","1","2","4","a","575","6","147"
"congruent","1","4","4","l","711","8","147"
"congruent","1","2","5","a","487","3","147"
"incongruent","1","1","4","l","732","3","147"
"incongruent","1","3","2","a","758","5","147"
"congruent","1","3","3","l","637","6","147"
"congruent","1","4","8","a","496","4","147"
"congruent","1","3","3","l","665","6","147"
"incongruent","1","3","4","a","415","7","147"
"incongruent","1","3","3","a","756","6","147"
"incongruent","1","3","5","l","663","2","147"
"incongruent","1","1","3","a","472","4","147"
"incongruent","1","1","3","a","531","4","147"
"congruent","1","1","4","l","502","5","147"
"congruent","1","4","2","l","580","6","147"
