"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","6","l","1248","3","127"
"incongruent","1","2","4","l","969","2","127"
"incongruent","1","1","3","l","682","2","127"
"congruent","1","4","3","l","597","7","127"
"congruent","1","1","2","l","539","3","127"
"congruent","1","2","4","l","544","6","127"
"congruent","1","1","4","a","614","3","127"
"congruent","1","2","5","a","649","3","127"
"incongruent","1","4","8","l","439","4","127"
"congruent","1","1","4","l","623","5","127"
"incongruent","1","1","4","a","516","5","127"
"congruent","1","4","7","a","479","3","127"
"congruent","1","1","3","a","2","2","127"
"incongruent","1","2","4","l","811","2","127"
"incongruent","1","1","2","a","669","3","127"
"incongruent","1","3","2","a","930","5","127"
"incongruent","1","2","4","a","906","6","127"
"incongruent","1","4","3","a","993","7","127"
"incongruent","1","1","2","a","831","3","127"
"incongruent","1","2","4","a","934","6","127"
"incongruent","1","4","6","l","637","2","127"
"congruent","1","2","4","l","606","6","127"
"congruent","1","4","2","l","495","6","127"
"incongruent","1","4","2","a","735","6","127"
"congruent","1","1","5","a","547","4","127"
"incongruent","1","3","5","l","671","2","127"
"congruent","1","3","4","l","507","7","127"
"congruent","1","1","3","l","621","4","127"
"incongruent","1","4","4","a","576","8","127"
"congruent","1","4","2","l","458","6","127"
"congruent","1","4","4","l","471","8","127"
"congruent","1","4","4","l","427","8","127"
"incongruent","1","4","3","a","499","7","127"
"incongruent","1","3","4","a","624","7","127"
"congruent","1","3","7","a","2","4","127"
"incongruent","0","2","5","a","4","3","127"
"congruent","1","3","3","l","720","6","127"
"incongruent","1","2","3","a","1002","5","127"
"congruent","1","4","3","l","461","7","127"
"congruent","1","4","6","a","527","2","127"
"incongruent","1","1","5","l","422","4","127"
"congruent","1","4","6","a","462","2","127"
"incongruent","1","4","4","a","730","8","127"
"congruent","1","2","6","a","506","4","127"
"incongruent","1","3","3","a","751","6","127"
"incongruent","1","2","6","l","433","4","127"
"incongruent","1","1","3","a","605","4","127"
"congruent","1","2","5","a","610","3","127"
"incongruent","1","3","2","a","762","5","127"
"incongruent","1","1","3","a","625","4","127"
"incongruent","1","2","2","a","713","4","127"
"congruent","1","3","6","a","473","3","127"
"congruent","1","3","5","a","569","2","127"
"incongruent","1","3","3","a","730","6","127"
"congruent","1","3","2","l","437","5","127"
"congruent","1","1","5","a","377","4","127"
"congruent","1","3","6","a","494","3","127"
"congruent","1","3","3","l","463","6","127"
"incongruent","1","1","5","l","512","4","127"
"incongruent","1","3","6","l","488","3","127"
"incongruent","0","3","7","a","480","4","127"
