"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","4","a","1562","7","140"
"incongruent","1","3","5","l","1304","2","140"
"congruent","1","1","4","l","826","5","140"
"incongruent","1","3","2","a","853","5","140"
"congruent","1","4","6","a","744","2","140"
"incongruent","1","1","4","l","650","3","140"
"congruent","1","1","3","l","831","4","140"
"incongruent","1","4","2","a","675","6","140"
"congruent","1","4","3","l","626","7","140"
"incongruent","1","3","6","l","735","3","140"
"congruent","1","2","4","a","544","2","140"
"incongruent","0","3","3","l","598","6","140"
"congruent","1","3","3","l","1043","6","140"
"congruent","1","4","4","l","807","8","140"
"congruent","1","3","2","l","875","5","140"
"incongruent","1","1","3","l","642","2","140"
"incongruent","1","4","4","a","773","8","140"
"congruent","1","4","4","l","620","8","140"
"incongruent","1","1","4","a","557","5","140"
"congruent","1","4","2","l","467","6","140"
"congruent","1","2","4","l","655","6","140"
"congruent","1","1","4","a","543","3","140"
"incongruent","1","4","2","a","514","6","140"
"incongruent","1","1","3","a","784","4","140"
"incongruent","1","2","5","l","589","3","140"
"incongruent","1","2","2","a","472","4","140"
"congruent","1","1","2","l","862","3","140"
"incongruent","1","2","5","l","827","3","140"
"congruent","1","3","3","l","732","6","140"
"incongruent","0","2","4","a","585","2","140"
"incongruent","1","1","2","a","579","3","140"
"incongruent","1","4","3","a","582","7","140"
"congruent","1","3","4","l","671","7","140"
"incongruent","1","2","3","a","615","5","140"
"congruent","1","2","3","l","550","5","140"
"congruent","1","4","8","a","536","4","140"
"congruent","1","1","5","a","696","4","140"
"congruent","1","1","5","a","770","4","140"
"incongruent","1","3","7","l","598","4","140"
"congruent","1","3","7","a","869","4","140"
"congruent","1","4","2","l","664","6","140"
"congruent","1","4","7","a","554","3","140"
"congruent","1","3","5","a","471","2","140"
"congruent","1","3","4","l","566","7","140"
"incongruent","1","3","7","l","518","4","140"
"congruent","1","2","5","a","518","3","140"
"congruent","1","1","3","a","568","2","140"
"incongruent","1","2","2","a","635","4","140"
"incongruent","1","1","4","a","562","5","140"
"incongruent","1","2","4","l","696","2","140"
"incongruent","1","1","3","a","661","4","140"
"incongruent","1","1","3","l","707","2","140"
"incongruent","1","4","6","l","621","2","140"
"incongruent","1","1","4","l","743","3","140"
"incongruent","1","2","4","a","616","6","140"
"incongruent","1","1","5","l","559","4","140"
"congruent","1","1","2","l","852","3","140"
"congruent","1","2","2","l","634","4","140"
"congruent","1","4","7","a","529","3","140"
"incongruent","1","3","6","l","635","3","140"
"congruent","1","2","3","l","755","5","140"
"incongruent","1","4","8","l","667","4","140"
"congruent","1","2","6","a","665","4","140"
"congruent","1","1","4","a","622","3","140"
"congruent","1","3","7","a","752","4","140"
"incongruent","1","3","5","l","558","2","140"
"incongruent","1","4","7","l","769","3","140"
"incongruent","1","2","4","a","550","6","140"
"incongruent","1","4","6","l","623","2","140"
"incongruent","1","2","6","l","596","4","140"
"congruent","1","4","8","a","760","4","140"
"congruent","1","2","4","a","747","2","140"
"congruent","1","3","5","a","1141","2","140"
"congruent","1","2","2","l","549","4","140"
"incongruent","1","4","3","a","699","7","140"
"incongruent","1","4","4","a","696","8","140"
"incongruent","1","3","2","a","648","5","140"
"congruent","1","1","3","a","757","2","140"
"incongruent","1","3","3","a","692","6","140"
"incongruent","1","1","5","l","566","4","140"
"congruent","1","4","6","a","631","2","140"
