"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","1","4","l","1035","3","143"
"incongruent","1","2","6","l","596","4","143"
"incongruent","1","4","6","l","538","2","143"
"congruent","1","4","7","a","404","3","143"
"incongruent","1","1","3","a","663","4","143"
"congruent","1","4","4","l","446","8","143"
"congruent","1","1","2","l","604","3","143"
"congruent","1","1","4","a","425","3","143"
"incongruent","1","2","3","a","481","5","143"
"congruent","1","2","2","l","585","4","143"
"incongruent","1","3","3","a","647","6","143"
"incongruent","1","4","6","l","534","2","143"
"incongruent","1","1","2","a","673","3","143"
"incongruent","1","1","5","l","618","4","143"
"incongruent","1","4","7","l","571","3","143"
"incongruent","1","3","3","a","481","6","143"
"congruent","1","1","5","a","434","4","143"
"incongruent","1","3","4","a","451","7","143"
"congruent","1","3","2","l","543","5","143"
"congruent","1","1","5","a","433","4","143"
"incongruent","1","4","4","a","523","8","143"
"congruent","1","4","7","a","401","3","143"
"incongruent","1","3","5","l","542","2","143"
"congruent","1","3","4","l","426","7","143"
"congruent","1","3","4","l","433","7","143"
"incongruent","1","4","2","a","432","6","143"
"incongruent","1","1","3","l","408","2","143"
"congruent","1","2","6","a","448","4","143"
"incongruent","1","1","5","l","464","4","143"
"congruent","1","4","3","l","402","7","143"
"congruent","1","3","7","a","479","4","143"
"incongruent","1","2","4","l","447","2","143"
"congruent","1","2","5","a","488","3","143"
"congruent","1","2","4","l","399","6","143"
"incongruent","1","4","8","l","547","4","143"
"congruent","1","2","3","l","388","5","143"
"incongruent","1","2","3","a","590","5","143"
"incongruent","1","3","5","l","441","2","143"
"congruent","1","3","3","l","387","6","143"
"congruent","1","1","4","l","474","5","143"
"incongruent","0","2","2","l","371","4","143"
"incongruent","1","1","3","l","529","2","143"
"incongruent","1","2","5","l","585","3","143"
"congruent","1","3","2","l","427","5","143"
"congruent","1","2","3","l","692","5","143"
"congruent","1","4","8","a","419","4","143"
"incongruent","1","3","2","a","524","5","143"
"congruent","1","4","3","l","434","7","143"
"incongruent","1","2","4","a","425","6","143"
"congruent","1","4","2","l","401","6","143"
"incongruent","1","2","4","a","410","6","143"
"congruent","1","1","4","a","395","3","143"
"incongruent","1","3","4","a","443","7","143"
"incongruent","1","1","4","l","567","3","143"
