"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","3","5","a","1174","2","151"
"congruent","1","2","5","a","792","3","151"
"congruent","1","1","3","l","708","4","151"
"incongruent","1","2","6","l","703","4","151"
"congruent","1","1","4","a","551","3","151"
"incongruent","1","2","5","l","551","3","151"
"incongruent","1","4","6","l","588","2","151"
"incongruent","1","4","8","l","453","4","151"
"incongruent","1","2","4","l","589","2","151"
"incongruent","1","4","2","a","479","6","151"
"congruent","1","4","8","a","547","4","151"
"congruent","1","1","5","a","659","4","151"
"incongruent","1","4","7","l","716","3","151"
"incongruent","1","2","5","l","483","3","151"
"congruent","1","4","3","l","476","7","151"
"incongruent","1","4","2","a","641","6","151"
"incongruent","1","2","3","a","555","5","151"
"incongruent","1","1","4","l","724","3","151"
"congruent","1","2","6","a","552","4","151"
"incongruent","1","1","3","a","555","4","151"
"congruent","1","1","3","a","500","2","151"
"congruent","1","4","2","l","487","6","151"
"congruent","1","1","3","a","440","2","151"
"incongruent","1","1","3","l","471","2","151"
"congruent","1","2","6","a","394","4","151"
"incongruent","1","3","2","a","614","5","151"
"incongruent","1","4","8","l","454","4","151"
"incongruent","1","4","4","a","477","8","151"
"incongruent","1","3","7","l","729","4","151"
"incongruent","1","4","7","l","557","3","151"
"congruent","1","2","4","a","503","2","151"
"congruent","1","1","4","a","610","3","151"
"congruent","1","3","2","l","456","5","151"
"congruent","1","3","5","a","504","2","151"
"incongruent","1","1","3","a","601","4","151"
"incongruent","1","1","4","a","506","5","151"
"congruent","1","1","2","l","463","3","151"
"incongruent","1","1","4","l","461","3","151"
"incongruent","1","2","2","a","681","4","151"
"congruent","1","1","4","l","487","5","151"
"incongruent","1","1","2","a","592","3","151"
"congruent","1","4","6","a","473","2","151"
"incongruent","1","3","5","l","486","2","151"
"incongruent","1","3","7","l","459","4","151"
"congruent","1","3","7","a","608","4","151"
"incongruent","1","2","4","a","578","6","151"
"congruent","1","4","8","a","425","4","151"
"incongruent","1","1","5","l","549","4","151"
"congruent","1","4","4","l","553","8","151"
"congruent","1","2","5","a","438","3","151"
"incongruent","1","2","4","a","410","6","151"
"congruent","1","4","6","a","460","2","151"
"congruent","1","3","6","a","428","3","151"
"congruent","1","2","3","l","366","5","151"
"congruent","1","3","4","l","419","7","151"
"congruent","1","1","4","l","404","5","151"
"congruent","1","3","2","l","435","5","151"
"congruent","1","4","7","a","470","3","151"
"congruent","1","4","3","l","390","7","151"
"incongruent","1","2","2","a","337","4","151"
"incongruent","1","1","4","a","403","5","151"
"congruent","1","2","2","l","381","4","151"
"congruent","1","1","5","a","343","4","151"
"congruent","1","2","4","l","334","6","151"
"congruent","0","4","2","a","281","6","151"
"incongruent","1","3","6","l","696","3","151"
"incongruent","1","1","2","a","555","3","151"
"congruent","1","3","3","l","476","6","151"
"congruent","1","2","2","l","453","4","151"
"congruent","1","3","4","l","481","7","151"
"congruent","1","2","3","l","505","5","151"
"incongruent","1","4","4","a","419","8","151"
"congruent","1","3","7","a","465","4","151"
"incongruent","1","2","6","l","406","4","151"
"incongruent","1","2","4","l","660","2","151"
"congruent","1","2","4","l","516","6","151"
"incongruent","1","3","4","a","431","7","151"
"congruent","1","4","7","a","430","3","151"
"incongruent","1","2","3","a","874","5","151"
"congruent","1","3","6","a","450","3","151"
"incongruent","0","4","3","l","414","7","151"
"incongruent","1","4","6","l","593","2","151"
"incongruent","1","3","3","a","627","6","151"
"incongruent","1","3","2","a","531","5","151"
"incongruent","0","3","4","l","416","7","151"
"incongruent","1","1","3","l","792","2","151"
"incongruent","1","1","5","l","740","4","151"
"incongruent","1","3","6","l","612","3","151"
"incongruent","1","3","5","l","613","2","151"
"congruent","1","1","2","l","544","3","151"
"congruent","1","2","4","a","463","2","151"
"congruent","1","4","4","l","471","8","151"
"incongruent","1","4","3","a","560","7","151"
"incongruent","1","3","3","a","586","6","151"
"congruent","1","3","3","l","454","6","151"
"congruent","1","1","3","l","450","4","151"
"congruent","1","1","3","a","870","2","151"
"incongruent","0","1","3","l","436","4","151"
"incongruent","1","4","6","l","733","2","151"
"incongruent","1","3","7","l","701","4","151"
"congruent","1","3","5","a","437","2","151"
"incongruent","1","3","6","l","607","3","151"
"congruent","1","1","5","a","458","4","151"
"congruent","1","3","7","a","460","4","151"
"congruent","1","1","2","l","495","3","151"
"congruent","1","3","2","l","490","5","151"
"congruent","1","2","2","l","487","4","151"
"congruent","1","3","4","l","454","7","151"
"incongruent","1","1","3","a","518","4","151"
"incongruent","0","4","3","l","360","7","151"
"congruent","1","2","4","l","629","6","151"
"incongruent","0","2","5","a","946","3","151"
"congruent","1","4","8","a","1140","4","151"
"congruent","1","4","7","a","483","3","151"
"incongruent","1","2","5","l","478","3","151"
"congruent","1","2","3","l","483","5","151"
"incongruent","1","2","3","a","512","5","151"
"congruent","1","3","3","l","533","6","151"
"incongruent","1","2","6","l","490","4","151"
"congruent","1","3","3","l","493","6","151"
"incongruent","1","3","4","a","487","7","151"
"congruent","1","4","8","a","555","4","151"
"congruent","1","3","4","l","471","7","151"
"congruent","1","2","4","a","456","2","151"
"incongruent","1","2","2","a","635","4","151"
"incongruent","1","4","8","l","670","4","151"
"congruent","1","1","4","l","603","5","151"
"congruent","1","1","4","a","487","3","151"
"incongruent","1","2","6","l","446","4","151"
"incongruent","1","4","3","a","519","7","151"
"congruent","1","4","3","l","534","7","151"
"congruent","1","1","2","l","555","3","151"
"incongruent","1","3","2","a","595","5","151"
"incongruent","1","1","5","l","447","4","151"
"congruent","1","4","6","a","495","2","151"
"congruent","1","4","4","l","461","8","151"
"incongruent","1","1","2","a","584","3","151"
"incongruent","1","2","4","a","504","6","151"
"incongruent","1","3","3","a","554","6","151"
"congruent","1","2","5","a","578","3","151"
"incongruent","1","1","5","l","551","4","151"
"incongruent","1","1","4","a","450","5","151"
"congruent","1","1","5","a","809","4","151"
"incongruent","1","1","2","a","491","3","151"
"incongruent","1","3","2","a","585","5","151"
"incongruent","1","4","7","l","607","3","151"
"incongruent","1","1","4","l","578","3","151"
"incongruent","1","2","4","l","877","2","151"
"incongruent","1","2","2","a","455","4","151"
"incongruent","1","1","3","l","533","2","151"
"congruent","1","4","2","l","499","6","151"
"incongruent","1","3","4","a","688","7","151"
"incongruent","1","3","3","a","513","6","151"
"congruent","1","4","2","l","462","6","151"
"congruent","1","1","3","l","474","4","151"
"incongruent","1","1","4","a","478","5","151"
"incongruent","1","4","4","a","459","8","151"
"congruent","1","3","6","a","521","3","151"
"incongruent","1","3","7","l","487","4","151"
"congruent","1","3","5","a","452","2","151"
"congruent","1","4","3","l","381","7","151"
"congruent","1","4","7","a","385","3","151"
"congruent","1","4","6","a","426","2","151"
"incongruent","1","4","6","l","526","2","151"
"congruent","1","2","6","a","1181","4","151"
"incongruent","1","2","4","a","592","6","151"
"incongruent","0","4","2","l","454","6","151"
"congruent","1","2","5","a","652","3","151"
"congruent","1","1","3","l","514","4","151"
"incongruent","1","3","6","l","627","3","151"
"congruent","1","2","2","l","457","4","151"
"incongruent","1","4","8","l","507","4","151"
"congruent","1","2","3","l","449","5","151"
"incongruent","1","4","2","a","503","6","151"
"incongruent","1","1","4","l","533","3","151"
"congruent","1","1","4","a","398","3","151"
"incongruent","1","1","3","l","525","2","151"
"congruent","1","3","6","a","459","3","151"
"incongruent","1","4","7","l","549","3","151"
"congruent","1","3","7","a","614","4","151"
"congruent","1","2","4","l","466","6","151"
"incongruent","1","4","4","a","578","8","151"
"congruent","1","1","4","l","498","5","151"
"incongruent","1","2","3","a","447","5","151"
"incongruent","1","3","5","l","426","2","151"
"congruent","1","1","3","a","463","2","151"
"congruent","1","2","4","a","466","2","151"
"congruent","1","3","2","l","486","5","151"
"congruent","1","2","6","a","409","4","151"
"congruent","1","4","4","l","391","8","151"
"incongruent","1","2","4","l","491","2","151"
"incongruent","1","3","5","l","668","2","151"
"incongruent","1","4","7","l","817","3","151"
"congruent","1","4","4","l","455","8","151"
"congruent","1","1","3","l","399","4","151"
"congruent","1","2","5","a","418","3","151"
"congruent","1","4","8","a","422","4","151"
"congruent","1","4","6","a","383","2","151"
"incongruent","1","1","3","a","649","4","151"
"incongruent","1","3","3","a","496","6","151"
"incongruent","1","4","3","a","968","7","151"
"congruent","1","3","3","l","614","6","151"
"congruent","1","1","3","l","494","4","151"
"incongruent","1","1","3","a","526","4","151"
"congruent","1","4","3","l","533","7","151"
"congruent","1","2","4","l","617","6","151"
"incongruent","0","2","4","a","468","2","151"
"incongruent","1","4","8","l","631","4","151"
"incongruent","1","3","6","l","701","3","151"
"congruent","1","3","2","l","524","5","151"
"incongruent","1","1","5","l","528","4","151"
"congruent","1","4","3","l","444","7","151"
"incongruent","1","2","4","a","502","6","151"
"congruent","1","1","4","l","549","5","151"
"incongruent","1","2","2","a","598","4","151"
"congruent","1","3","5","a","504","2","151"
"congruent","1","1","3","a","439","2","151"
"incongruent","0","3","6","a","425","3","151"
"incongruent","1","3","4","a","512","7","151"
"incongruent","1","2","4","l","621","2","151"
"incongruent","1","3","3","a","445","6","151"
"incongruent","1","4","8","l","389","4","151"
"incongruent","1","2","6","l","507","4","151"
"incongruent","1","1","5","l","469","4","151"
"congruent","1","1","4","a","447","3","151"
"congruent","1","2","4","l","470","6","151"
"incongruent","1","3","5","l","648","2","151"
"incongruent","1","2","3","a","463","5","151"
"congruent","1","4","7","a","648","3","151"
"incongruent","0","3","4","l","468","7","151"
"congruent","1","3","3","l","579","6","151"
"congruent","1","2","5","a","472","3","151"
"incongruent","0","4","3","l","447","7","151"
"congruent","1","4","2","l","715","6","151"
"congruent","1","4","4","l","777","8","151"
"congruent","1","3","6","a","522","3","151"
"congruent","1","3","4","l","493","7","151"
"congruent","1","2","3","l","785","5","151"
"congruent","1","1","3","a","653","2","151"
"congruent","1","1","5","a","792","4","151"
"congruent","1","4","7","a","935","3","151"
"incongruent","1","3","2","a","1184","5","151"
"congruent","1","3","7","a","577","4","151"
"congruent","1","4","8","a","616","4","151"
"incongruent","1","3","7","l","651","4","151"
"incongruent","1","2","5","l","701","3","151"
"incongruent","1","4","6","l","498","2","151"
"congruent","1","3","2","l","497","5","151"
"congruent","1","3","5","a","581","2","151"
"incongruent","1","4","4","a","784","8","151"
"incongruent","1","2","5","l","748","3","151"
"congruent","1","3","6","a","651","3","151"
"incongruent","1","4","7","l","590","3","151"
"incongruent","1","1","2","a","736","3","151"
"congruent","1","1","4","l","549","5","151"
"congruent","1","4","2","l","746","6","151"
"congruent","1","2","4","a","521","2","151"
"congruent","1","2","2","l","508","4","151"
"incongruent","1","2","2","a","510","4","151"
"incongruent","1","3","5","l","429","2","151"
"congruent","1","3","4","l","457","7","151"
"congruent","1","4","6","a","430","2","151"
"congruent","1","2","6","a","820","4","151"
"incongruent","1","4","6","l","594","2","151"
"incongruent","1","4","2","a","529","6","151"
"incongruent","1","1","4","a","528","5","151"
"incongruent","1","1","2","a","509","3","151"
"incongruent","1","3","7","l","588","4","151"
"congruent","1","1","4","a","501","3","151"
"incongruent","1","1","4","l","477","3","151"
"incongruent","1","1","3","l","809","2","151"
"congruent","1","2","6","a","525","4","151"
"incongruent","1","2","6","l","492","4","151"
"congruent","1","1","2","l","442","3","151"
"congruent","1","1","2","l","538","3","151"
"incongruent","1","1","4","a","492","5","151"
"congruent","1","1","5","a","579","4","151"
"incongruent","1","2","4","a","670","6","151"
"incongruent","1","4","4","a","552","8","151"
"congruent","1","2","3","l","456","5","151"
"incongruent","1","1","3","l","815","2","151"
"congruent","1","3","7","a","502","4","151"
"incongruent","1","4","2","a","666","6","151"
"incongruent","1","3","2","a","553","5","151"
"congruent","1","2","2","l","589","4","151"
"incongruent","1","1","4","l","612","3","151"
"incongruent","1","2","3","a","568","5","151"
"congruent","1","2","4","a","608","2","151"
"incongruent","1","1","2","a","559","3","151"
"incongruent","1","1","4","a","517","5","151"
"congruent","1","1","4","a","465","3","151"
"incongruent","1","2","5","l","461","3","151"
"congruent","1","2","2","l","490","4","151"
"incongruent","1","3","2","a","512","5","151"
"incongruent","1","1","4","l","444","3","151"
"incongruent","1","3","3","a","463","6","151"
"incongruent","1","3","5","l","564","2","151"
"congruent","1","4","4","l","491","8","151"
"congruent","1","3","6","a","438","3","151"
"congruent","1","4","6","a","384","2","151"
"incongruent","0","1","3","l","515","4","151"
"incongruent","1","4","3","a","901","7","151"
"congruent","1","3","4","l","490","7","151"
"incongruent","1","3","3","a","444","6","151"
"incongruent","1","1","5","l","642","4","151"
"congruent","1","2","4","l","558","6","151"
"congruent","1","2","2","l","543","4","151"
"congruent","1","4","3","l","453","7","151"
"congruent","1","4","6","a","486","2","151"
"congruent","1","2","5","a","520","3","151"
"congruent","1","2","6","a","473","4","151"
"congruent","1","3","4","l","507","7","151"
"incongruent","1","4","6","l","532","2","151"
"congruent","1","3","5","a","398","2","151"
"congruent","1","3","3","l","420","6","151"
"congruent","1","1","5","a","453","4","151"
"incongruent","1","4","6","l","584","2","151"
"incongruent","0","3","7","a","343","4","151"
"congruent","1","2","3","l","641","5","151"
"congruent","1","3","2","l","421","5","151"
"congruent","1","2","5","a","457","3","151"
"congruent","1","3","6","a","449","3","151"
"congruent","1","1","3","l","485","4","151"
"congruent","1","3","7","a","406","4","151"
"incongruent","0","3","2","l","426","5","151"
"incongruent","1","1","3","l","557","2","151"
"incongruent","1","4","4","a","848","8","151"
"congruent","1","1","3","a","522","2","151"
"congruent","1","4","8","a","610","4","151"
"incongruent","1","4","7","l","712","3","151"
"incongruent","1","1","3","l","512","2","151"
"incongruent","1","3","5","l","562","2","151"
"congruent","1","1","3","a","524","2","151"
"incongruent","1","4","4","a","559","8","151"
"congruent","1","4","4","l","555","8","151"
"incongruent","1","1","2","a","472","3","151"
"incongruent","1","2","4","l","571","2","151"
"incongruent","1","2","3","a","463","5","151"
"incongruent","1","2","3","a","554","5","151"
"congruent","1","4","2","l","702","6","151"
"congruent","1","4","3","l","489","7","151"
"incongruent","1","3","7","l","590","4","151"
"incongruent","1","2","5","l","538","3","151"
"incongruent","1","2","6","l","501","4","151"
"incongruent","0","4","3","l","407","7","151"
"congruent","1","1","4","a","842","3","151"
"incongruent","1","2","2","a","608","4","151"
"congruent","1","3","2","l","485","5","151"
"congruent","1","4","2","l","441","6","151"
"congruent","1","2","4","a","469","2","151"
"congruent","1","2","6","a","680","4","151"
"congruent","1","1","3","l","572","4","151"
"congruent","1","3","7","a","439","4","151"
"congruent","1","2","4","l","565","6","151"
"incongruent","1","2","2","a","366","4","151"
"incongruent","1","1","4","a","489","5","151"
"congruent","1","1","2","l","395","3","151"
"incongruent","0","1","5","a","325","4","151"
"incongruent","1","3","4","a","537","7","151"
"incongruent","1","2","4","a","526","6","151"
"incongruent","1","4","7","l","821","3","151"
"congruent","1","1","2","l","489","3","151"
"incongruent","1","3","6","l","473","3","151"
"incongruent","1","3","6","l","584","3","151"
"incongruent","1","1","4","l","434","3","151"
"congruent","1","1","4","l","520","5","151"
"congruent","1","3","3","l","402","6","151"
"congruent","1","4","7","a","437","3","151"
"congruent","1","2","4","a","496","2","151"
"congruent","1","3","5","a","424","2","151"
"congruent","1","2","3","l","504","5","151"
"incongruent","1","1","3","a","526","4","151"
"congruent","1","4","8","a","416","4","151"
"congruent","1","1","5","a","481","4","151"
"incongruent","1","2","6","l","531","4","151"
"incongruent","1","2","4","a","453","6","151"
"incongruent","1","3","4","a","472","7","151"
"incongruent","1","4","2","a","457","6","151"
"congruent","1","1","4","l","531","5","151"
"congruent","1","4","7","a","407","3","151"
"incongruent","0","2","4","a","394","2","151"
"incongruent","1","4","8","l","492","4","151"
"incongruent","1","4","2","a","621","6","151"
"incongruent","1","4","8","l","551","4","151"
