"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","3","4","l","666","7","123"
"congruent","1","3","4","l","706","7","123"
"incongruent","1","4","8","l","721","4","123"
"congruent","1","4","7","a","586","3","123"
"congruent","1","1","3","a","562","2","123"
"incongruent","1","3","3","a","594","6","123"
"incongruent","1","4","6","l","566","2","123"
"incongruent","1","1","3","a","597","4","123"
"incongruent","1","1","4","l","548","3","123"
"incongruent","1","1","3","a","481","4","123"
"congruent","1","1","4","l","485","5","123"
"congruent","1","4","3","l","491","7","123"
"incongruent","1","4","6","l","584","2","123"
"congruent","1","2","4","a","554","2","123"
"congruent","1","3","6","a","1003","3","123"
"congruent","1","2","6","a","857","4","123"
"incongruent","1","2","2","a","522","4","123"
"congruent","1","1","4","a","505","3","123"
"incongruent","1","4","2","a","853","6","123"
"congruent","1","4","8","a","550","4","123"
"congruent","1","2","4","l","474","6","123"
"congruent","1","4","4","l","479","8","123"
"congruent","1","4","6","a","400","2","123"
"congruent","1","3","6","a","432","3","123"
"incongruent","1","2","5","l","428","3","123"
"incongruent","1","4","7","l","617","3","123"
"incongruent","1","2","6","l","521","4","123"
"congruent","1","3","5","a","436","2","123"
"congruent","1","3","3","l","390","6","123"
"incongruent","1","2","3","a","383","5","123"
"congruent","1","4","2","l","381","6","123"
"congruent","1","3","3","l","426","6","123"
"incongruent","1","1","4","l","659","3","123"
"congruent","1","1","3","l","530","4","123"
"incongruent","1","2","5","l","689","3","123"
"congruent","1","1","3","l","729","4","123"
"congruent","1","2","5","a","478","3","123"
"congruent","1","3","7","a","460","4","123"
"congruent","1","4","4","l","476","8","123"
"congruent","1","1","5","a","462","4","123"
"incongruent","1","4","3","a","565","7","123"
"congruent","1","2","5","a","465","3","123"
"congruent","1","1","2","l","605","3","123"
"incongruent","1","1","5","l","425","4","123"
"congruent","1","1","4","l","493","5","123"
"incongruent","1","1","2","a","363","3","123"
"congruent","1","2","2","l","396","4","123"
"congruent","1","2","6","a","407","4","123"
"congruent","1","1","5","a","442","4","123"
"incongruent","1","1","4","a","421","5","123"
"incongruent","1","2","4","a","422","6","123"
"incongruent","1","3","5","l","460","2","123"
"incongruent","1","4","8","l","442","4","123"
"congruent","1","4","3","l","505","7","123"
"congruent","1","2","2","l","537","4","123"
"congruent","1","3","5","a","421","2","123"
"congruent","1","1","3","a","426","2","123"
"congruent","1","1","2","l","448","3","123"
"incongruent","1","3","2","a","368","5","123"
"incongruent","1","4","4","a","538","8","123"
"incongruent","1","3","2","a","425","5","123"
"incongruent","1","2","2","a","706","4","123"
"incongruent","1","1","3","l","420","2","123"
"incongruent","1","4","4","a","423","8","123"
"congruent","1","2","4","a","486","2","123"
"incongruent","1","3","6","l","701","3","123"
"incongruent","0","3","7","a","463","4","123"
"incongruent","1","1","3","l","763","2","123"
"congruent","1","3","2","l","621","5","123"
"incongruent","1","4","3","a","443","7","123"
"incongruent","1","3","4","a","668","7","123"
"congruent","1","4","8","a","480","4","123"
"incongruent","1","3","5","l","517","2","123"
"congruent","1","1","4","a","421","3","123"
"congruent","1","3","7","a","377","4","123"
"incongruent","1","3","4","a","481","7","123"
"incongruent","1","1","5","l","540","4","123"
"incongruent","1","2","4","a","327","6","123"
"congruent","1","4","2","l","575","6","123"
"incongruent","1","2","4","l","476","2","123"
"incongruent","1","2","6","l","529","4","123"
"congruent","1","2","3","l","398","5","123"
"incongruent","1","3","6","l","490","3","123"
"congruent","1","3","2","l","425","5","123"
"congruent","1","4","7","a","421","3","123"
"incongruent","1","3","7","l","493","4","123"
"congruent","1","4","6","a","654","2","123"
"incongruent","1","1","4","a","384","5","123"
"incongruent","1","2","3","a","508","5","123"
"incongruent","1","4","2","a","409","6","123"
"congruent","1","2","3","l","467","5","123"
"incongruent","1","3","3","a","547","6","123"
"incongruent","1","2","4","l","581","2","123"
"incongruent","1","4","7","l","525","3","123"
"congruent","1","2","4","l","483","6","123"
"incongruent","1","1","2","a","414","3","123"
"congruent","1","1","5","a","520","4","123"
"congruent","1","3","7","a","439","4","123"
"congruent","1","1","3","a","622","2","123"
"incongruent","1","1","2","a","353","3","123"
"congruent","1","4","7","a","370","3","123"
"congruent","1","4","6","a","360","2","123"
"incongruent","1","3","6","l","397","3","123"
"incongruent","1","2","4","a","341","6","123"
"incongruent","1","4","8","l","348","4","123"
"congruent","1","1","4","a","334","3","123"
"congruent","1","3","3","l","293","6","123"
"incongruent","1","2","2","a","357","4","123"
"congruent","1","3","4","l","308","7","123"
"congruent","1","2","5","a","334","3","123"
"incongruent","1","3","3","a","329","6","123"
"congruent","1","1","5","a","360","4","123"
"incongruent","1","3","5","l","354","2","123"
"congruent","1","1","3","l","452","4","123"
"incongruent","0","1","4","a","379","3","123"
"congruent","1","2","6","a","395","4","123"
"incongruent","1","3","2","a","498","5","123"
"congruent","1","2","2","l","383","4","123"
"incongruent","0","3","7","a","470","4","123"
"incongruent","1","4","4","a","808","8","123"
"congruent","1","1","4","a","435","3","123"
"incongruent","1","2","2","a","487","4","123"
"congruent","1","4","4","l","453","8","123"
"incongruent","1","1","4","l","571","3","123"
"congruent","1","2","2","l","409","4","123"
"incongruent","1","2","4","l","606","2","123"
"incongruent","1","3","6","l","532","3","123"
"congruent","1","1","3","a","386","2","123"
"incongruent","1","3","4","a","495","7","123"
"incongruent","1","1","5","l","301","4","123"
"incongruent","1","1","2","a","414","3","123"
"congruent","1","2","4","a","416","2","123"
"incongruent","1","1","4","a","342","5","123"
"congruent","1","2","4","l","373","6","123"
"congruent","1","1","4","l","449","5","123"
"congruent","1","3","4","l","392","7","123"
"incongruent","1","2","4","a","468","6","123"
"congruent","1","2","4","l","429","6","123"
"congruent","1","4","8","a","756","4","123"
"incongruent","0","4","3","l","404","7","123"
"incongruent","1","4","3","a","416","7","123"
"congruent","1","2","4","a","767","2","123"
