"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","4","8","l","1253","4","136"
"congruent","1","2","6","a","1167","4","136"
"incongruent","1","2","2","a","1015","4","136"
"incongruent","1","3","7","l","1122","4","136"
"congruent","1","1","3","l","696","4","136"
"congruent","1","1","3","a","759","2","136"
"congruent","1","2","4","a","581","2","136"
"incongruent","1","1","4","a","746","5","136"
"congruent","1","4","2","l","688","6","136"
"congruent","1","2","4","l","564","6","136"
"incongruent","1","1","3","l","596","2","136"
"incongruent","1","3","6","l","973","3","136"
"incongruent","1","1","2","a","666","3","136"
"incongruent","1","1","5","l","499","4","136"
"congruent","1","2","4","a","496","2","136"
"incongruent","1","2","6","l","509","4","136"
"congruent","1","3","7","a","939","4","136"
"congruent","1","4","2","l","605","6","136"
"incongruent","1","3","6","l","716","3","136"
"congruent","1","1","2","l","550","3","136"
"congruent","1","4","3","l","724","7","136"
"incongruent","1","3","4","a","662","7","136"
"incongruent","1","4","3","a","650","7","136"
"congruent","1","1","5","a","722","4","136"
"incongruent","1","2","5","l","576","3","136"
"incongruent","1","4","4","a","831","8","136"
"incongruent","1","2","4","l","987","2","136"
"congruent","1","4","7","a","494","3","136"
"congruent","1","3","5","a","530","2","136"
"incongruent","1","4","4","a","792","8","136"
"congruent","1","2","4","l","513","6","136"
"congruent","1","4","6","a","448","2","136"
"congruent","1","2","5","a","569","3","136"
"incongruent","1","3","3","a","821","6","136"
"incongruent","1","3","5","l","559","2","136"
"incongruent","1","4","7","l","914","3","136"
"congruent","1","3","5","a","495","2","136"
"congruent","1","4","3","l","408","7","136"
"congruent","1","4","8","a","604","4","136"
"congruent","1","1","3","l","481","4","136"
"congruent","1","1","4","l","614","5","136"
"incongruent","1","2","4","a","536","6","136"
"incongruent","1","1","3","a","710","4","136"
"congruent","1","1","4","a","538","3","136"
"congruent","1","2","3","l","455","5","136"
"congruent","1","3","3","l","667","6","136"
"incongruent","1","1","4","a","729","5","136"
"incongruent","1","2","6","l","998","4","136"
"congruent","1","2","2","l","524","4","136"
"congruent","1","3","3","l","461","6","136"
"incongruent","1","1","2","a","481","3","136"
"incongruent","1","2","3","a","530","5","136"
"congruent","1","2","2","l","447","4","136"
"congruent","1","1","4","a","408","3","136"
"congruent","1","2","6","a","494","4","136"
"congruent","1","2","5","a","458","3","136"
"congruent","1","3","4","l","742","7","136"
"incongruent","1","4","6","l","873","2","136"
"congruent","1","4","4","l","474","8","136"
"incongruent","1","3","3","a","572","6","136"
"incongruent","1","4","6","l","558","2","136"
"incongruent","0","2","4","a","760","2","136"
"incongruent","1","3","2","a","848","5","136"
"congruent","1","2","3","l","509","5","136"
"incongruent","1","1","3","l","445","2","136"
"incongruent","1","2","4","a","429","6","136"
"congruent","1","3","7","a","440","4","136"
"congruent","1","1","2","l","446","3","136"
"congruent","1","3","6","a","399","3","136"
"congruent","1","1","5","a","449","4","136"
"incongruent","1","1","4","l","389","3","136"
"congruent","1","4","4","l","424","8","136"
"congruent","1","1","3","a","392","2","136"
"incongruent","1","2","3","a","419","5","136"
"congruent","1","1","4","l","478","5","136"
"incongruent","1","4","8","l","596","4","136"
"incongruent","1","4","2","a","464","6","136"
"incongruent","1","3","2","a","455","5","136"
"incongruent","1","1","3","a","1050","4","136"
"congruent","1","4","6","a","436","2","136"
"congruent","1","3","6","a","450","3","136"
"incongruent","0","4","7","a","535","3","136"
"congruent","1","4","8","a","659","4","136"
"incongruent","1","4","2","a","1141","6","136"
"congruent","1","4","7","a","481","3","136"
"incongruent","1","2","5","l","738","3","136"
"incongruent","1","4","3","a","1250","7","136"
"incongruent","1","1","5","l","524","4","136"
"incongruent","1","3","4","a","418","7","136"
"incongruent","1","3","7","l","482","4","136"
"incongruent","1","3","5","l","859","2","136"
"congruent","1","3","2","l","444","5","136"
"incongruent","1","1","4","l","1320","3","136"
"incongruent","1","2","2","a","604","4","136"
"congruent","1","3","4","l","503","7","136"
"congruent","1","3","2","l","576","5","136"
"congruent","1","3","5","a","767","2","136"
"incongruent","1","4","2","a","887","6","136"
"congruent","1","4","3","l","410","7","136"
"congruent","1","3","7","a","425","4","136"
"congruent","1","2","6","a","451","4","136"
"congruent","1","1","4","a","432","3","136"
"incongruent","1","1","3","l","405","2","136"
"incongruent","1","3","7","l","602","4","136"
"incongruent","1","4","7","l","1136","3","136"
"congruent","1","1","3","l","474","4","136"
"incongruent","1","2","4","a","407","6","136"
"congruent","1","1","4","l","453","5","136"
"congruent","1","4","4","l","481","8","136"
"congruent","1","2","3","l","467","5","136"
"congruent","1","2","6","a","405","4","136"
"incongruent","1","3","5","l","1045","2","136"
"incongruent","1","3","4","a","438","7","136"
"congruent","1","1","5","a","615","4","136"
"congruent","1","1","3","a","464","2","136"
"incongruent","1","3","7","l","520","4","136"
"congruent","1","2","2","l","556","4","136"
"incongruent","1","4","3","a","507","7","136"
"incongruent","1","2","6","l","556","4","136"
"incongruent","1","2","3","a","722","5","136"
"congruent","1","1","4","l","548","5","136"
"congruent","1","3","4","l","619","7","136"
"incongruent","1","4","2","a","894","6","136"
"incongruent","1","3","3","a","565","6","136"
"congruent","1","2","5","a","475","3","136"
"incongruent","1","4","4","a","434","8","136"
"congruent","1","1","3","l","422","4","136"
"incongruent","1","4","8","l","429","4","136"
"congruent","1","1","5","a","415","4","136"
"incongruent","1","4","7","l","1106","3","136"
"incongruent","1","2","4","a","617","6","136"
"congruent","1","4","2","l","570","6","136"
"incongruent","1","2","2","a","435","4","136"
"congruent","1","4","4","l","422","8","136"
"congruent","1","3","6","a","406","3","136"
"incongruent","1","1","3","a","558","4","136"
"incongruent","1","3","2","a","522","5","136"
"incongruent","1","3","3","a","506","6","136"
"incongruent","1","4","4","a","433","8","136"
"incongruent","1","1","3","l","450","2","136"
"incongruent","1","1","2","a","349","3","136"
"congruent","1","1","2","l","339","3","136"
"congruent","1","4","7","a","535","3","136"
"congruent","1","2","4","a","481","2","136"
"incongruent","1","1","3","a","666","4","136"
"incongruent","1","3","6","l","745","3","136"
"congruent","1","1","3","a","421","2","136"
"incongruent","1","1","4","l","470","3","136"
"incongruent","1","1","4","a","380","5","136"
"congruent","1","2","4","l","430","6","136"
"incongruent","1","2","5","l","635","3","136"
"incongruent","1","3","2","a","448","5","136"
"incongruent","1","2","6","l","589","4","136"
"congruent","1","4","6","a","327","2","136"
"congruent","1","2","4","a","398","2","136"
"incongruent","1","4","6","l","454","2","136"
"incongruent","1","2","4","l","610","2","136"
"incongruent","1","1","4","l","656","3","136"
"incongruent","1","4","8","l","474","4","136"
"congruent","1","3","4","l","419","7","136"
"congruent","1","4","2","l","428","6","136"
"congruent","1","2","2","l","391","4","136"
"congruent","1","3","2","l","439","5","136"
"incongruent","1","1","5","l","534","4","136"
"congruent","1","1","4","a","427","3","136"
"incongruent","1","1","2","a","394","3","136"
"incongruent","1","3","5","l","422","2","136"
"congruent","1","1","2","l","449","3","136"
"congruent","1","3","2","l","499","5","136"
"congruent","1","4","6","a","396","2","136"
"incongruent","0","2","4","a","413","2","136"
"congruent","1","4","8","a","545","4","136"
"incongruent","1","2","5","l","410","3","136"
"congruent","1","2","5","a","399","3","136"
"incongruent","1","2","2","a","479","4","136"
"congruent","1","4","3","l","406","7","136"
"congruent","1","3","7","a","413","4","136"
"congruent","1","3","5","a","499","2","136"
"incongruent","1","4","6","l","480","2","136"
"incongruent","1","3","4","a","1058","7","136"
"congruent","1","3","6","a","462","3","136"
"congruent","1","2","3","l","423","5","136"
"congruent","1","4","7","a","390","3","136"
"congruent","1","3","3","l","434","6","136"
"congruent","1","2","4","l","626","6","136"
"incongruent","1","1","5","l","502","4","136"
"incongruent","1","2","3","a","438","5","136"
"incongruent","1","4","3","a","673","7","136"
"incongruent","1","3","6","l","438","3","136"
"congruent","1","4","8","a","476","4","136"
"incongruent","1","1","4","a","448","5","136"
"congruent","1","3","3","l","416","6","136"
"incongruent","1","2","4","a","774","6","136"
"congruent","1","2","4","a","453","2","136"
"congruent","1","4","6","a","489","2","136"
"incongruent","1","2","5","l","412","3","136"
"congruent","1","1","3","a","377","2","136"
"congruent","1","4","2","l","387","6","136"
"congruent","1","1","2","l","415","3","136"
"incongruent","1","2","3","a","370","5","136"
"incongruent","1","1","2","a","450","3","136"
"congruent","1","3","3","l","366","6","136"
"congruent","1","2","5","a","419","3","136"
"congruent","1","3","4","l","393","7","136"
"incongruent","1","2","3","a","362","5","136"
"congruent","1","3","2","l","386","5","136"
"incongruent","1","3","3","a","357","6","136"
"incongruent","1","4","4","a","415","8","136"
"congruent","1","4","7","a","409","3","136"
"congruent","1","2","2","l","368","4","136"
"congruent","1","1","4","l","689","5","136"
"congruent","1","3","7","a","406","4","136"
"incongruent","1","2","2","a","450","4","136"
"incongruent","1","3","7","l","350","4","136"
"incongruent","1","1","5","l","391","4","136"
"incongruent","1","1","4","a","383","5","136"
"incongruent","1","1","3","l","430","2","136"
"incongruent","1","4","4","a","411","8","136"
"incongruent","1","3","5","l","388","2","136"
"incongruent","1","1","3","a","375","4","136"
"congruent","1","1","5","a","450","4","136"
"congruent","1","1","4","l","372","5","136"
"incongruent","1","2","2","a","440","4","136"
"incongruent","1","2","4","l","384","2","136"
"incongruent","1","3","6","l","465","3","136"
"incongruent","1","3","6","l","533","3","136"
"incongruent","1","2","6","l","419","4","136"
"congruent","1","2","3","l","387","5","136"
"congruent","1","2","5","a","455","3","136"
"congruent","1","4","8","a","445","4","136"
"congruent","1","3","4","l","396","7","136"
"congruent","1","4","8","a","392","4","136"
"congruent","1","2","4","a","473","2","136"
"incongruent","1","1","3","l","429","2","136"
"congruent","1","2","3","l","530","5","136"
"congruent","1","3","6","a","414","3","136"
"incongruent","1","1","4","l","498","3","136"
"incongruent","1","4","8","l","391","4","136"
"congruent","1","1","5","a","493","4","136"
"incongruent","1","1","3","a","472","4","136"
"incongruent","1","2","4","l","405","2","136"
"incongruent","1","2","5","l","402","3","136"
"congruent","1","3","7","a","372","4","136"
"incongruent","1","3","2","a","408","5","136"
"congruent","1","1","3","l","339","4","136"
"congruent","1","1","3","a","382","2","136"
"congruent","1","4","3","l","397","7","136"
"incongruent","1","1","4","a","414","5","136"
"incongruent","1","4","7","l","405","3","136"
"incongruent","1","4","6","l","481","2","136"
"incongruent","1","3","5","l","402","2","136"
"incongruent","1","3","7","l","395","4","136"
"congruent","1","4","2","l","433","6","136"
"congruent","1","1","3","l","399","4","136"
"congruent","1","4","6","a","421","2","136"
"congruent","1","2","4","l","368","6","136"
"congruent","1","4","4","l","409","8","136"
"congruent","1","1","4","a","413","3","136"
"incongruent","1","1","4","l","389","3","136"
"incongruent","1","3","4","a","698","7","136"
"congruent","1","3","6","a","415","3","136"
"incongruent","1","4","8","l","363","4","136"
"congruent","1","1","4","a","357","3","136"
"incongruent","0","4","3","l","385","7","136"
"incongruent","1","3","3","a","561","6","136"
"congruent","1","4","7","a","477","3","136"
"congruent","1","2","2","l","413","4","136"
"congruent","1","2","4","l","422","6","136"
"incongruent","1","2","4","a","390","6","136"
"congruent","1","3","5","a","437","2","136"
"congruent","1","4","3","l","389","7","136"
"incongruent","0","4","7","a","365","3","136"
"congruent","1","3","2","l","498","5","136"
