"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","3","l","663","7","150"
"congruent","1","1","3","l","606","4","150"
"incongruent","1","1","5","l","513","4","150"
"incongruent","1","4","3","a","977","7","150"
"congruent","1","3","7","a","471","4","150"
"congruent","1","2","3","l","502","5","150"
"congruent","1","2","4","l","493","6","150"
"congruent","1","4","2","l","449","6","150"
"congruent","1","4","7","a","409","3","150"
"incongruent","1","4","6","l","381","2","150"
"congruent","1","4","8","a","406","4","150"
"incongruent","1","3","6","l","367","3","150"
"incongruent","1","1","3","l","403","2","150"
"incongruent","1","4","8","l","389","4","150"
"congruent","1","3","6","a","381","3","150"
"congruent","0","4","8","l","349","4","150"
"congruent","1","3","5","a","549","2","150"
"congruent","1","2","6","a","392","4","150"
"congruent","1","1","4","a","555","3","150"
"incongruent","1","2","5","l","358","3","150"
"congruent","1","4","6","a","433","2","150"
"congruent","1","4","4","l","406","8","150"
"congruent","1","1","3","l","545","4","150"
"incongruent","1","2","4","l","714","2","150"
"congruent","1","1","2","l","427","3","150"
"congruent","1","1","4","l","503","5","150"
"congruent","1","3","5","a","400","2","150"
"incongruent","1","2","4","l","373","2","150"
"incongruent","0","3","6","a","441","3","150"
"incongruent","0","1","2","l","544","3","150"
"incongruent","1","2","4","a","583","6","150"
"incongruent","1","4","8","l","416","4","150"
"incongruent","0","4","3","l","595","7","150"
"incongruent","1","3","2","a","534","5","150"
"congruent","1","2","3","l","464","5","150"
"incongruent","1","3","5","l","970","2","150"
"incongruent","1","3","4","a","943","7","150"
"congruent","1","2","2","l","580","4","150"
"incongruent","0","4","7","a","491","3","150"
"congruent","1","1","4","l","574","5","150"
"congruent","1","2","5","a","442","3","150"
"congruent","1","3","3","l","572","6","150"
"incongruent","1","1","3","a","758","4","150"
"incongruent","1","4","4","a","515","8","150"
"congruent","1","1","5","a","497","4","150"
"incongruent","1","3","3","a","481","6","150"
"congruent","1","3","7","a","443","4","150"
"congruent","1","2","4","l","479","6","150"
"incongruent","1","2","4","a","454","6","150"
"congruent","1","4","2","l","407","6","150"
"incongruent","1","4","2","a","773","6","150"
"incongruent","1","3","7","l","621","4","150"
"congruent","1","2","4","a","455","2","150"
"incongruent","1","2","6","l","421","4","150"
"congruent","1","1","4","a","431","3","150"
"incongruent","1","4","6","l","471","2","150"
"incongruent","1","2","3","a","384","5","150"
"incongruent","1","1","2","a","517","3","150"
"incongruent","1","2","3","a","554","5","150"
"incongruent","1","3","2","a","532","5","150"
"incongruent","1","2","2","a","1335","4","150"
"incongruent","1","1","3","a","482","4","150"
"congruent","1","2","5","a","515","3","150"
"incongruent","1","1","5","l","543","4","150"
"congruent","1","4","7","a","407","3","150"
"incongruent","1","4","7","l","450","3","150"
"incongruent","1","3","4","a","489","7","150"
"congruent","1","3","2","l","511","5","150"
"congruent","1","1","3","a","504","2","150"
"incongruent","1","2","2","a","515","4","150"
"congruent","1","3","6","a","467","3","150"
"congruent","1","2","2","l","382","4","150"
"incongruent","1","1","4","l","417","3","150"
"congruent","1","3","4","l","475","7","150"
"congruent","1","2","6","a","493","4","150"
"incongruent","1","1","4","a","464","5","150"
"congruent","1","2","4","a","406","2","150"
"congruent","1","4","4","l","471","8","150"
"incongruent","1","4","4","a","415","8","150"
"incongruent","1","1","4","l","463","3","150"
"congruent","1","4","3","l","442","7","150"
"congruent","1","1","3","a","371","2","150"
"congruent","1","1","5","a","457","4","150"
"congruent","1","3","3","l","430","6","150"
"congruent","1","3","2","l","432","5","150"
"incongruent","1","3","5","l","467","2","150"
"incongruent","0","2","5","a","448","3","150"
"incongruent","1","4","2","a","574","6","150"
"incongruent","1","3","3","a","484","6","150"
"congruent","1","1","2","l","580","3","150"
"incongruent","1","1","3","l","859","2","150"
"incongruent","1","2","6","l","554","4","150"
"congruent","1","3","4","l","483","7","150"
"incongruent","0","3","7","a","431","4","150"
"congruent","1","4","6","a","574","2","150"
"incongruent","1","1","4","a","422","5","150"
"congruent","0","1","3","l","812","2","150"
"incongruent","1","1","4","l","993","3","150"
"congruent","0","4","2","a","396","6","150"
"congruent","1","2","5","a","448","3","150"
"incongruent","1","4","8","l","581","4","150"
"incongruent","1","1","3","a","470","4","150"
"congruent","1","3","7","a","424","4","150"
"congruent","1","1","4","a","576","3","150"
"incongruent","1","1","4","a","432","5","150"
"congruent","1","1","5","a","410","4","150"
"incongruent","1","3","3","a","1000","6","150"
"congruent","1","2","4","a","426","2","150"
"congruent","0","1","4","a","459","5","150"
"congruent","1","2","4","l","741","6","150"
"congruent","1","1","5","a","406","4","150"
"congruent","1","2","4","a","855","2","150"
"incongruent","1","1","3","l","672","2","150"
"congruent","1","3","2","l","513","5","150"
"congruent","1","4","2","l","468","6","150"
"congruent","1","4","6","a","498","2","150"
"congruent","1","3","2","l","500","5","150"
"incongruent","1","2","3","a","445","5","150"
"congruent","1","4","3","l","447","7","150"
"congruent","1","4","8","a","501","4","150"
"incongruent","0","4","4","l","499","8","150"
"congruent","1","3","7","a","524","4","150"
"congruent","1","4","3","l","465","7","150"
"incongruent","0","2","5","a","542","3","150"
"incongruent","1","1","3","a","564","4","150"
"congruent","1","2","2","l","516","4","150"
"incongruent","1","2","4","l","530","2","150"
"congruent","1","1","2","l","523","3","150"
"incongruent","1","3","7","l","632","4","150"
"congruent","1","4","7","a","443","3","150"
"incongruent","1","3","6","l","738","3","150"
"congruent","1","3","3","l","467","6","150"
"incongruent","1","2","4","l","498","2","150"
"incongruent","1","4","6","l","643","2","150"
"incongruent","1","2","6","l","483","4","150"
"incongruent","1","2","2","a","417","4","150"
"congruent","1","1","2","l","774","3","150"
"incongruent","1","3","4","a","555","7","150"
"incongruent","1","2","4","a","484","6","150"
"congruent","1","2","4","l","414","6","150"
"incongruent","1","4","2","a","366","6","150"
"congruent","1","4","8","a","474","4","150"
"incongruent","1","3","2","a","497","5","150"
"congruent","1","3","3","l","428","6","150"
"incongruent","1","3","5","l","722","2","150"
"incongruent","1","1","2","a","407","3","150"
"incongruent","1","2","6","l","446","4","150"
"congruent","1","2","3","l","596","5","150"
"incongruent","0","4","7","a","382","3","150"
"congruent","1","4","4","l","656","8","150"
"congruent","1","3","5","a","445","2","150"
"incongruent","1","3","4","a","545","7","150"
"incongruent","1","1","3","l","829","2","150"
"congruent","1","2","6","a","425","4","150"
"congruent","1","2","2","l","420","4","150"
"congruent","1","3","4","l","360","7","150"
"congruent","0","1","3","a","415","4","150"
"incongruent","1","3","5","l","2","2","150"
"incongruent","1","3","3","a","1783","6","150"
"congruent","1","2","5","a","481","3","150"
"incongruent","1","2","2","a","990","4","150"
"incongruent","0","4","3","l","464","7","150"
"congruent","1","1","4","a","490","3","150"
"congruent","1","4","4","l","660","8","150"
"incongruent","0","1","4","a","663","3","150"
"incongruent","1","2","5","l","780","3","150"
"congruent","1","2","6","a","557","4","150"
"congruent","1","3","6","a","513","3","150"
"incongruent","1","3","7","l","562","4","150"
"incongruent","0","4","7","a","454","3","150"
"congruent","1","3","6","a","1089","3","150"
"incongruent","1","2","3","a","465","5","150"
"incongruent","1","4","6","l","446","2","150"
"incongruent","1","4","3","a","1146","7","150"
"congruent","1","3","5","a","437","2","150"
"congruent","1","3","4","l","429","7","150"
"incongruent","1","2","4","a","430","6","150"
"incongruent","1","1","5","l","389","4","150"
"incongruent","1","1","5","l","727","4","150"
"incongruent","1","4","2","a","422","6","150"
"congruent","1","4","6","a","449","2","150"
"congruent","1","1","3","l","438","4","150"
"congruent","1","1","4","l","585","5","150"
"incongruent","1","3","2","a","457","5","150"
"incongruent","1","4","4","a","656","8","150"
"incongruent","1","3","6","l","493","3","150"
"incongruent","1","4","8","l","529","4","150"
"incongruent","1","1","2","a","455","3","150"
"congruent","1","1","3","a","869","2","150"
"congruent","1","2","3","l","491","5","150"
"congruent","1","4","7","a","429","3","150"
"incongruent","1","1","4","a","1232","5","150"
"congruent","1","1","3","a","687","2","150"
"incongruent","0","2","5","a","549","3","150"
"congruent","1","4","7","a","481","3","150"
"congruent","1","1","4","l","423","5","150"
"congruent","1","1","2","l","442","3","150"
"incongruent","0","3","7","a","537","4","150"
"congruent","1","2","4","a","588","2","150"
"incongruent","1","4","4","a","443","8","150"
"congruent","1","3","6","a","536","3","150"
"incongruent","1","4","3","a","577","7","150"
"incongruent","1","1","4","l","587","3","150"
"incongruent","1","2","6","l","441","4","150"
"incongruent","1","3","5","l","633","2","150"
"congruent","1","2","6","a","442","4","150"
"congruent","1","3","3","l","597","6","150"
"incongruent","0","4","3","l","481","7","150"
"incongruent","1","4","6","l","629","2","150"
"incongruent","1","3","4","a","704","7","150"
"congruent","1","3","2","l","579","5","150"
"congruent","1","1","5","a","433","4","150"
"congruent","1","3","3","l","805","6","150"
"incongruent","1","3","5","l","513","2","150"
"congruent","1","2","5","a","494","3","150"
"congruent","1","1","2","l","432","3","150"
"congruent","1","3","5","a","543","2","150"
"congruent","1","4","7","a","521","3","150"
"congruent","1","3","2","l","469","5","150"
"incongruent","1","2","3","a","428","5","150"
"incongruent","1","3","3","a","764","6","150"
"incongruent","1","2","6","l","534","4","150"
"incongruent","1","2","2","a","514","4","150"
"incongruent","1","4","6","l","500","2","150"
"incongruent","1","3","3","a","467","6","150"
"incongruent","1","1","2","a","507","3","150"
"incongruent","1","2","4","l","492","2","150"
"congruent","1","3","7","a","407","4","150"
"incongruent","1","2","4","a","512","6","150"
"congruent","1","2","3","l","483","5","150"
"congruent","1","4","8","a","396","4","150"
"congruent","1","1","3","l","495","4","150"
"congruent","0","4","4","a","399","8","150"
"incongruent","1","1","3","l","755","2","150"
"congruent","1","3","6","a","497","3","150"
"congruent","0","2","4","a","563","6","150"
"congruent","1","4","6","a","823","2","150"
"congruent","1","3","4","l","501","7","150"
"incongruent","0","2","5","a","854","3","150"
"incongruent","1","2","4","a","614","6","150"
"congruent","1","2","4","a","537","2","150"
