"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","3","a","1385","2","104"
"incongruent","1","2","3","a","796","5","104"
"congruent","1","3","3","l","545","6","104"
"congruent","1","2","4","l","690","6","104"
"congruent","1","1","3","l","541","4","104"
"incongruent","1","1","2","a","702","3","104"
"congruent","1","4","6","a","600","2","104"
"incongruent","1","1","3","a","944","4","104"
"incongruent","0","4","2","l","602","6","104"
"congruent","1","3","7","a","575","4","104"
"incongruent","1","1","2","a","1075","3","104"
"incongruent","1","3","7","l","701","4","104"
"incongruent","1","3","5","l","691","2","104"
"congruent","1","2","5","a","656","3","104"
"incongruent","1","4","7","l","958","3","104"
"incongruent","1","4","3","a","711","7","104"
"congruent","1","4","6","a","650","2","104"
"incongruent","1","3","6","l","601","3","104"
"incongruent","1","2","6","l","745","4","104"
"incongruent","1","3","3","a","918","6","104"
"congruent","1","4","8","a","875","4","104"
"congruent","1","3","6","a","747","3","104"
"congruent","1","3","5","a","561","2","104"
"incongruent","1","3","2","a","745","5","104"
"incongruent","1","2","2","a","706","4","104"
"incongruent","1","4","4","a","857","8","104"
"incongruent","1","3","2","a","858","5","104"
"congruent","1","3","4","l","591","7","104"
"incongruent","1","4","6","l","635","2","104"
"congruent","1","2","3","l","493","5","104"
"incongruent","1","1","3","l","649","2","104"
"congruent","1","1","3","a","772","2","104"
"congruent","1","3","7","a","938","4","104"
"congruent","1","1","2","l","503","3","104"
"incongruent","1","4","4","a","600","8","104"
"congruent","1","1","5","a","683","4","104"
"incongruent","1","4","3","a","955","7","104"
"congruent","1","4","3","l","583","7","104"
"incongruent","1","2","5","l","578","3","104"
"incongruent","1","3","4","a","719","7","104"
"incongruent","1","3","6","l","511","3","104"
"incongruent","1","1","4","l","596","3","104"
"congruent","1","2","6","a","854","4","104"
"incongruent","1","1","3","a","731","4","104"
"congruent","1","2","4","a","641","2","104"
"congruent","1","4","2","l","647","6","104"
"incongruent","1","3","4","a","635","7","104"
"congruent","1","3","3","l","526","6","104"
"incongruent","1","2","5","l","580","3","104"
"congruent","1","4","4","l","559","8","104"
"incongruent","1","2","3","a","650","5","104"
"congruent","1","2","2","l","575","4","104"
"congruent","1","1","4","a","495","3","104"
"congruent","1","1","3","l","558","4","104"
"congruent","1","2","4","l","569","6","104"
"congruent","1","3","2","l","568","5","104"
