"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","1","5","l","1333","4","131"
"incongruent","1","3","7","l","1503","4","131"
"incongruent","1","1","4","a","822","5","131"
"incongruent","1","3","6","l","890","3","131"
"congruent","1","3","7","a","606","4","131"
"congruent","1","1","4","l","701","5","131"
"incongruent","1","3","4","a","773","7","131"
"incongruent","1","4","7","l","883","3","131"
"incongruent","1","2","6","l","817","4","131"
"incongruent","1","4","3","a","571","7","131"
"incongruent","1","2","4","a","581","6","131"
"incongruent","1","1","2","a","622","3","131"
"incongruent","1","1","3","l","693","2","131"
"incongruent","1","1","3","a","548","4","131"
"congruent","1","4","2","l","549","6","131"
"incongruent","1","1","4","l","824","3","131"
"congruent","1","2","6","a","539","4","131"
"congruent","1","3","4","l","542","7","131"
"incongruent","1","1","3","a","507","4","131"
"congruent","1","2","2","l","669","4","131"
"congruent","1","3","5","a","546","2","131"
"congruent","1","4","2","l","489","6","131"
"congruent","1","3","3","l","817","6","131"
"congruent","1","1","5","a","547","4","131"
"incongruent","1","2","4","a","790","6","131"
"incongruent","1","4","6","l","585","2","131"
"incongruent","1","4","8","l","683","4","131"
"congruent","1","4","4","l","842","8","131"
"incongruent","1","2","2","a","616","4","131"
"congruent","1","3","6","a","606","3","131"
"congruent","1","4","4","l","398","8","131"
"incongruent","1","4","6","l","806","2","131"
"congruent","1","2","3","l","829","5","131"
"congruent","1","4","7","a","494","3","131"
"incongruent","1","2","4","l","614","2","131"
"congruent","1","2","4","a","459","2","131"
"incongruent","1","2","4","l","553","2","131"
"incongruent","1","3","2","a","582","5","131"
"congruent","1","3","7","a","556","4","131"
"congruent","1","4","7","a","528","3","131"
"congruent","1","1","4","l","547","5","131"
"incongruent","1","2","5","l","742","3","131"
"congruent","1","1","4","a","552","3","131"
"incongruent","1","2","2","a","736","4","131"
"congruent","1","1","2","l","590","3","131"
"congruent","1","1","3","a","575","2","131"
"congruent","1","3","2","l","586","5","131"
"congruent","1","3","2","l","628","5","131"
"congruent","1","2","4","l","682","6","131"
"congruent","1","2","4","l","551","6","131"
"incongruent","1","4","8","l","905","4","131"
"incongruent","1","4","2","a","607","6","131"
"incongruent","1","4","2","a","567","6","131"
"congruent","1","2","3","l","551","5","131"
"incongruent","1","4","3","a","630","7","131"
"incongruent","1","4","7","l","624","3","131"
"incongruent","1","3","2","a","612","5","131"
"incongruent","1","2","6","l","587","4","131"
"congruent","1","1","5","a","550","4","131"
"congruent","1","4","3","l","603","7","131"
"incongruent","1","1","4","a","526","5","131"
"incongruent","1","3","5","l","874","2","131"
"congruent","1","1","3","a","550","2","131"
"congruent","1","3","4","l","537","7","131"
"congruent","1","3","5","a","560","2","131"
"incongruent","1","4","4","a","621","8","131"
"congruent","1","4","6","a","525","2","131"
"incongruent","1","3","3","a","573","6","131"
"incongruent","1","1","3","l","1470","2","131"
"congruent","1","3","3","l","627","6","131"
"incongruent","1","3","7","l","742","4","131"
"congruent","1","2","6","a","545","4","131"
"congruent","1","2","5","a","553","3","131"
"incongruent","1","3","3","a","585","6","131"
"incongruent","1","2","3","a","535","5","131"
"congruent","1","1","4","a","516","3","131"
"incongruent","1","1","2","a","755","3","131"
"congruent","1","2","5","a","588","3","131"
"congruent","1","1","3","l","606","4","131"
"incongruent","1","2","5","l","760","3","131"
"congruent","1","4","6","a","486","2","131"
"congruent","1","1","2","l","574","3","131"
"incongruent","1","2","3","a","542","5","131"
"incongruent","1","3","6","l","575","3","131"
"congruent","1","1","3","l","764","4","131"
"congruent","1","2","4","a","520","2","131"
"incongruent","1","1","5","l","518","4","131"
"congruent","1","4","8","a","532","4","131"
"incongruent","1","1","4","l","529","3","131"
"congruent","1","4","3","l","514","7","131"
"incongruent","1","4","4","a","597","8","131"
"incongruent","1","3","5","l","591","2","131"
"congruent","1","2","2","l","587","4","131"
"incongruent","1","3","4","a","597","7","131"
"congruent","1","3","6","a","601","3","131"
"congruent","1","4","8","a","617","4","131"
"congruent","1","2","4","a","536","2","131"
"incongruent","1","4","3","a","521","7","131"
"congruent","1","1","4","l","833","5","131"
"incongruent","1","4","8","l","756","4","131"
"congruent","1","2","2","l","554","4","131"
"congruent","1","4","2","l","619","6","131"
"congruent","1","3","6","a","434","3","131"
"incongruent","1","3","2","a","761","5","131"
"incongruent","1","3","7","l","1639","4","131"
"incongruent","1","3","5","l","964","2","131"
"incongruent","1","1","2","a","580","3","131"
"congruent","1","3","2","l","2170","5","131"
"congruent","1","2","3","l","662","5","131"
"congruent","1","3","3","l","606","6","131"
"incongruent","1","1","4","l","882","3","131"
"incongruent","1","4","6","l","1063","2","131"
"incongruent","1","1","3","a","618","4","131"
"incongruent","1","2","2","a","642","4","131"
"incongruent","1","4","3","a","621","7","131"
"congruent","1","2","4","a","519","2","131"
"congruent","1","4","2","l","785","6","131"
"incongruent","1","3","3","a","611","6","131"
"congruent","1","3","5","a","555","2","131"
"incongruent","1","3","5","l","692","2","131"
"congruent","1","3","6","a","466","3","131"
"incongruent","1","3","6","l","560","3","131"
"congruent","1","3","4","l","623","7","131"
"congruent","1","1","5","a","613","4","131"
"incongruent","1","2","4","a","904","6","131"
"congruent","1","4","6","a","488","2","131"
"incongruent","1","2","4","l","715","2","131"
"congruent","1","3","7","a","507","4","131"
"congruent","1","4","4","l","556","8","131"
"congruent","1","1","4","a","523","3","131"
"congruent","1","4","4","l","814","8","131"
"congruent","1","2","5","a","541","3","131"
"congruent","1","4","8","a","734","4","131"
"incongruent","1","1","2","a","875","3","131"
"incongruent","1","2","3","a","828","5","131"
"congruent","1","1","3","a","676","2","131"
"congruent","1","1","5","a","565","4","131"
"congruent","1","2","6","a","769","4","131"
"incongruent","0","2","5","a","526","3","131"
"congruent","1","4","7","a","871","3","131"
"incongruent","1","4","4","a","1233","8","131"
"congruent","1","4","8","a","766","4","131"
"congruent","1","4","6","a","808","2","131"
"congruent","1","2","4","l","731","6","131"
"incongruent","1","1","3","l","734","2","131"
"congruent","1","1","2","l","690","3","131"
"congruent","1","3","5","a","593","2","131"
"congruent","1","3","3","l","560","6","131"
"congruent","1","3","7","a","669","4","131"
"incongruent","1","1","4","a","704","5","131"
"incongruent","1","3","7","l","774","4","131"
"congruent","1","1","3","a","684","2","131"
"congruent","1","2","3","l","689","5","131"
"incongruent","1","4","2","a","582","6","131"
"incongruent","1","2","2","a","840","4","131"
"congruent","1","3","4","l","646","7","131"
"incongruent","1","4","4","a","894","8","131"
"congruent","1","2","6","a","615","4","131"
"incongruent","1","4","2","a","687","6","131"
"incongruent","1","3","4","a","827","7","131"
"incongruent","1","1","3","a","588","4","131"
"congruent","1","2","2","l","513","4","131"
"incongruent","1","1","3","l","734","2","131"
"congruent","1","4","7","a","529","3","131"
"incongruent","1","4","7","l","762","3","131"
"incongruent","1","1","5","l","2277","4","131"
"congruent","1","4","3","l","598","7","131"
"incongruent","1","4","6","l","930","2","131"
"congruent","1","1","4","l","785","5","131"
"incongruent","1","3","4","a","1021","7","131"
"incongruent","1","3","3","a","736","6","131"
"congruent","1","2","5","a","953","3","131"
"incongruent","1","1","5","l","879","4","131"
"congruent","1","1","4","a","622","3","131"
"incongruent","1","2","5","l","664","3","131"
"congruent","1","1","3","l","674","4","131"
"incongruent","1","1","4","l","1099","3","131"
"incongruent","1","2","3","a","838","5","131"
"incongruent","1","2","4","a","713","6","131"
"incongruent","1","2","6","l","630","4","131"
"congruent","1","2","4","l","733","6","131"
"congruent","1","4","3","l","626","7","131"
"incongruent","1","2","6","l","877","4","131"
"incongruent","1","4","8","l","737","4","131"
"incongruent","1","3","2","a","665","5","131"
"incongruent","1","3","6","l","664","3","131"
"congruent","1","3","2","l","700","5","131"
"incongruent","1","2","4","l","892","2","131"
"congruent","1","1","3","l","1147","4","131"
"incongruent","1","1","4","a","652","5","131"
"congruent","1","1","2","l","683","3","131"
"incongruent","1","4","7","l","769","3","131"
"congruent","1","4","7","a","591","3","131"
"congruent","1","4","8","a","581","4","131"
"incongruent","1","1","3","a","728","4","131"
"incongruent","1","4","2","a","692","6","131"
"incongruent","1","3","7","l","828","4","131"
"congruent","1","4","6","a","853","2","131"
"incongruent","1","2","4","l","1405","2","131"
"incongruent","1","1","2","a","692","3","131"
"incongruent","1","1","5","l","1069","4","131"
"incongruent","1","4","8","l","806","4","131"
"congruent","1","4","3","l","542","7","131"
"congruent","1","2","5","a","711","3","131"
"incongruent","1","1","4","l","575","3","131"
"incongruent","1","3","4","a","698","7","131"
"congruent","1","4","8","a","532","4","131"
"incongruent","1","2","3","a","892","5","131"
"congruent","1","4","4","l","537","8","131"
"incongruent","1","3","4","a","567","7","131"
"congruent","1","2","4","a","661","2","131"
"incongruent","1","2","6","l","681","4","131"
"congruent","1","3","4","l","1161","7","131"
"incongruent","1","4","3","a","761","7","131"
"incongruent","1","4","6","l","674","2","131"
"incongruent","1","4","4","a","629","8","131"
"congruent","1","3","7","a","764","4","131"
"incongruent","1","1","4","l","687","3","131"
"congruent","1","3","2","l","652","5","131"
"incongruent","1","2","3","a","600","5","131"
"congruent","1","1","5","a","651","4","131"
"congruent","1","1","4","a","693","3","131"
"congruent","1","4","2","l","826","6","131"
"incongruent","1","4","4","a","577","8","131"
"incongruent","1","4","2","a","944","6","131"
"congruent","1","3","5","a","569","2","131"
"congruent","1","2","6","a","556","4","131"
"congruent","1","3","4","l","596","7","131"
"congruent","1","2","3","l","725","5","131"
"incongruent","1","1","3","a","569","4","131"
