"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","3","l","676","5","113"
"incongruent","1","3","3","a","694","6","113"
"congruent","1","2","2","l","642","4","113"
"incongruent","1","1","4","l","679","3","113"
"incongruent","1","3","2","a","763","5","113"
"incongruent","1","4","6","l","556","2","113"
"incongruent","1","1","3","l","684","2","113"
"congruent","1","2","4","a","482","2","113"
"incongruent","1","2","6","l","572","4","113"
"incongruent","1","3","5","l","512","2","113"
"incongruent","1","2","3","a","531","5","113"
"incongruent","1","1","2","a","600","3","113"
"congruent","1","1","2","l","419","3","113"
"incongruent","1","1","4","a","487","5","113"
"incongruent","1","3","3","a","671","6","113"
"congruent","1","1","5","a","528","4","113"
"congruent","1","4","6","a","453","2","113"
"congruent","1","4","2","l","437","6","113"
"incongruent","1","2","5","l","507","3","113"
"incongruent","1","4","6","l","512","2","113"
"incongruent","1","4","2","a","429","6","113"
"congruent","1","4","8","a","443","4","113"
"incongruent","1","1","2","a","608","3","113"
"incongruent","1","1","5","l","439","4","113"
"incongruent","1","1","3","a","981","4","113"
"congruent","1","4","7","a","445","3","113"
"incongruent","1","4","8","l","441","4","113"
"congruent","1","1","4","l","488","5","113"
"incongruent","1","2","6","l","484","4","113"
"congruent","1","1","2","l","511","3","113"
"incongruent","1","4","4","a","486","8","113"
"incongruent","1","1","3","l","500","2","113"
"congruent","1","1","4","l","437","5","113"
"incongruent","1","4","8","l","433","4","113"
"congruent","1","1","3","l","392","4","113"
"congruent","1","4","3","l","390","7","113"
"congruent","1","2","4","l","473","6","113"
"incongruent","1","1","4","a","457","5","113"
"incongruent","1","2","4","l","506","2","113"
"congruent","1","4","4","l","495","8","113"
"congruent","1","1","4","a","406","3","113"
"congruent","1","4","8","a","499","4","113"
"incongruent","1","1","4","l","410","3","113"
"congruent","1","3","7","a","429","4","113"
"congruent","1","3","4","l","430","7","113"
"incongruent","1","3","6","l","510","3","113"
"incongruent","1","2","4","a","418","6","113"
"congruent","1","2","4","l","424","6","113"
"congruent","1","3","2","l","467","5","113"
"incongruent","1","4","3","a","462","7","113"
"incongruent","1","2","4","l","428","2","113"
"incongruent","1","3","7","l","401","4","113"
"congruent","1","2","5","a","490","3","113"
"congruent","1","2","4","a","487","2","113"
"congruent","1","3","6","a","465","3","113"
"congruent","1","2","5","a","528","3","113"
"congruent","1","3","2","l","483","5","113"
"incongruent","1","2","3","a","503","5","113"
"congruent","1","3","3","l","420","6","113"
"congruent","1","4","6","a","429","2","113"
"incongruent","1","3","6","l","427","3","113"
"incongruent","1","1","5","l","444","4","113"
"congruent","1","3","5","a","412","2","113"
"incongruent","1","2","2","a","505","4","113"
"congruent","0","1","5","l","469","4","113"
"incongruent","1","3","5","l","622","2","113"
"incongruent","1","4","3","a","937","7","113"
"incongruent","1","4","7","l","527","3","113"
"congruent","1","4","2","l","455","6","113"
"incongruent","1","4","7","l","527","3","113"
"congruent","1","3","6","a","448","3","113"
"congruent","1","3","3","l","493","6","113"
"incongruent","1","3","4","a","397","7","113"
"congruent","1","2","6","a","474","4","113"
"incongruent","1","3","7","l","460","4","113"
"incongruent","1","3","2","a","570","5","113"
"congruent","1","2","6","a","426","4","113"
"congruent","1","3","5","a","442","2","113"
"congruent","1","1","3","l","467","4","113"
"incongruent","1","4","4","a","414","8","113"
"incongruent","1","2","4","a","441","6","113"
"congruent","1","3","7","a","429","4","113"
"congruent","1","4","3","l","452","7","113"
"congruent","1","4","7","a","365","3","113"
"incongruent","1","1","3","a","579","4","113"
"incongruent","1","4","2","a","457","6","113"
"congruent","1","2","3","l","525","5","113"
"incongruent","1","2","5","l","560","3","113"
"congruent","1","1","4","a","479","3","113"
"congruent","1","2","2","l","427","4","113"
"congruent","1","3","4","l","555","7","113"
"congruent","1","1","3","a","391","2","113"
"congruent","0","1","3","l","395","2","113"
"congruent","1","4","4","l","657","8","113"
"incongruent","1","2","2","a","543","4","113"
"incongruent","1","3","4","a","799","7","113"
"congruent","1","1","5","a","544","4","113"
"incongruent","1","2","4","a","468","6","113"
"congruent","1","2","2","l","499","4","113"
"incongruent","1","4","6","l","631","2","113"
"congruent","1","4","7","a","448","3","113"
"incongruent","1","1","3","a","488","4","113"
"congruent","1","1","2","l","546","3","113"
"incongruent","1","3","4","a","550","7","113"
"incongruent","1","4","3","a","583","7","113"
"incongruent","1","2","5","l","574","3","113"
"incongruent","1","1","3","a","526","4","113"
"congruent","1","4","6","a","481","2","113"
"incongruent","1","1","4","l","573","3","113"
