"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","3","l","658","7","103"
"congruent","1","2","4","a","573","2","103"
"congruent","1","4","3","l","565","7","103"
"incongruent","0","1","3","a","661","2","103"
"incongruent","0","4","8","a","1168","4","103"
"congruent","1","1","5","a","802","4","103"
"congruent","1","1","3","a","672","2","103"
"congruent","1","1","4","l","695","5","103"
"incongruent","1","3","2","a","671","5","103"
"congruent","1","2","2","l","484","4","103"
"incongruent","1","1","4","a","431","5","103"
"incongruent","1","1","5","l","516","4","103"
"congruent","1","3","7","a","421","4","103"
"congruent","1","4","7","a","505","3","103"
"incongruent","1","2","4","a","689","6","103"
"incongruent","1","4","7","l","535","3","103"
"incongruent","1","1","3","a","708","4","103"
"congruent","1","3","3","l","419","6","103"
"congruent","1","1","2","l","523","3","103"
"congruent","1","2","6","a","470","4","103"
"incongruent","1","3","4","a","506","7","103"
"congruent","1","3","6","a","448","3","103"
"incongruent","1","3","3","a","552","6","103"
"congruent","1","2","6","a","422","4","103"
"incongruent","1","3","6","l","452","3","103"
"congruent","1","2","4","a","424","2","103"
"incongruent","1","3","5","l","468","2","103"
"incongruent","1","2","6","l","474","4","103"
"incongruent","1","1","4","a","389","5","103"
"incongruent","1","2","4","a","485","6","103"
"incongruent","1","4","7","l","515","3","103"
"incongruent","1","2","2","a","431","4","103"
"incongruent","0","4","4","l","530","8","103"
"incongruent","1","2","5","l","708","3","103"
"incongruent","1","2","4","l","494","2","103"
"incongruent","1","4","3","a","605","7","103"
"congruent","1","2","3","l","509","5","103"
"congruent","1","3","2","l","462","5","103"
"incongruent","1","1","3","a","402","4","103"
"incongruent","1","2","5","l","534","3","103"
"incongruent","1","1","2","a","502","3","103"
"congruent","1","4","8","a","514","4","103"
"congruent","1","1","4","l","505","5","103"
"incongruent","1","1","5","l","670","4","103"
"congruent","1","3","5","a","431","2","103"
"congruent","1","1","3","l","554","4","103"
"congruent","1","3","7","a","393","4","103"
"incongruent","1","1","4","l","541","3","103"
"congruent","1","2","4","l","675","6","103"
"congruent","1","3","2","l","501","5","103"
"incongruent","1","2","3","a","471","5","103"
"incongruent","1","3","5","l","486","2","103"
"incongruent","0","3","7","a","511","4","103"
"incongruent","1","2","3","a","609","5","103"
"incongruent","1","3","4","a","644","7","103"
"congruent","1","2","4","l","489","6","103"
"incongruent","1","1","2","a","509","3","103"
"incongruent","1","3","3","a","498","6","103"
"congruent","1","2","2","l","452","4","103"
"incongruent","1","2","4","l","489","2","103"
"congruent","1","4","4","l","522","8","103"
"incongruent","1","4","6","l","490","2","103"
"congruent","1","3","4","l","563","7","103"
"incongruent","1","4","2","a","528","6","103"
"congruent","1","4","6","a","528","2","103"
"incongruent","0","4","4","l","452","8","103"
"congruent","1","4","2","l","572","6","103"
"congruent","1","2","3","l","491","5","103"
"incongruent","1","4","8","l","673","4","103"
"incongruent","1","2","6","l","528","4","103"
"incongruent","1","2","2","a","476","4","103"
"congruent","1","1","2","l","555","3","103"
"congruent","1","3","5","a","504","2","103"
"congruent","1","4","7","a","503","3","103"
"incongruent","1","3","6","l","543","3","103"
"congruent","1","1","3","l","537","4","103"
"congruent","1","3","3","l","481","6","103"
"congruent","1","2","5","a","511","3","103"
"congruent","1","1","3","a","687","2","103"
"congruent","1","4","4","l","549","8","103"
"congruent","1","1","4","a","518","3","103"
"congruent","1","1","4","a","600","3","103"
"congruent","1","4","8","a","521","4","103"
"congruent","1","4","6","a","457","2","103"
"incongruent","1","1","4","l","529","3","103"
"congruent","1","3","4","l","585","7","103"
"incongruent","1","4","2","a","672","6","103"
"incongruent","1","1","3","l","565","2","103"
"congruent","1","3","6","a","510","3","103"
"incongruent","1","4","3","a","617","7","103"
"incongruent","1","3","7","l","482","4","103"
"congruent","1","4","2","l","543","6","103"
"congruent","1","2","5","a","541","3","103"
"incongruent","1","4","6","l","536","2","103"
"incongruent","1","3","2","a","423","5","103"
"congruent","1","1","5","a","486","4","103"
"congruent","1","2","4","l","820","6","103"
