"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","1","2","a","1475","3","107"
"congruent","1","1","4","l","846","5","107"
"congruent","1","1","4","l","611","5","107"
"incongruent","1","1","3","a","506","4","107"
"congruent","1","4","6","a","1152","2","107"
"congruent","1","3","2","l","542","5","107"
"congruent","1","2","3","l","637","5","107"
"incongruent","1","3","6","l","707","3","107"
"incongruent","1","3","5","l","490","2","107"
"incongruent","1","1","2","a","782","3","107"
"congruent","1","1","3","a","913","2","107"
"congruent","1","4","7","a","1520","3","107"
"congruent","1","1","5","a","881","4","107"
"incongruent","1","3","2","a","1168","5","107"
"congruent","1","3","3","l","1260","6","107"
"congruent","1","1","4","a","613","3","107"
"congruent","1","1","4","a","874","3","107"
"incongruent","1","3","7","l","1181","4","107"
"incongruent","1","2","6","l","580","4","107"
"congruent","1","1","2","l","1028","3","107"
"incongruent","1","2","4","l","535","2","107"
"congruent","1","4","7","a","608","3","107"
"congruent","1","3","7","a","734","4","107"
"congruent","1","2","4","l","802","6","107"
"incongruent","1","4","7","l","722","3","107"
"incongruent","1","4","4","a","638","8","107"
"incongruent","1","3","6","l","1068","3","107"
"incongruent","1","4","8","l","1049","4","107"
"incongruent","1","4","3","a","687","7","107"
"incongruent","1","1","3","a","929","4","107"
"congruent","1","2","4","a","769","2","107"
"incongruent","1","4","7","l","1597","3","107"
"incongruent","1","4","4","a","597","8","107"
"incongruent","1","2","3","a","1851","5","107"
"congruent","1","4","2","l","1372","6","107"
"incongruent","1","4","6","l","1333","2","107"
"congruent","1","2","6","a","722","4","107"
"congruent","1","2","6","a","2256","4","107"
"incongruent","1","1","4","a","1002","5","107"
"congruent","1","3","3","l","1154","6","107"
"incongruent","1","2","3","a","1251","5","107"
"congruent","1","3","6","a","961","3","107"
"congruent","1","1","3","a","1218","2","107"
"incongruent","1","2","2","a","792","4","107"
"congruent","1","2","4","l","1460","6","107"
"incongruent","1","3","4","a","622","7","107"
"congruent","1","4","3","l","1061","7","107"
"congruent","1","3","2","l","1214","5","107"
"incongruent","1","2","2","a","1021","4","107"
"incongruent","1","4","8","l","1148","4","107"
"congruent","1","2","2","l","850","4","107"
"congruent","1","4","4","l","1175","8","107"
"incongruent","1","1","3","l","1072","2","107"
