"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","4","6","l","1217","2","135"
"congruent","1","3","2","l","759","5","135"
"incongruent","1","2","4","l","686","2","135"
"incongruent","1","2","2","a","484","4","135"
"incongruent","1","3","3","a","615","6","135"
"congruent","1","2","3","l","378","5","135"
"incongruent","1","1","5","l","393","4","135"
"incongruent","1","2","4","l","399","2","135"
"congruent","1","1","3","a","565","2","135"
"congruent","1","2","3","l","334","5","135"
"congruent","1","3","7","a","450","4","135"
"incongruent","1","2","5","l","422","3","135"
"incongruent","1","1","2","a","405","3","135"
"incongruent","1","4","3","a","713","7","135"
"congruent","1","2","2","l","481","4","135"
"congruent","1","2","2","l","447","4","135"
"incongruent","1","4","3","a","367","7","135"
"congruent","1","2","4","a","518","2","135"
"congruent","1","3","6","a","477","3","135"
"incongruent","1","4","8","l","422","4","135"
"congruent","1","3","3","l","444","6","135"
"incongruent","1","3","2","a","643","5","135"
"incongruent","1","3","5","l","362","2","135"
"incongruent","1","1","4","l","626","3","135"
"incongruent","1","3","2","a","483","5","135"
"incongruent","1","1","3","l","447","2","135"
"congruent","1","3","4","l","653","7","135"
"incongruent","1","3","5","l","448","2","135"
"congruent","1","4","6","a","365","2","135"
"incongruent","0","4","7","a","518","3","135"
"incongruent","0","2","3","l","2","5","135"
"congruent","1","1","2","l","686","3","135"
"congruent","1","4","6","a","733","2","135"
"congruent","1","1","3","l","491","4","135"
"congruent","1","4","4","l","570","8","135"
"congruent","1","2","5","a","454","3","135"
"congruent","1","3","6","a","521","3","135"
"congruent","1","1","4","l","581","5","135"
"incongruent","1","3","7","l","471","4","135"
"incongruent","1","4","8","l","473","4","135"
"congruent","1","4","7","a","462","3","135"
"congruent","1","4","8","a","445","4","135"
"incongruent","1","2","3","a","536","5","135"
"congruent","1","2","6","a","827","4","135"
"incongruent","1","2","6","l","464","4","135"
"congruent","1","2","6","a","437","4","135"
"congruent","1","1","3","a","440","2","135"
"incongruent","1","1","5","l","378","4","135"
"incongruent","1","1","3","l","434","2","135"
"congruent","1","1","5","a","432","4","135"
"incongruent","1","3","3","a","497","6","135"
"congruent","1","1","4","a","436","3","135"
"incongruent","1","2","2","a","366","4","135"
"incongruent","0","3","4","l","327","7","135"
"congruent","0","4","7","l","1","3","135"
"incongruent","1","4","2","a","650","6","135"
"congruent","1","1","4","a","486","3","135"
"congruent","1","4","3","l","463","7","135"
"incongruent","1","4","4","a","434","8","135"
"congruent","1","3","3","l","484","6","135"
"congruent","1","4","2","l","498","6","135"
"congruent","1","2","4","l","625","6","135"
"incongruent","1","3","4","a","470","7","135"
"congruent","1","2","4","l","424","6","135"
"congruent","1","3","5","a","528","2","135"
"incongruent","1","1","3","a","446","4","135"
"incongruent","1","1","4","l","464","3","135"
"incongruent","1","2","4","a","390","6","135"
"incongruent","1","3","7","l","435","4","135"
"incongruent","1","3","6","l","636","3","135"
"incongruent","1","1","4","a","418","5","135"
"congruent","1","1","3","l","448","4","135"
"incongruent","1","1","4","a","462","5","135"
"congruent","1","4","2","l","430","6","135"
"incongruent","1","2","4","a","429","6","135"
"incongruent","1","4","7","l","540","3","135"
"congruent","1","4","8","a","402","4","135"
"congruent","1","2","5","a","421","3","135"
"congruent","1","1","2","l","374","3","135"
"congruent","1","3","7","a","355","4","135"
"congruent","1","1","5","a","405","4","135"
"incongruent","1","1","3","a","454","4","135"
"incongruent","1","2","5","l","358","3","135"
"congruent","1","4","4","l","489","8","135"
"congruent","1","3","5","a","405","2","135"
"congruent","1","1","4","l","369","5","135"
"congruent","1","3","4","l","451","7","135"
"incongruent","1","1","2","a","512","3","135"
"incongruent","1","3","6","l","353","3","135"
"congruent","1","3","2","l","490","5","135"
"incongruent","1","2","6","l","615","4","135"
"incongruent","1","4","2","a","549","6","135"
"congruent","1","4","3","l","413","7","135"
"incongruent","1","4","4","a","439","8","135"
"incongruent","1","4","6","l","445","2","135"
"congruent","1","2","4","a","445","2","135"
"congruent","1","1","4","l","597","5","135"
"incongruent","1","3","5","l","496","2","135"
"congruent","1","3","7","a","403","4","135"
"incongruent","1","3","5","l","403","2","135"
"congruent","1","4","7","a","438","3","135"
"congruent","1","1","3","a","495","2","135"
"congruent","1","2","3","l","341","5","135"
"congruent","1","4","2","l","406","6","135"
"congruent","1","3","5","a","407","2","135"
"congruent","1","2","4","l","368","6","135"
"incongruent","1","1","3","a","358","4","135"
"congruent","1","3","4","l","342","7","135"
"congruent","1","2","4","a","482","2","135"
"congruent","1","1","2","l","384","3","135"
"incongruent","1","2","6","l","546","4","135"
"congruent","1","3","3","l","448","6","135"
"congruent","1","4","3","l","430","7","135"
"congruent","1","1","4","l","482","5","135"
"incongruent","1","4","8","l","440","4","135"
"incongruent","1","3","3","a","592","6","135"
"incongruent","1","4","6","l","629","2","135"
"incongruent","1","2","3","a","405","5","135"
"congruent","1","2","3","l","352","5","135"
"congruent","1","3","2","l","463","5","135"
"congruent","1","1","4","a","452","3","135"
"incongruent","1","4","3","a","633","7","135"
"incongruent","1","4","4","a","611","8","135"
"incongruent","0","4","2","l","478","6","135"
"incongruent","1","2","2","a","694","4","135"
"incongruent","1","3","6","l","951","3","135"
"congruent","1","1","3","l","386","4","135"
"incongruent","1","1","2","a","769","3","135"
"congruent","1","4","6","a","551","2","135"
"congruent","1","3","3","l","404","6","135"
"incongruent","1","1","5","l","467","4","135"
"congruent","1","4","7","a","415","3","135"
"incongruent","1","1","2","a","464","3","135"
"incongruent","1","4","7","l","428","3","135"
"incongruent","1","2","4","l","493","2","135"
"incongruent","0","1","5","a","623","4","135"
"congruent","1","4","4","l","657","8","135"
"congruent","1","4","3","l","819","7","135"
"congruent","1","4","2","l","621","6","135"
"incongruent","1","3","2","a","521","5","135"
"congruent","1","1","2","l","486","3","135"
"congruent","1","2","5","a","461","3","135"
"incongruent","1","2","5","l","570","3","135"
"incongruent","1","2","4","l","522","2","135"
"congruent","1","4","8","a","494","4","135"
"congruent","1","4","4","l","434","8","135"
"incongruent","1","2","4","a","389","6","135"
"congruent","1","3","5","a","460","2","135"
"incongruent","1","1","4","l","370","3","135"
"incongruent","0","1","3","a","351","2","135"
"incongruent","1","4","7","l","270","3","135"
"incongruent","1","1","3","a","517","4","135"
"incongruent","1","4","6","l","490","2","135"
"congruent","1","3","2","l","522","5","135"
"congruent","1","1","4","a","426","3","135"
"incongruent","1","2","5","l","490","3","135"
"congruent","1","3","4","l","732","7","135"
"incongruent","1","3","3","a","414","6","135"
"incongruent","1","1","3","l","461","2","135"
"incongruent","1","3","7","l","457","4","135"
"congruent","1","1","3","l","481","4","135"
"congruent","1","2","6","a","319","4","135"
"congruent","1","2","4","l","337","6","135"
"incongruent","1","2","2","a","486","4","135"
"congruent","1","2","5","a","521","3","135"
"congruent","1","1","3","a","439","2","135"
"incongruent","1","4","3","a","575","7","135"
"incongruent","1","3","4","a","407","7","135"
"congruent","1","2","2","l","389","4","135"
"congruent","1","2","4","a","430","2","135"
"incongruent","1","3","6","l","429","3","135"
"incongruent","1","4","2","a","459","6","135"
"incongruent","1","3","7","l","421","4","135"
"congruent","1","4","8","a","483","4","135"
"incongruent","0","1","4","l","707","5","135"
"congruent","1","3","7","a","645","4","135"
"congruent","1","3","6","a","484","3","135"
"incongruent","1","3","4","a","616","7","135"
"incongruent","1","4","4","a","368","8","135"
"incongruent","1","1","4","a","528","5","135"
"incongruent","1","1","4","l","349","3","135"
