"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","4","l","1493","8","116"
"congruent","1","4","2","l","750","6","116"
"congruent","1","3","6","a","680","3","116"
"incongruent","1","3","7","l","611","4","116"
"incongruent","1","4","3","a","557","7","116"
"congruent","1","4","3","l","450","7","116"
"incongruent","1","2","4","a","449","6","116"
"congruent","1","2","6","a","473","4","116"
"congruent","1","4","2","l","406","6","116"
"congruent","1","2","4","l","563","6","116"
"congruent","1","2","3","l","456","5","116"
"congruent","1","3","3","l","465","6","116"
"incongruent","1","1","5","l","618","4","116"
"congruent","1","1","3","l","467","4","116"
"congruent","1","1","3","a","440","2","116"
"incongruent","1","2","2","a","473","4","116"
"congruent","1","2","2","l","416","4","116"
"congruent","1","3","2","l","551","5","116"
"incongruent","1","1","5","l","715","4","116"
"incongruent","1","2","6","l","563","4","116"
"incongruent","1","2","5","l","673","3","116"
"incongruent","1","1","3","a","573","4","116"
"incongruent","1","3","3","a","536","6","116"
"incongruent","1","4","8","l","579","4","116"
"incongruent","1","2","2","a","522","4","116"
"congruent","1","1","4","l","447","5","116"
"congruent","1","2","6","a","460","4","116"
"congruent","1","3","3","l","381","6","116"
"congruent","1","1","5","a","487","4","116"
"incongruent","1","4","7","l","571","3","116"
"incongruent","1","1","4","l","554","3","116"
"incongruent","1","3","4","a","422","7","116"
"incongruent","1","3","6","l","487","3","116"
"congruent","1","4","7","a","440","3","116"
"incongruent","0","4","4","l","373","8","116"
"incongruent","1","4","2","a","627","6","116"
"incongruent","1","1","2","a","613","3","116"
"incongruent","1","4","4","a","481","8","116"
"congruent","1","2","3","l","471","5","116"
"congruent","1","4","8","a","442","4","116"
"congruent","1","1","4","l","381","5","116"
"congruent","1","1","2","l","538","3","116"
"congruent","1","4","7","a","472","3","116"
"congruent","1","1","3","l","365","4","116"
"congruent","1","4","8","a","344","4","116"
"congruent","1","1","5","a","409","4","116"
"congruent","1","3","7","a","393","4","116"
"incongruent","1","3","5","l","396","2","116"
"incongruent","1","3","7","l","465","4","116"
"congruent","1","4","3","l","409","7","116"
"incongruent","1","1","3","l","544","2","116"
"incongruent","1","2","3","a","447","5","116"
"congruent","1","3","5","a","498","2","116"
"incongruent","1","3","6","l","348","3","116"
"incongruent","1","1","4","a","388","5","116"
"congruent","1","3","5","a","401","2","116"
"incongruent","1","1","2","a","401","3","116"
"incongruent","1","3","4","a","425","7","116"
"incongruent","1","4","8","l","382","4","116"
"congruent","1","2","2","l","398","4","116"
"congruent","1","2","5","a","392","3","116"
"incongruent","1","2","4","l","405","2","116"
"incongruent","1","1","3","a","502","4","116"
"incongruent","1","4","6","l","446","2","116"
"congruent","1","1","3","a","525","2","116"
"congruent","1","1","2","l","375","3","116"
"incongruent","1","3","2","a","319","5","116"
"congruent","1","3","6","a","401","3","116"
"incongruent","1","2","4","l","389","2","116"
"congruent","1","4","6","a","511","2","116"
"incongruent","1","2","3","a","521","5","116"
"incongruent","1","4","6","l","413","2","116"
"congruent","1","3","7","a","378","4","116"
"congruent","1","2","5","a","514","3","116"
"congruent","1","1","4","a","410","3","116"
"incongruent","1","2","5","l","470","3","116"
"congruent","1","4","6","a","341","2","116"
"incongruent","0","3","2","l","453","5","116"
"congruent","1","4","4","l","533","8","116"
"incongruent","1","4","2","a","553","6","116"
"incongruent","1","3","3","a","473","6","116"
"congruent","1","3","4","l","476","7","116"
"congruent","1","2","4","a","526","2","116"
"congruent","1","2","4","a","420","2","116"
"incongruent","1","1","3","l","420","2","116"
"incongruent","1","4","3","a","359","7","116"
"congruent","1","3","4","l","391","7","116"
"incongruent","1","1","4","l","507","3","116"
"congruent","1","3","2","l","520","5","116"
"congruent","1","1","4","a","422","3","116"
"incongruent","1","2","6","l","356","4","116"
"congruent","1","2","4","l","479","6","116"
"incongruent","1","3","5","l","490","2","116"
"incongruent","1","4","7","l","554","3","116"
"incongruent","1","2","4","a","564","6","116"
"incongruent","1","1","4","a","463","5","116"
"congruent","1","3","4","l","565","7","116"
"congruent","1","1","3","a","418","2","116"
"congruent","1","3","3","l","393","6","116"
"congruent","1","1","2","l","456","3","116"
