"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","3","l","353","7","99999"
"incongruent","1","4","7","l","614","3","99999"
"congruent","1","1","5","a","484","4","99999"
"congruent","1","1","4","a","519","3","99999"
"congruent","1","4","7","a","452","3","99999"
"congruent","1","1","4","a","403","3","99999"
"congruent","1","3","4","l","464","7","99999"
"incongruent","1","1","2","a","463","3","99999"
"incongruent","0","4","2","l","522","6","99999"
"incongruent","1","2","2","a","530","4","99999"
"incongruent","1","4","8","l","428","4","99999"
"incongruent","1","4","3","a","358","7","99999"
"incongruent","1","2","4","a","528","6","99999"
"congruent","1","2","5","a","364","3","99999"
"incongruent","1","1","5","l","362","4","99999"
"congruent","1","4","8","a","421","4","99999"
"incongruent","1","4","6","l","551","2","99999"
"incongruent","0","1","4","a","458","3","99999"
