"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","4","a","1798","7","120"
"incongruent","1","1","4","a","830","5","120"
"congruent","1","4","3","l","566","7","120"
"incongruent","1","1","4","l","865","3","120"
"incongruent","1","4","7","l","578","3","120"
"congruent","1","3","4","l","639","7","120"
"congruent","1","4","8","a","644","4","120"
"congruent","1","4","6","a","567","2","120"
"incongruent","1","1","3","l","477","2","120"
"congruent","1","1","5","a","520","4","120"
"incongruent","1","3","2","a","711","5","120"
"congruent","1","1","3","l","393","4","120"
"incongruent","1","3","4","a","431","7","120"
"incongruent","1","3","7","l","492","4","120"
"incongruent","1","2","6","l","447","4","120"
"incongruent","1","3","7","l","457","4","120"
"congruent","1","1","3","l","459","4","120"
"congruent","1","1","4","a","427","3","120"
"congruent","1","3","5","a","824","2","120"
"incongruent","1","3","5","l","538","2","120"
"congruent","1","3","2","l","710","5","120"
"incongruent","1","2","2","a","822","4","120"
"congruent","1","3","7","a","944","4","120"
"congruent","1","1","4","a","707","3","120"
"incongruent","1","1","2","a","539","3","120"
"congruent","1","4","2","l","497","6","120"
"incongruent","1","3","6","l","674","3","120"
"incongruent","1","1","3","l","490","2","120"
"incongruent","1","2","4","a","701","6","120"
"congruent","1","4","3","l","470","7","120"
"incongruent","1","4","7","l","899","3","120"
"congruent","1","2","5","a","605","3","120"
"incongruent","1","2","4","l","493","2","120"
"congruent","1","1","3","a","685","2","120"
"incongruent","1","1","3","a","1099","4","120"
"incongruent","1","3","3","a","657","6","120"
"incongruent","1","3","3","a","722","6","120"
"incongruent","1","1","4","l","575","3","120"
"congruent","1","4","2","l","550","6","120"
"congruent","1","2","6","a","811","4","120"
"incongruent","1","2","3","a","797","5","120"
"incongruent","1","2","5","l","493","3","120"
"incongruent","1","4","6","l","598","2","120"
"congruent","1","4","4","l","634","8","120"
"incongruent","1","3","5","l","477","2","120"
"incongruent","1","4","4","a","507","8","120"
"incongruent","1","2","4","l","422","2","120"
"incongruent","1","4","3","a","1125","7","120"
"congruent","1","2","2","l","573","4","120"
"congruent","1","4","4","l","593","8","120"
"congruent","1","2","4","l","1006","6","120"
"congruent","1","2","5","a","555","3","120"
"congruent","1","3","2","l","468","5","120"
"congruent","1","3","6","a","536","3","120"
"congruent","1","3","5","a","685","2","120"
"incongruent","1","1","5","l","589","4","120"
"congruent","1","1","4","l","467","5","120"
"congruent","1","2","3","l","414","5","120"
"incongruent","1","1","4","a","589","5","120"
"incongruent","1","4","8","l","535","4","120"
"incongruent","1","4","6","l","823","2","120"
"incongruent","1","2","2","a","684","4","120"
"congruent","1","2","4","a","769","2","120"
"incongruent","1","4","2","a","657","6","120"
"congruent","1","3","7","a","1136","4","120"
"congruent","1","3","3","l","472","6","120"
"incongruent","1","2","4","a","538","6","120"
"incongruent","1","3","2","a","504","5","120"
"congruent","1","3","6","a","501","3","120"
"incongruent","1","1","2","a","569","3","120"
"incongruent","1","1","3","a","536","4","120"
"incongruent","1","2","3","a","597","5","120"
"incongruent","1","2","6","l","618","4","120"
"congruent","1","4","6","a","573","2","120"
"congruent","1","2","4","a","491","2","120"
"incongruent","1","2","5","l","452","3","120"
"congruent","1","2","3","l","538","5","120"
"incongruent","1","1","5","l","845","4","120"
