"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","3","l","759","5","105"
"congruent","1","2","4","l","500","6","105"
"congruent","1","2","3","l","586","5","105"
"incongruent","0","1","4","a","624","3","105"
"incongruent","0","1","3","a","822","2","105"
"congruent","1","1","5","a","766","4","105"
"incongruent","0","3","7","a","1184","4","105"
"congruent","1","1","4","l","606","5","105"
"incongruent","0","3","4","l","648","7","105"
"incongruent","0","4","4","l","650","8","105"
"incongruent","0","2","4","l","774","6","105"
"incongruent","0","3","6","a","565","3","105"
"incongruent","0","4","8","a","591","4","105"
"incongruent","0","1","4","l","639","5","105"
"congruent","1","4","4","l","576","8","105"
"congruent","1","4","2","l","1139","6","105"
"congruent","1","4","2","l","474","6","105"
"incongruent","0","3","7","a","459","4","105"
"incongruent","0","2","4","a","514","2","105"
"congruent","1","4","3","l","424","7","105"
"congruent","1","1","3","a","436","2","105"
"incongruent","0","4","2","l","420","6","105"
"congruent","1","3","2","l","532","5","105"
"congruent","1","1","3","l","492","4","105"
"congruent","1","2","4","l","450","6","105"
"incongruent","0","2","3","l","535","5","105"
"congruent","1","1","2","l","483","3","105"
"incongruent","0","4","7","a","505","3","105"
"incongruent","0","3","3","l","538","6","105"
"incongruent","0","4","3","l","516","7","105"
"congruent","1","2","4","a","475","2","105"
"congruent","1","4","6","a","543","2","105"
"congruent","1","3","5","a","421","2","105"
"incongruent","0","3","2","l","461","5","105"
"congruent","1","4","8","a","455","4","105"
"congruent","1","4","7","a","449","3","105"
"congruent","1","1","4","a","490","3","105"
"congruent","1","3","3","l","479","6","105"
"congruent","1","2","5","a","415","3","105"
"congruent","1","2","5","a","435","3","105"
"incongruent","1","4","8","l","464","4","105"
"incongruent","0","2","4","l","881","6","105"
"congruent","1","4","7","a","468","3","105"
"congruent","1","3","4","l","503","7","105"
"incongruent","0","3","5","a","504","2","105"
"incongruent","0","4","2","l","707","6","105"
"congruent","1","3","3","l","746","6","105"
"congruent","1","4","6","a","517","2","105"
"incongruent","0","3","2","l","421","5","105"
"incongruent","0","2","3","l","445","5","105"
"congruent","1","3","7","a","442","4","105"
