"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","4","7","l","1441","3","111"
"congruent","1","1","2","l","650","3","111"
"congruent","1","1","5","a","646","4","111"
"incongruent","1","1","4","a","738","5","111"
"incongruent","1","4","6","l","615","2","111"
"incongruent","1","4","4","a","617","8","111"
"congruent","1","3","7","a","682","4","111"
"incongruent","1","4","8","l","671","4","111"
"congruent","1","1","2","l","646","3","111"
"incongruent","1","4","2","a","687","6","111"
"congruent","1","4","8","a","513","4","111"
"congruent","1","3","2","l","942","5","111"
"congruent","1","1","3","l","692","4","111"
"incongruent","1","1","2","a","678","3","111"
"incongruent","1","1","3","l","512","2","111"
"incongruent","1","4","6","l","899","2","111"
"congruent","1","3","3","l","604","6","111"
"incongruent","1","1","3","a","702","4","111"
"congruent","1","1","4","a","490","3","111"
"incongruent","1","4","2","a","787","6","111"
"congruent","1","3","6","a","634","3","111"
"incongruent","1","2","5","l","740","3","111"
"congruent","1","1","4","l","827","5","111"
"incongruent","1","1","4","a","550","5","111"
"congruent","1","3","6","a","538","3","111"
"congruent","1","4","4","l","590","8","111"
"congruent","1","2","5","a","712","3","111"
"incongruent","1","2","6","l","575","4","111"
"congruent","1","2","5","a","566","3","111"
"congruent","1","4","6","a","658","2","111"
"incongruent","1","3","4","a","689","7","111"
"incongruent","1","2","4","l","750","2","111"
"incongruent","1","1","3","l","582","2","111"
"incongruent","1","2","4","l","1144","2","111"
"congruent","1","1","4","l","561","5","111"
"congruent","1","4","4","l","709","8","111"
"incongruent","1","1","5","l","582","4","111"
"congruent","1","2","3","l","650","5","111"
"incongruent","1","1","4","l","819","3","111"
"congruent","1","2","4","l","476","6","111"
"congruent","1","4","6","a","511","2","111"
"incongruent","1","3","5","l","646","2","111"
"incongruent","1","3","3","a","623","6","111"
"incongruent","1","4","8","l","788","4","111"
"incongruent","1","2","3","a","790","5","111"
"congruent","1","3","5","a","563","2","111"
"congruent","1","3","3","l","639","6","111"
"congruent","1","4","2","l","555","6","111"
"congruent","1","2","4","l","484","6","111"
"congruent","1","2","6","a","433","4","111"
"congruent","1","2","6","a","497","4","111"
"congruent","1","1","5","a","419","4","111"
"incongruent","1","3","7","l","701","4","111"
"congruent","1","3","5","a","399","2","111"
"incongruent","1","4","7","l","686","3","111"
"incongruent","1","1","5","l","763","4","111"
"congruent","1","2","4","a","386","2","111"
"incongruent","1","3","2","a","767","5","111"
"incongruent","1","2","6","l","825","4","111"
"incongruent","1","3","5","l","513","2","111"
"congruent","1","2","3","l","821","5","111"
"incongruent","1","2","2","a","509","4","111"
"incongruent","1","2","2","a","510","4","111"
"incongruent","1","1","3","a","624","4","111"
"congruent","1","3","4","l","691","7","111"
"incongruent","1","4","4","a","428","8","111"
"incongruent","1","4","3","a","1041","7","111"
"congruent","1","4","3","l","500","7","111"
"congruent","1","2","4","a","551","2","111"
"incongruent","1","3","2","a","645","5","111"
"incongruent","1","2","4","a","406","6","111"
"congruent","1","1","3","a","680","2","111"
"congruent","1","4","2","l","436","6","111"
"incongruent","1","3","6","l","889","3","111"
"incongruent","1","1","2","a","456","3","111"
"congruent","1","4","7","a","506","3","111"
"congruent","1","3","4","l","525","7","111"
"incongruent","1","2","5","l","595","3","111"
"congruent","1","1","3","a","440","2","111"
"incongruent","1","3","4","a","872","7","111"
"congruent","1","3","7","a","594","4","111"
"congruent","1","1","4","a","465","3","111"
"incongruent","1","1","4","l","1627","3","111"
"congruent","1","4","7","a","544","3","111"
"congruent","1","4","3","l","646","7","111"
"incongruent","1","2","3","a","718","5","111"
"incongruent","1","3","7","l","875","4","111"
"congruent","1","4","8","a","527","4","111"
"incongruent","1","3","6","l","661","3","111"
"incongruent","1","3","3","a","800","6","111"
"congruent","1","2","2","l","740","4","111"
"incongruent","1","2","4","a","718","6","111"
"incongruent","1","4","3","a","735","7","111"
"congruent","1","2","2","l","861","4","111"
"congruent","1","3","2","l","554","5","111"
"congruent","1","1","3","l","690","4","111"
"congruent","1","4","2","l","741","6","111"
"congruent","1","3","2","l","407","5","111"
"incongruent","1","3","3","a","419","6","111"
"congruent","1","2","3","l","685","5","111"
"incongruent","1","3","6","l","899","3","111"
"congruent","1","2","4","a","837","2","111"
"congruent","1","3","3","l","453","6","111"
"congruent","1","2","3","l","479","5","111"
"incongruent","1","1","5","l","481","4","111"
"congruent","1","2","5","a","501","3","111"
"congruent","1","3","4","l","511","7","111"
"incongruent","1","2","5","l","750","3","111"
"congruent","1","4","3","l","696","7","111"
"incongruent","1","3","6","l","849","3","111"
"congruent","1","4","2","l","505","6","111"
