"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","6","l","866","3","148"
"incongruent","1","2","6","l","663","4","148"
"incongruent","1","4","6","l","589","2","148"
"incongruent","1","2","4","a","623","6","148"
"congruent","1","1","3","a","811","2","148"
"congruent","1","2","4","l","494","6","148"
"incongruent","1","1","5","l","487","4","148"
"congruent","1","3","3","l","404","6","148"
"congruent","1","1","2","l","495","3","148"
"congruent","1","2","5","a","512","3","148"
"congruent","1","2","4","l","431","6","148"
"incongruent","1","1","4","l","467","3","148"
"congruent","1","4","4","l","451","8","148"
"congruent","1","1","4","a","586","3","148"
"incongruent","1","3","3","a","745","6","148"
"congruent","1","3","5","a","857","2","148"
"incongruent","1","4","3","a","850","7","148"
"incongruent","1","3","2","a","754","5","148"
"incongruent","1","4","3","a","932","7","148"
"congruent","1","4","3","l","590","7","148"
"congruent","1","4","6","a","754","2","148"
"congruent","1","1","3","l","487","4","148"
"incongruent","1","3","3","a","951","6","148"
"incongruent","1","2","4","a","570","6","148"
"incongruent","1","3","7","l","514","4","148"
"incongruent","1","4","4","a","1134","8","148"
"congruent","1","3","2","l","495","5","148"
"incongruent","1","2","4","l","566","2","148"
"incongruent","1","4","8","l","540","4","148"
"incongruent","1","2","2","a","705","4","148"
"incongruent","1","1","3","l","406","2","148"
"congruent","1","1","4","a","528","3","148"
"incongruent","1","2","5","l","439","3","148"
"congruent","1","3","6","a","423","3","148"
"congruent","1","4","6","a","798","2","148"
"congruent","1","1","4","l","463","5","148"
"congruent","1","4","7","a","552","3","148"
"incongruent","1","3","2","a","1051","5","148"
"incongruent","1","1","4","l","538","3","148"
"congruent","1","2","3","l","400","5","148"
"congruent","1","2","5","a","455","3","148"
"congruent","1","3","7","a","450","4","148"
"incongruent","1","3","7","l","496","4","148"
"incongruent","1","3","5","l","738","2","148"
"congruent","1","3","2","l","459","5","148"
"incongruent","1","2","3","a","711","5","148"
"incongruent","1","2","4","l","535","2","148"
"congruent","1","2","2","l","400","4","148"
"congruent","1","4","2","l","436","6","148"
"congruent","1","2","2","l","444","4","148"
"incongruent","1","4","6","l","516","2","148"
"incongruent","1","3","4","a","686","7","148"
"congruent","1","1","5","a","740","4","148"
"congruent","1","1","3","l","463","4","148"
"congruent","1","4","8","a","742","4","148"
"congruent","1","3","5","a","459","2","148"
"incongruent","1","2","2","a","715","4","148"
"incongruent","1","1","2","a","826","3","148"
"congruent","1","4","8","a","502","4","148"
"incongruent","1","4","7","l","517","3","148"
"congruent","1","4","2","l","396","6","148"
"incongruent","1","2","3","a","663","5","148"
"incongruent","1","4","8","l","337","4","148"
"incongruent","1","4","7","l","653","3","148"
"congruent","1","4","7","a","399","3","148"
"incongruent","0","4","2","l","431","6","148"
"congruent","1","1","2","l","509","3","148"
"incongruent","1","3","4","a","779","7","148"
"congruent","1","3","6","a","691","3","148"
"congruent","1","4","3","l","391","7","148"
"incongruent","1","1","3","a","782","4","148"
"congruent","1","2","4","a","442","2","148"
"incongruent","1","4","4","a","675","8","148"
"congruent","1","3","4","l","424","7","148"
"congruent","1","3","3","l","444","6","148"
"incongruent","1","1","3","a","806","4","148"
"congruent","1","2","6","a","626","4","148"
"incongruent","1","1","4","a","682","5","148"
"congruent","1","2","4","a","482","2","148"
"incongruent","1","2","6","l","419","4","148"
"incongruent","1","4","2","a","774","6","148"
"congruent","1","1","4","l","438","5","148"
"incongruent","1","1","3","l","563","2","148"
"congruent","1","3","7","a","416","4","148"
"incongruent","1","1","2","a","626","3","148"
"congruent","1","2","6","a","474","4","148"
"congruent","1","3","4","l","421","7","148"
"incongruent","1","1","5","l","418","4","148"
"congruent","1","4","4","l","395","8","148"
"incongruent","1","3","5","l","524","2","148"
"congruent","1","1","5","a","533","4","148"
"incongruent","1","2","5","l","375","3","148"
"incongruent","1","1","4","a","400","5","148"
"incongruent","1","3","6","l","390","3","148"
"congruent","1","1","3","a","377","2","148"
"congruent","1","2","3","l","347","5","148"
"incongruent","1","3","2","a","585","5","148"
"congruent","1","2","5","a","470","3","148"
"incongruent","1","4","6","l","355","2","148"
"congruent","1","1","2","l","411","3","148"
"congruent","1","1","3","l","371","4","148"
