"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","0","1","4","l","72","5","9999"
"congruent","1","4","2","l","1","6","9999"
"congruent","0","1","4","a","2","5","9999"
"congruent","1","2","4","l","431","6","9999"
"incongruent","1","4","2","a","2101","6","9999"
"incongruent","1","4","7","l","697","3","9999"
"incongruent","0","4","6","a","585","2","9999"
"incongruent","0","1","3","l","389","4","9999"
"incongruent","0","3","5","a","1","2","9999"
