"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","3","l","673","7","112"
"incongruent","0","2","4","l","540","6","112"
"incongruent","0","3","7","a","2084","4","112"
"incongruent","1","2","6","l","1691","4","112"
"congruent","1","1","2","l","765","3","112"
"congruent","1","2","6","a","640","4","112"
"incongruent","1","1","4","l","630","3","112"
"incongruent","1","4","6","l","629","2","112"
"incongruent","1","1","4","a","560","5","112"
"congruent","1","3","6","a","562","3","112"
"incongruent","1","2","3","a","666","5","112"
"congruent","1","4","6","a","474","2","112"
"congruent","1","4","2","l","509","6","112"
"incongruent","1","4","7","l","508","3","112"
"congruent","1","1","2","l","531","3","112"
"congruent","1","1","3","a","462","2","112"
"congruent","1","2","2","l","494","4","112"
"congruent","1","4","2","l","443","6","112"
"congruent","1","4","7","a","511","3","112"
"incongruent","1","3","3","a","536","6","112"
"incongruent","1","3","5","l","719","2","112"
"congruent","1","1","4","a","558","3","112"
"congruent","1","3","7","a","539","4","112"
"incongruent","1","1","3","l","607","2","112"
"incongruent","1","1","4","l","539","3","112"
"congruent","1","3","6","a","606","3","112"
"congruent","1","4","6","a","486","2","112"
"congruent","1","3","3","l","477","6","112"
"incongruent","1","4","2","a","660","6","112"
"incongruent","1","3","5","l","644","2","112"
"incongruent","1","1","2","a","486","3","112"
"incongruent","1","1","5","l","469","4","112"
"incongruent","1","1","4","a","711","5","112"
"congruent","1","1","5","a","457","4","112"
"congruent","1","4","4","l","438","8","112"
"incongruent","1","1","3","l","507","2","112"
"incongruent","1","2","5","l","459","3","112"
"incongruent","1","1","3","a","536","4","112"
"incongruent","1","3","6","l","451","3","112"
"congruent","1","3","4","l","443","7","112"
"congruent","1","2","2","l","497","4","112"
"congruent","1","2","5","a","439","3","112"
"congruent","0","1","4","l","721","3","112"
"incongruent","1","1","3","a","632","4","112"
"congruent","1","4","8","a","418","4","112"
"incongruent","1","4","8","l","534","4","112"
"congruent","1","2","4","l","442","6","112"
"incongruent","1","3","4","a","532","7","112"
"congruent","1","3","2","l","413","5","112"
"congruent","1","3","2","l","799","5","112"
"incongruent","1","2","6","l","466","4","112"
"incongruent","1","4","4","a","593","8","112"
"congruent","1","1","4","l","427","5","112"
"incongruent","1","3","2","a","599","5","112"
"congruent","1","3","4","l","469","7","112"
"congruent","1","4","8","a","520","4","112"
"incongruent","1","2","4","l","451","2","112"
"incongruent","1","3","7","l","538","4","112"
"congruent","1","4","3","l","523","7","112"
"incongruent","1","3","2","a","637","5","112"
"congruent","1","3","7","a","547","4","112"
"congruent","1","2","5","a","457","3","112"
"congruent","1","1","3","l","530","4","112"
"congruent","1","2","4","a","407","2","112"
"incongruent","1","2","4","l","533","2","112"
"incongruent","1","3","4","a","430","7","112"
"congruent","1","2","3","l","373","5","112"
"congruent","1","3","3","l","403","6","112"
"incongruent","1","2","3","a","439","5","112"
"incongruent","0","4","4","l","573","8","112"
"incongruent","1","4","3","a","999","7","112"
"congruent","1","2","6","a","435","4","112"
"congruent","1","2","4","l","477","6","112"
"incongruent","1","3","6","l","468","3","112"
"incongruent","1","2","2","a","799","4","112"
"congruent","1","2","4","a","625","2","112"
"incongruent","1","1","2","a","582","3","112"
"incongruent","1","4","8","l","454","4","112"
"incongruent","1","2","4","a","574","6","112"
"incongruent","1","3","3","a","412","6","112"
"incongruent","1","2","5","l","533","3","112"
"incongruent","1","4","3","a","432","7","112"
"congruent","1","4","7","a","615","3","112"
"congruent","1","1","4","l","433","5","112"
"incongruent","1","4","6","l","600","2","112"
"incongruent","1","4","2","a","709","6","112"
"congruent","1","3","5","a","505","2","112"
"congruent","1","1","5","a","639","4","112"
"congruent","1","1","3","l","427","4","112"
"incongruent","1","2","2","a","607","4","112"
"incongruent","1","1","5","l","517","4","112"
"congruent","1","4","4","l","412","8","112"
"congruent","1","2","3","l","423","5","112"
"congruent","1","3","5","a","535","2","112"
"congruent","1","1","3","a","472","2","112"
"incongruent","1","4","7","l","461","3","112"
"incongruent","1","3","2","a","848","5","112"
"congruent","1","3","7","a","486","4","112"
"incongruent","1","4","8","l","424","4","112"
"congruent","1","2","5","a","447","3","112"
"congruent","1","3","5","a","473","2","112"
"congruent","1","2","6","a","536","4","112"
"incongruent","1","2","2","a","705","4","112"
"incongruent","1","2","3","a","688","5","112"
"congruent","1","3","6","a","496","3","112"
"congruent","1","2","3","l","461","5","112"
"incongruent","1","3","2","a","788","5","112"
"congruent","1","1","4","l","426","5","112"
"congruent","1","3","7","a","486","4","112"
"congruent","1","1","2","l","422","3","112"
"congruent","1","3","4","l","457","7","112"
"incongruent","0","4","6","a","471","2","112"
"incongruent","1","3","4","a","734","7","112"
"congruent","1","3","6","a","609","3","112"
"incongruent","1","4","7","l","522","3","112"
"congruent","1","3","2","l","482","5","112"
"incongruent","1","1","4","a","1723","5","112"
"congruent","1","4","7","a","512","3","112"
"incongruent","1","4","4","a","768","8","112"
"congruent","1","2","4","a","481","2","112"
"incongruent","1","1","3","l","620","2","112"
"incongruent","1","3","7","l","448","4","112"
"congruent","1","3","2","l","580","5","112"
"incongruent","1","2","6","l","514","4","112"
"congruent","1","3","3","l","400","6","112"
"incongruent","1","2","4","a","852","6","112"
"incongruent","1","3","6","l","476","3","112"
"congruent","1","4","8","a","520","4","112"
"incongruent","1","1","2","a","546","3","112"
"incongruent","0","4","2","l","581","6","112"
"incongruent","1","1","3","l","481","2","112"
"incongruent","1","1","4","a","703","5","112"
"incongruent","1","3","3","a","658","6","112"
"congruent","1","1","4","a","552","3","112"
"incongruent","1","1","4","l","649","3","112"
"congruent","1","4","3","l","486","7","112"
"congruent","0","1","3","l","525","2","112"
"incongruent","1","2","5","l","507","3","112"
"incongruent","1","3","5","l","511","2","112"
"congruent","1","3","5","a","803","2","112"
"congruent","1","3","4","l","478","7","112"
"congruent","1","2","2","l","447","4","112"
"congruent","1","1","3","a","784","2","112"
"incongruent","1","1","5","l","550","4","112"
"congruent","1","2","4","l","584","6","112"
"congruent","1","1","4","a","533","3","112"
"incongruent","1","1","4","l","429","3","112"
"incongruent","1","3","7","l","502","4","112"
"incongruent","1","4","4","a","610","8","112"
"congruent","1","1","3","l","455","4","112"
"congruent","1","4","3","l","402","7","112"
"incongruent","1","4","8","l","386","4","112"
"congruent","0","1","5","l","349","4","112"
"incongruent","1","1","2","a","812","3","112"
"incongruent","0","4","3","l","535","7","112"
"congruent","1","1","5","a","566","4","112"
"congruent","1","4","6","a","568","2","112"
"incongruent","1","4","6","l","614","2","112"
"incongruent","1","3","3","a","548","6","112"
"congruent","1","4","4","l","476","8","112"
"congruent","1","4","2","l","753","6","112"
"incongruent","1","2","4","l","961","2","112"
"congruent","1","3","3","l","431","6","112"
"congruent","1","2","4","a","501","2","112"
"incongruent","1","4","7","l","446","3","112"
"incongruent","1","1","3","a","986","4","112"
"incongruent","1","3","5","l","451","2","112"
"incongruent","1","1","5","l","608","4","112"
"congruent","1","2","4","l","561","6","112"
"congruent","1","1","3","l","465","4","112"
"incongruent","1","2","6","l","601","4","112"
"congruent","1","4","2","l","433","6","112"
"congruent","1","2","5","a","486","3","112"
"congruent","1","1","4","l","485","5","112"
"incongruent","1","2","4","a","645","6","112"
"congruent","1","4","7","a","519","3","112"
"incongruent","1","2","3","a","567","5","112"
"incongruent","1","2","2","a","330","4","112"
"congruent","1","4","8","a","474","4","112"
"incongruent","1","4","3","a","1000","7","112"
"congruent","1","2","2","l","492","4","112"
"congruent","1","4","4","l","506","8","112"
"congruent","1","4","6","a","780","2","112"
"congruent","1","1","2","l","428","3","112"
"congruent","1","2","3","l","433","5","112"
"incongruent","1","3","6","l","409","3","112"
"incongruent","1","1","3","a","564","4","112"
"incongruent","1","2","4","l","380","2","112"
"incongruent","1","3","4","a","506","7","112"
"congruent","1","2","6","a","497","4","112"
"incongruent","1","2","5","l","437","3","112"
"incongruent","0","4","2","l","497","6","112"
"congruent","1","3","7","a","523","4","112"
"incongruent","1","3","2","a","938","5","112"
