"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","2","2","a","2019","4","137"
"incongruent","1","1","3","l","717","2","137"
"congruent","1","4","6","a","841","2","137"
"congruent","1","4","2","l","678","6","137"
"congruent","1","3","6","a","559","3","137"
"congruent","1","2","6","a","566","4","137"
"congruent","1","3","7","a","690","4","137"
"incongruent","1","4","4","a","745","8","137"
"incongruent","1","1","3","l","743","2","137"
"incongruent","1","4","6","l","609","2","137"
"congruent","1","1","3","a","555","2","137"
"incongruent","1","2","5","l","565","3","137"
"congruent","1","1","4","l","687","5","137"
"incongruent","1","4","8","l","600","4","137"
"incongruent","1","3","2","a","560","5","137"
"congruent","1","2","2","l","453","4","137"
"congruent","1","2","3","l","529","5","137"
"incongruent","0","3","7","a","509","4","137"
"congruent","1","1","4","a","670","3","137"
"incongruent","1","4","3","a","1155","7","137"
"incongruent","1","4","2","a","618","6","137"
"incongruent","1","2","4","a","806","6","137"
"incongruent","1","1","2","a","638","3","137"
"congruent","1","2","4","a","444","2","137"
"congruent","1","3","5","a","458","2","137"
"congruent","1","4","7","a","678","3","137"
"congruent","1","4","2","l","538","6","137"
"congruent","1","2","2","l","583","4","137"
"incongruent","1","3","2","a","580","5","137"
"congruent","1","1","2","l","476","3","137"
"incongruent","1","4","7","l","654","3","137"
"incongruent","1","2","3","a","503","5","137"
"incongruent","1","2","2","a","872","4","137"
"incongruent","1","3","3","a","567","6","137"
"congruent","1","4","8","a","657","4","137"
"incongruent","1","3","3","a","567","6","137"
"congruent","1","1","5","a","827","4","137"
"incongruent","1","2","4","l","558","2","137"
"incongruent","1","3","6","l","627","3","137"
"incongruent","1","1","3","a","431","4","137"
"incongruent","1","1","4","a","682","5","137"
"incongruent","1","4","6","l","853","2","137"
"incongruent","1","2","6","l","606","4","137"
"congruent","1","1","5","a","453","4","137"
"congruent","1","4","6","a","531","2","137"
"incongruent","1","4","7","l","575","3","137"
"incongruent","1","3","5","l","609","2","137"
"congruent","1","2","4","l","490","6","137"
"incongruent","1","4","3","a","460","7","137"
"congruent","1","4","4","l","501","8","137"
"incongruent","1","2","5","l","627","3","137"
"incongruent","1","3","7","l","478","4","137"
"congruent","1","1","3","l","683","4","137"
"congruent","1","1","4","a","672","3","137"
"incongruent","1","3","5","l","579","2","137"
"congruent","1","1","3","l","467","4","137"
"incongruent","1","2","6","l","499","4","137"
"congruent","1","2","4","a","603","2","137"
"incongruent","1","4","8","l","401","4","137"
"congruent","1","1","3","a","586","2","137"
"incongruent","1","1","4","l","454","3","137"
"congruent","1","3","6","a","542","3","137"
"congruent","1","3","3","l","591","6","137"
"incongruent","1","3","4","a","580","7","137"
"incongruent","1","3","6","l","479","3","137"
"congruent","1","3","2","l","479","5","137"
"incongruent","1","1","5","l","570","4","137"
"congruent","1","4","8","a","472","4","137"
"congruent","1","2","5","a","574","3","137"
"congruent","1","3","7","a","527","4","137"
"congruent","1","3","4","l","437","7","137"
"incongruent","1","2","4","l","643","2","137"
"incongruent","1","1","4","l","492","3","137"
"incongruent","1","2","3","a","631","5","137"
"congruent","1","2","5","a","592","3","137"
"congruent","1","1","4","l","466","5","137"
"congruent","1","4","3","l","431","7","137"
"incongruent","1","4","2","a","499","6","137"
"incongruent","1","1","5","l","405","4","137"
"incongruent","1","1","2","a","516","3","137"
"congruent","1","3","5","a","615","2","137"
"congruent","1","2","6","a","565","4","137"
"incongruent","1","1","4","a","469","5","137"
"incongruent","1","1","3","a","537","4","137"
"congruent","1","4","3","l","555","7","137"
"congruent","1","2","4","l","555","6","137"
"congruent","1","3","2","l","492","5","137"
"congruent","0","3","4","a","516","7","137"
"congruent","1","2","3","l","702","5","137"
"incongruent","1","4","4","a","554","8","137"
"congruent","1","4","4","l","606","8","137"
"congruent","1","3","3","l","560","6","137"
"congruent","1","4","7","a","474","3","137"
"congruent","1","1","2","l","549","3","137"
"incongruent","1","2","4","a","614","6","137"
"incongruent","1","3","4","a","666","7","137"
"congruent","1","3","2","l","588","5","137"
"congruent","1","2","3","l","404","5","137"
"congruent","1","3","4","l","291","7","137"
"incongruent","1","3","7","l","435","4","137"
"congruent","1","4","8","a","583","4","137"
"incongruent","1","3","3","a","962","6","137"
"congruent","1","2","2","l","456","4","137"
"incongruent","1","1","2","a","553","3","137"
"incongruent","1","2","6","l","658","4","137"
"congruent","1","1","4","l","612","5","137"
"incongruent","1","1","3","a","597","4","137"
"congruent","1","4","6","a","601","2","137"
"incongruent","1","2","4","l","525","2","137"
"congruent","1","1","2","l","688","3","137"
"congruent","1","3","6","a","531","3","137"
"congruent","1","1","4","a","642","3","137"
"congruent","1","1","4","a","553","3","137"
"congruent","1","4","6","a","442","2","137"
"incongruent","1","2","5","l","541","3","137"
"congruent","1","2","6","a","448","4","137"
"congruent","1","4","4","l","508","8","137"
"congruent","1","2","4","l","527","6","137"
"congruent","1","2","4","a","459","2","137"
"incongruent","1","4","6","l","582","2","137"
"congruent","1","4","4","l","521","8","137"
"congruent","1","3","3","l","434","6","137"
"incongruent","1","2","2","a","535","4","137"
"incongruent","1","2","4","a","633","6","137"
"incongruent","1","4","2","a","662","6","137"
"incongruent","1","1","5","l","580","4","137"
"incongruent","1","1","4","l","691","3","137"
"congruent","1","1","4","l","451","5","137"
"congruent","1","2","2","l","523","4","137"
"incongruent","0","3","7","a","643","4","137"
"incongruent","1","3","2","a","961","5","137"
"incongruent","1","2","3","a","545","5","137"
"congruent","1","3","7","a","478","4","137"
"congruent","1","2","3","l","512","5","137"
"incongruent","1","2","6","l","443","4","137"
"incongruent","1","4","4","a","896","8","137"
"congruent","1","2","5","a","649","3","137"
"congruent","1","4","7","a","602","3","137"
"incongruent","1","3","3","a","655","6","137"
"incongruent","1","4","8","l","523","4","137"
"incongruent","1","1","3","a","1169","4","137"
"incongruent","1","4","2","a","826","6","137"
"congruent","1","2","4","a","545","2","137"
"incongruent","1","3","4","a","657","7","137"
"incongruent","1","3","4","a","681","7","137"
"incongruent","1","3","5","l","892","2","137"
"incongruent","1","1","4","l","440","3","137"
"congruent","1","4","7","a","670","3","137"
"congruent","1","3","3","l","482","6","137"
"congruent","1","3","2","l","448","5","137"
"congruent","1","4","2","l","458","6","137"
"incongruent","1","1","5","l","600","4","137"
"congruent","1","1","3","l","416","4","137"
"incongruent","1","2","4","a","620","6","137"
"incongruent","1","1","2","a","623","3","137"
"incongruent","1","1","3","l","639","2","137"
"congruent","1","4","3","l","511","7","137"
"congruent","1","2","6","a","493","4","137"
"congruent","1","4","2","l","658","6","137"
"incongruent","1","1","4","a","549","5","137"
"incongruent","1","2","2","a","672","4","137"
"incongruent","1","3","6","l","787","3","137"
"incongruent","1","1","4","a","681","5","137"
"congruent","1","3","5","a","664","2","137"
"congruent","1","3","6","a","534","3","137"
"congruent","1","1","3","a","513","2","137"
"incongruent","1","2","3","a","440","5","137"
"congruent","1","4","8","a","434","4","137"
