"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","3","a","965","2","101"
"congruent","0","1","3","a","4","4","101"
"incongruent","1","1","3","a","745","4","101"
"incongruent","1","4","7","l","637","3","101"
"congruent","1","2","4","l","522","6","101"
"incongruent","1","2","3","a","842","5","101"
"congruent","1","3","5","a","506","2","101"
"incongruent","1","2","4","a","646","6","101"
"incongruent","1","2","4","a","521","6","101"
"incongruent","1","2","6","l","385","4","101"
"incongruent","1","3","7","l","576","4","101"
"congruent","1","4","4","l","488","8","101"
"congruent","1","1","2","l","368","3","101"
"congruent","1","3","2","l","635","5","101"
"congruent","1","1","5","a","341","4","101"
"incongruent","1","2","2","a","445","4","101"
"incongruent","1","2","2","a","423","4","101"
"incongruent","1","4","8","l","520","4","101"
"incongruent","1","1","2","a","415","3","101"
"congruent","1","4","6","a","713","2","101"
"incongruent","1","3","5","l","703","2","101"
"incongruent","1","3","2","a","752","5","101"
"incongruent","1","1","4","l","480","3","101"
"incongruent","1","1","3","a","492","4","101"
"incongruent","1","4","2","a","1001","6","101"
"congruent","1","3","6","a","875","3","101"
"incongruent","1","4","3","a","799","7","101"
"congruent","1","3","3","l","494","6","101"
"incongruent","1","3","7","l","748","4","101"
"incongruent","1","3","3","a","741","6","101"
"congruent","1","4","7","a","908","3","101"
"congruent","1","2","3","l","479","5","101"
"incongruent","1","3","6","l","724","3","101"
"incongruent","1","4","6","l","959","2","101"
"congruent","1","2","2","l","447","4","101"
"incongruent","0","4","3","l","640","7","101"
"congruent","1","3","5","a","760","2","101"
"incongruent","1","3","6","l","578","3","101"
"congruent","1","3","2","l","924","5","101"
"congruent","1","1","3","l","623","4","101"
"congruent","1","4","2","l","596","6","101"
"incongruent","1","2","3","a","596","5","101"
"incongruent","1","1","4","a","515","5","101"
"incongruent","1","1","2","a","411","3","101"
"congruent","1","1","3","a","498","2","101"
"incongruent","1","4","7","l","469","3","101"
"congruent","1","2","4","a","426","2","101"
"incongruent","1","3","3","a","632","6","101"
"congruent","1","2","5","a","456","3","101"
"congruent","1","4","4","l","510","8","101"
"congruent","1","2","5","a","467","3","101"
"incongruent","1","4","4","a","590","8","101"
"congruent","1","3","7","a","647","4","101"
"incongruent","1","2","6","l","505","4","101"
"incongruent","0","2","4","a","337","2","101"
"incongruent","1","3","4","a","1306","7","101"
"congruent","0","2","6","l","678","4","101"
"incongruent","1","2","5","l","1048","3","101"
"incongruent","1","4","6","l","592","2","101"
"incongruent","1","1","5","l","706","4","101"
"congruent","1","1","4","a","487","3","101"
"incongruent","1","4","8","l","526","4","101"
"congruent","1","2","2","l","449","4","101"
"congruent","1","3","7","a","366","4","101"
"congruent","1","1","5","a","578","4","101"
"congruent","1","4","3","l","415","7","101"
"congruent","1","3","3","l","654","6","101"
"incongruent","0","2","4","a","688","2","101"
"congruent","1","1","4","l","784","5","101"
"incongruent","1","3","2","a","820","5","101"
"congruent","1","4","8","a","713","4","101"
"incongruent","1","1","4","l","751","3","101"
"congruent","1","3","6","a","706","3","101"
"congruent","1","1","2","l","1030","3","101"
"incongruent","1","1","3","l","712","2","101"
"incongruent","1","1","4","a","512","5","101"
"congruent","1","1","4","l","527","5","101"
"congruent","1","3","4","l","779","7","101"
"congruent","1","3","4","l","451","7","101"
"incongruent","1","4","2","a","1229","6","101"
"congruent","1","2","4","l","462","6","101"
"incongruent","0","1","5","a","991","4","101"
"congruent","1","2","4","a","981","2","101"
"incongruent","1","4","4","a","780","8","101"
"congruent","1","4","8","a","639","4","101"
"incongruent","1","3","4","a","570","7","101"
"congruent","1","2","6","a","543","4","101"
"congruent","1","4","7","a","539","3","101"
"congruent","1","4","3","l","635","7","101"
"congruent","1","4","2","l","851","6","101"
"congruent","1","4","6","a","758","2","101"
"incongruent","1","3","5","l","620","2","101"
"congruent","1","2","3","l","702","5","101"
"incongruent","1","2","5","l","535","3","101"
"incongruent","1","1","3","l","889","2","101"
"congruent","1","1","4","a","523","3","101"
"incongruent","1","3","7","l","1394","4","101"
"incongruent","1","3","5","l","1369","2","101"
"congruent","1","3","5","a","627","2","101"
"congruent","1","1","3","a","618","2","101"
"congruent","1","3","4","l","720","7","101"
"incongruent","1","1","4","a","708","5","101"
"incongruent","1","4","6","l","658","2","101"
"congruent","1","1","2","l","592","3","101"
"congruent","1","2","2","l","482","4","101"
"incongruent","1","2","4","a","551","6","101"
"congruent","1","2","5","a","655","3","101"
"congruent","1","2","6","a","639","4","101"
"incongruent","1","3","3","a","1081","6","101"
"congruent","1","1","4","l","826","5","101"
"congruent","1","4","3","l","651","7","101"
"congruent","1","3","6","a","1156","3","101"
"incongruent","1","4","6","l","755","2","101"
"incongruent","1","4","4","a","577","8","101"
"congruent","1","3","7","a","588","4","101"
"incongruent","1","1","3","l","1037","2","101"
"congruent","1","2","6","a","962","4","101"
"congruent","1","4","4","l","470","8","101"
"incongruent","1","4","3","a","734","7","101"
"congruent","1","4","6","a","620","2","101"
"congruent","1","1","5","a","513","4","101"
"incongruent","1","3","4","a","560","7","101"
"congruent","1","1","2","l","780","3","101"
"congruent","1","3","7","a","542","4","101"
"congruent","1","1","4","a","610","3","101"
"incongruent","1","3","6","l","790","3","101"
"congruent","1","2","4","a","478","2","101"
"congruent","1","4","7","a","524","3","101"
"incongruent","1","1","2","a","536","3","101"
"incongruent","1","2","3","a","490","5","101"
"congruent","1","2","4","l","750","6","101"
"congruent","1","1","3","l","834","4","101"
"congruent","1","2","5","a","558","3","101"
"incongruent","1","4","2","a","713","6","101"
"incongruent","0","4","7","a","664","3","101"
"incongruent","1","3","6","l","876","3","101"
"congruent","1","4","2","l","472","6","101"
"incongruent","1","1","4","l","560","3","101"
"congruent","1","1","4","l","786","5","101"
"incongruent","1","1","3","a","645","4","101"
"incongruent","1","2","6","l","550","4","101"
"congruent","1","3","3","l","747","6","101"
"congruent","1","3","2","l","502","5","101"
"congruent","1","3","5","a","784","2","101"
"incongruent","1","3","2","a","1667","5","101"
"incongruent","1","3","3","a","741","6","101"
"incongruent","1","2","5","l","644","3","101"
"incongruent","1","1","2","a","752","3","101"
"incongruent","1","2","4","a","587","6","101"
"congruent","1","4","4","l","438","8","101"
"congruent","1","2","3","l","587","5","101"
"congruent","1","2","3","l","502","5","101"
"congruent","1","1","4","a","470","3","101"
"incongruent","1","3","4","a","480","7","101"
"congruent","1","1","5","a","418","4","101"
"incongruent","1","2","4","l","476","2","101"
"congruent","1","2","4","a","415","2","101"
"congruent","1","3","4","l","374","7","101"
"incongruent","1","4","4","a","442","8","101"
"congruent","1","3","6","a","610","3","101"
"congruent","1","1","3","l","433","4","101"
"incongruent","1","2","2","a","922","4","101"
"incongruent","1","2","5","l","442","3","101"
"congruent","1","4","8","a","462","4","101"
"incongruent","1","2","2","a","752","4","101"
"congruent","1","4","8","a","424","4","101"
"incongruent","1","1","4","a","441","5","101"
"incongruent","1","1","5","l","437","4","101"
"incongruent","1","2","4","l","418","2","101"
"incongruent","1","2","6","l","454","4","101"
"incongruent","1","4","2","a","628","6","101"
"congruent","1","2","4","l","677","6","101"
"congruent","1","4","6","a","485","2","101"
"incongruent","1","4","7","l","533","3","101"
"congruent","1","2","2","l","569","4","101"
"incongruent","1","4","8","l","1628","4","101"
"incongruent","1","1","3","a","751","4","101"
"incongruent","1","1","3","l","484","2","101"
"congruent","1","4","2","l","504","6","101"
"incongruent","1","3","7","l","633","4","101"
"congruent","1","3","3","l","390","6","101"
"incongruent","1","3","2","a","566","5","101"
"incongruent","1","3","5","l","1140","2","101"
"incongruent","1","4","8","l","1209","4","101"
"incongruent","1","4","3","a","988","7","101"
"congruent","1","4","3","l","529","7","101"
"congruent","1","3","2","l","587","5","101"
"incongruent","1","1","4","l","562","3","101"
"congruent","1","1","3","a","595","2","101"
"incongruent","1","2","3","a","557","5","101"
"incongruent","1","1","5","l","436","4","101"
"congruent","1","4","7","a","318","3","101"
"incongruent","1","2","3","a","558","5","101"
"congruent","1","4","8","a","555","4","101"
"congruent","1","4","6","a","462","2","101"
"congruent","1","2","6","a","528","4","101"
"congruent","1","2","2","l","454","4","101"
"congruent","1","4","2","l","722","6","101"
"incongruent","1","2","4","l","651","2","101"
"incongruent","1","2","5","l","886","3","101"
"congruent","1","3","7","a","422","4","101"
"incongruent","1","1","5","l","469","4","101"
"congruent","1","2","5","a","405","3","101"
"congruent","1","1","5","a","562","4","101"
"incongruent","0","1","4","l","472","5","101"
"incongruent","1","2","3","a","643","5","101"
"incongruent","1","1","4","a","477","5","101"
"congruent","1","4","4","l","753","8","101"
"congruent","1","3","4","l","498","7","101"
"incongruent","0","4","3","l","473","7","101"
"congruent","1","3","2","l","823","5","101"
"incongruent","1","4","6","l","855","2","101"
"congruent","1","3","3","l","446","6","101"
"congruent","1","2","2","l","653","4","101"
"congruent","1","2","3","l","518","5","101"
"incongruent","1","1","5","l","483","4","101"
"incongruent","1","2","2","a","645","4","101"
"congruent","1","2","4","a","663","2","101"
"congruent","1","1","4","a","599","3","101"
"incongruent","1","1","4","l","529","3","101"
"incongruent","1","3","2","a","474","5","101"
"congruent","1","3","2","l","533","5","101"
"incongruent","1","3","4","a","470","7","101"
"congruent","1","2","5","a","633","3","101"
"incongruent","1","2","4","a","831","6","101"
"congruent","1","4","2","l","536","6","101"
"incongruent","1","4","4","a","460","8","101"
"congruent","1","4","6","a","777","2","101"
"incongruent","1","2","2","a","858","4","101"
"incongruent","1","4","7","l","580","3","101"
"incongruent","1","1","3","a","552","4","101"
"incongruent","1","4","8","l","508","4","101"
"congruent","1","4","7","a","335","3","101"
"incongruent","1","2","4","a","931","6","101"
"incongruent","1","2","6","l","605","4","101"
"incongruent","1","4","4","a","554","8","101"
"congruent","1","2","6","a","711","4","101"
"incongruent","1","4","3","a","719","7","101"
"incongruent","1","3","5","l","501","2","101"
"incongruent","1","1","2","a","629","3","101"
"incongruent","1","4","8","l","670","4","101"
"incongruent","1","3","6","l","965","3","101"
"incongruent","1","1","3","a","522","4","101"
"congruent","1","2","4","l","783","6","101"
"incongruent","1","4","7","l","631","3","101"
"congruent","1","3","5","a","744","2","101"
"congruent","1","3","7","a","1396","4","101"
"congruent","1","1","3","l","520","4","101"
"incongruent","1","3","3","a","633","6","101"
"congruent","1","4","7","a","834","3","101"
"congruent","1","4","3","l","604","7","101"
"congruent","1","4","8","a","523","4","101"
"congruent","1","3","6","a","616","3","101"
"congruent","1","1","4","a","591","3","101"
"congruent","1","3","3","l","524","6","101"
"incongruent","1","3","7","l","507","4","101"
"congruent","1","1","2","l","488","3","101"
"congruent","1","4","4","l","460","8","101"
"incongruent","1","3","7","l","841","4","101"
"incongruent","1","4","2","a","905","6","101"
"congruent","1","3","4","l","426","7","101"
"congruent","1","1","3","a","482","2","101"
"congruent","1","3","5","a","958","2","101"
"incongruent","1","1","3","l","522","2","101"
"incongruent","1","2","4","l","485","2","101"
"incongruent","1","3","2","a","644","5","101"
"incongruent","1","3","4","a","748","7","101"
"incongruent","1","2","6","l","508","4","101"
"congruent","1","1","5","a","388","4","101"
"incongruent","1","1","2","a","1221","3","101"
"incongruent","1","3","6","l","703","3","101"
"congruent","1","3","6","a","894","3","101"
"congruent","1","1","2","l","639","3","101"
"incongruent","1","1","3","l","449","2","101"
"incongruent","1","2","5","l","622","3","101"
"congruent","1","4","3","l","596","7","101"
"incongruent","1","4","2","a","768","6","101"
"congruent","1","1","3","a","600","2","101"
"incongruent","1","1","4","l","417","3","101"
"congruent","1","2","4","l","617","6","101"
"congruent","1","2","4","a","496","2","101"
"incongruent","1","3","3","a","590","6","101"
"incongruent","1","4","6","l","676","2","101"
"incongruent","1","3","5","l","561","2","101"
"congruent","1","1","3","l","482","4","101"
"congruent","1","1","4","l","451","5","101"
"congruent","1","2","3","l","425","5","101"
"congruent","1","1","4","l","314","5","101"
"congruent","1","1","3","a","511","2","101"
"incongruent","1","3","2","a","550","5","101"
"congruent","1","1","3","l","468","4","101"
"congruent","1","1","4","a","495","3","101"
"incongruent","1","4","6","l","1179","2","101"
"congruent","1","3","3","l","990","6","101"
"incongruent","0","4","7","a","745","3","101"
"congruent","1","2","3","l","710","5","101"
"congruent","1","3","3","l","884","6","101"
"congruent","1","3","5","a","493","2","101"
