"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","4","a","1277","7","109"
"incongruent","1","3","7","l","856","4","109"
"congruent","1","4","3","l","676","7","109"
"incongruent","1","4","7","l","880","3","109"
"incongruent","1","1","4","l","1008","3","109"
"incongruent","1","2","4","l","627","2","109"
"congruent","1","4","6","a","694","2","109"
"incongruent","1","2","6","l","723","4","109"
"congruent","1","4","6","a","646","2","109"
"incongruent","1","2","2","a","785","4","109"
"congruent","1","4","8","a","566","4","109"
"congruent","1","1","2","l","573","3","109"
"congruent","1","4","2","l","543","6","109"
"incongruent","1","4","4","a","734","8","109"
"incongruent","1","2","4","a","570","6","109"
"incongruent","1","4","2","a","1023","6","109"
"incongruent","1","1","4","l","534","3","109"
"congruent","1","1","3","l","747","4","109"
"incongruent","1","1","3","a","600","4","109"
"congruent","1","4","7","a","641","3","109"
"incongruent","1","2","3","a","720","5","109"
"incongruent","1","1","2","a","571","3","109"
"incongruent","1","3","4","a","555","7","109"
"incongruent","1","4","6","l","630","2","109"
"congruent","1","3","4","l","530","7","109"
"incongruent","1","4","6","l","545","2","109"
"incongruent","1","1","5","l","546","4","109"
"incongruent","1","1","3","a","597","4","109"
"congruent","1","3","5","a","682","2","109"
"congruent","1","3","5","a","529","2","109"
"congruent","1","4","7","a","569","3","109"
"incongruent","1","1","3","l","687","2","109"
"congruent","1","3","2","l","687","5","109"
"congruent","1","1","5","a","511","4","109"
"incongruent","0","3","3","l","550","6","109"
"incongruent","1","2","6","l","603","4","109"
"incongruent","1","2","4","a","613","6","109"
"congruent","1","4","8","a","744","4","109"
"congruent","1","1","4","a","672","3","109"
"incongruent","1","2","2","a","502","4","109"
"congruent","1","1","3","l","814","4","109"
"incongruent","1","2","5","l","658","3","109"
"incongruent","1","1","3","l","674","2","109"
"incongruent","1","4","7","l","530","3","109"
"congruent","1","2","5","a","719","3","109"
"congruent","1","2","5","a","745","3","109"
"incongruent","1","3","6","l","694","3","109"
"incongruent","1","3","6","l","783","3","109"
"congruent","1","3","7","a","721","4","109"
"congruent","1","2","4","l","568","6","109"
"incongruent","1","4","4","a","815","8","109"
"incongruent","1","4","3","a","889","7","109"
"congruent","1","2","2","l","677","4","109"
"incongruent","1","1","5","l","730","4","109"
"congruent","1","2","4","a","838","2","109"
"congruent","1","1","2","l","678","3","109"
"congruent","1","3","4","l","577","7","109"
"congruent","1","1","4","l","614","5","109"
"congruent","1","3","3","l","630","6","109"
"incongruent","1","4","3","a","677","7","109"
"congruent","1","2","3","l","549","5","109"
"incongruent","1","3","5","l","715","2","109"
"congruent","1","3","6","a","540","3","109"
"congruent","1","1","4","l","539","5","109"
"incongruent","1","4","8","l","817","4","109"
"congruent","1","3","3","l","528","6","109"
"congruent","1","1","4","a","646","3","109"
"incongruent","1","2","5","l","494","3","109"
"congruent","1","4","2","l","570","6","109"
"incongruent","1","4","2","a","758","6","109"
"incongruent","1","3","2","a","897","5","109"
"congruent","1","2","4","a","1487","2","109"
"congruent","1","1","3","a","498","2","109"
"congruent","1","2","6","a","674","4","109"
"congruent","1","3","2","l","590","5","109"
"incongruent","1","3","5","l","794","2","109"
"incongruent","1","2","3","a","508","5","109"
"congruent","1","2","2","l","544","4","109"
"incongruent","1","3","3","a","621","6","109"
"incongruent","1","2","4","l","573","2","109"
"congruent","1","1","5","a","758","4","109"
"congruent","1","4","3","l","680","7","109"
"congruent","1","4","4","l","685","8","109"
"congruent","1","2","3","l","1025","5","109"
"incongruent","1","3","2","a","623","5","109"
"incongruent","1","1","2","a","497","3","109"
"congruent","1","3","6","a","601","3","109"
"congruent","1","1","3","a","608","2","109"
"congruent","1","2","6","a","562","4","109"
"congruent","1","3","7","a","553","4","109"
"incongruent","1","4","8","l","589","4","109"
"incongruent","1","3","7","l","1005","4","109"
"incongruent","1","1","4","a","732","5","109"
"incongruent","1","1","4","a","640","5","109"
"congruent","1","2","4","l","828","6","109"
"congruent","1","4","4","l","722","8","109"
"incongruent","1","4","2","a","728","6","109"
"congruent","1","3","2","l","495","5","109"
"incongruent","1","2","4","a","630","6","109"
"incongruent","1","2","2","a","937","4","109"
"congruent","1","1","5","a","673","4","109"
"incongruent","1","1","4","a","610","5","109"
"incongruent","1","1","3","a","513","4","109"
"congruent","1","1","5","a","609","4","109"
"incongruent","1","4","4","a","673","8","109"
"incongruent","1","1","4","a","798","5","109"
"congruent","1","3","3","l","1284","6","109"
"congruent","1","3","2","l","777","5","109"
"incongruent","1","4","8","l","654","4","109"
"congruent","1","3","5","a","622","2","109"
"incongruent","1","2","6","l","644","4","109"
"congruent","1","2","2","l","584","4","109"
"congruent","1","2","6","a","748","4","109"
"incongruent","1","3","5","l","539","2","109"
"incongruent","1","1","3","l","515","2","109"
"congruent","1","1","2","l","537","3","109"
"incongruent","1","2","5","l","460","3","109"
"congruent","1","4","4","l","465","8","109"
"congruent","1","4","8","a","537","4","109"
"congruent","1","1","3","a","522","2","109"
"incongruent","1","1","4","l","468","3","109"
"congruent","1","4","4","l","522","8","109"
"incongruent","1","4","6","l","553","2","109"
"congruent","1","2","4","a","768","2","109"
"incongruent","1","1","5","l","620","4","109"
"incongruent","1","3","7","l","460","4","109"
"congruent","1","3","7","a","559","4","109"
"incongruent","1","1","4","l","465","3","109"
"incongruent","1","3","7","l","635","4","109"
"congruent","1","2","5","a","615","3","109"
"congruent","1","2","4","a","768","2","109"
"congruent","1","1","4","a","664","3","109"
"congruent","1","1","2","l","565","3","109"
"congruent","1","3","3","l","627","6","109"
"incongruent","0","3","4","l","528","7","109"
"congruent","1","4","8","a","611","4","109"
"congruent","1","3","6","a","696","3","109"
"incongruent","1","4","7","l","693","3","109"
"congruent","1","2","2","l","785","4","109"
"incongruent","1","1","5","l","738","4","109"
"congruent","1","3","4","l","561","7","109"
"congruent","1","4","6","a","774","2","109"
"congruent","1","4","3","l","565","7","109"
"congruent","1","1","4","a","773","3","109"
"congruent","1","1","4","l","821","5","109"
"congruent","1","2","3","l","609","5","109"
"incongruent","1","2","3","a","796","5","109"
"incongruent","1","3","6","l","567","3","109"
"incongruent","1","4","8","l","554","4","109"
"congruent","1","3","5","a","631","2","109"
