"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","2","l","1719","6","138"
"congruent","0","1","5","l","2","4","138"
"congruent","1","4","7","a","3344","3","138"
"incongruent","1","4","8","l","2007","4","138"
"congruent","1","2","4","a","898","2","138"
"congruent","1","3","6","a","665","3","138"
"incongruent","1","4","3","a","969","7","138"
"congruent","1","1","5","a","1335","4","138"
"incongruent","1","3","6","l","767","3","138"
"incongruent","1","3","6","l","985","3","138"
"incongruent","1","3","2","a","911","5","138"
"congruent","1","4","3","l","631","7","138"
"incongruent","1","4","2","a","663","6","138"
"congruent","1","1","4","a","818","3","138"
"incongruent","1","2","5","l","1392","3","138"
"congruent","1","4","6","a","727","2","138"
"incongruent","1","3","3","a","724","6","138"
"congruent","1","2","4","a","650","2","138"
"incongruent","1","2","3","a","1194","5","138"
"incongruent","1","1","4","a","1302","5","138"
"congruent","1","4","4","l","665","8","138"
"congruent","1","1","4","l","1185","5","138"
"congruent","1","2","3","l","612","5","138"
"congruent","1","3","7","a","577","4","138"
"incongruent","1","2","2","a","698","4","138"
"congruent","1","3","4","l","735","7","138"
"incongruent","1","2","6","l","1560","4","138"
"incongruent","1","3","4","a","943","7","138"
"congruent","1","2","4","l","782","6","138"
"congruent","1","3","7","a","734","4","138"
"incongruent","1","4","4","a","876","8","138"
"incongruent","1","1","2","a","745","3","138"
"congruent","1","3","4","l","1063","7","138"
"congruent","1","2","4","l","915","6","138"
"congruent","1","3","5","a","967","2","138"
"incongruent","1","4","3","a","4216","7","138"
"incongruent","1","1","3","l","2070","2","138"
"incongruent","1","1","4","l","1014","3","138"
"incongruent","1","2","5","l","863","3","138"
"congruent","1","1","3","a","735","2","138"
"congruent","1","3","3","l","726","6","138"
"incongruent","1","3","2","a","711","5","138"
"congruent","1","1","2","l","788","3","138"
"congruent","1","2","5","a","639","3","138"
"incongruent","1","3","4","a","689","7","138"
"congruent","1","1","3","l","697","4","138"
"congruent","1","2","2","l","866","4","138"
"congruent","1","3","3","l","833","6","138"
"incongruent","1","1","3","a","960","4","138"
"congruent","1","2","6","a","775","4","138"
"incongruent","1","1","3","l","719","2","138"
"incongruent","1","1","5","l","1049","4","138"
"incongruent","1","2","4","a","615","6","138"
"incongruent","1","2","2","a","782","4","138"
"incongruent","1","1","4","a","1206","5","138"
"incongruent","1","4","6","l","686","2","138"
"incongruent","1","4","7","l","776","3","138"
"incongruent","1","1","5","l","667","4","138"
"congruent","1","4","6","a","631","2","138"
"incongruent","1","2","4","a","796","6","138"
"congruent","1","4","4","l","574","8","138"
"incongruent","1","4","8","l","674","4","138"
"incongruent","1","2","3","a","647","5","138"
"congruent","1","4","3","l","614","7","138"
"congruent","1","3","2","l","667","5","138"
"incongruent","1","1","3","a","627","4","138"
"incongruent","1","4","7","l","879","3","138"
"congruent","1","4","2","l","818","6","138"
"incongruent","1","3","5","l","1777","2","138"
