"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","6","a","1390","4","141"
"incongruent","1","2","3","a","1071","5","141"
"incongruent","1","4","3","a","1175","7","141"
"incongruent","1","2","4","a","1065","6","141"
"congruent","1","1","2","l","949","3","141"
"congruent","1","3","5","a","779","2","141"
"congruent","1","2","2","l","597","4","141"
"incongruent","1","3","5","l","832","2","141"
"congruent","1","3","3","l","681","6","141"
"incongruent","1","3","3","a","830","6","141"
"congruent","1","2","4","l","671","6","141"
"congruent","1","4","8","a","576","4","141"
"incongruent","1","3","7","l","1116","4","141"
"congruent","1","4","6","a","583","2","141"
"incongruent","1","1","3","a","987","4","141"
"incongruent","1","1","2","a","889","3","141"
"incongruent","1","1","5","l","616","4","141"
"congruent","1","1","4","a","742","3","141"
"incongruent","1","4","6","l","644","2","141"
"incongruent","1","1","3","l","634","2","141"
"incongruent","1","1","2","a","688","3","141"
"incongruent","1","2","4","l","1206","2","141"
"incongruent","1","3","3","a","921","6","141"
"congruent","1","1","4","l","754","5","141"
"incongruent","1","3","6","l","805","3","141"
"incongruent","1","1","4","l","770","3","141"
"congruent","1","4","2","l","552","6","141"
"incongruent","1","4","8","l","652","4","141"
"incongruent","1","4","7","l","828","3","141"
"congruent","1","4","6","a","648","2","141"
"congruent","1","1","3","a","594","2","141"
"incongruent","1","2","2","a","626","4","141"
"congruent","1","2","2","l","583","4","141"
"congruent","1","3","3","l","546","6","141"
"congruent","1","3","2","l","515","5","141"
"incongruent","1","4","7","l","739","3","141"
"congruent","1","1","4","l","695","5","141"
"congruent","1","1","5","a","784","4","141"
"congruent","1","3","7","a","587","4","141"
"congruent","1","3","6","a","625","3","141"
"congruent","1","4","2","l","582","6","141"
"incongruent","1","3","7","l","578","4","141"
"incongruent","1","3","6","l","770","3","141"
"incongruent","1","4","6","l","564","2","141"
"congruent","1","1","4","a","638","3","141"
"incongruent","1","3","2","a","658","5","141"
"incongruent","1","2","3","a","521","5","141"
"incongruent","1","1","5","l","582","4","141"
"incongruent","1","2","2","a","918","4","141"
"congruent","1","2","5","a","611","3","141"
"congruent","1","4","7","a","683","3","141"
"congruent","1","3","4","l","541","7","141"
"congruent","1","4","4","l","568","8","141"
"congruent","1","3","4","l","548","7","141"
"congruent","1","3","2","l","635","5","141"
"congruent","1","4","7","a","472","3","141"
"incongruent","1","4","4","a","675","8","141"
"congruent","1","1","3","a","663","2","141"
"incongruent","1","3","2","a","705","5","141"
"congruent","1","4","8","a","1185","4","141"
"incongruent","1","1","4","l","699","3","141"
"congruent","1","2","5","a","543","3","141"
"incongruent","1","4","2","a","643","6","141"
"incongruent","1","4","4","a","578","8","141"
"congruent","1","1","2","l","533","3","141"
"congruent","1","2","3","l","748","5","141"
"incongruent","1","3","4","a","822","7","141"
"incongruent","1","2","4","a","545","6","141"
"congruent","1","3","5","a","658","2","141"
"congruent","1","2","4","a","705","2","141"
"congruent","1","4","3","l","575","7","141"
"congruent","1","2","4","a","564","2","141"
"incongruent","1","3","5","l","563","2","141"
"incongruent","1","2","5","l","667","3","141"
"incongruent","1","4","8","l","658","4","141"
"incongruent","1","1","3","l","772","2","141"
"congruent","1","4","3","l","454","7","141"
"incongruent","1","3","4","a","637","7","141"
"incongruent","1","1","4","a","499","5","141"
"congruent","1","3","6","a","513","3","141"
"incongruent","1","2","6","l","693","4","141"
"congruent","1","1","5","a","822","4","141"
"incongruent","1","1","3","a","975","4","141"
"congruent","1","4","4","l","543","8","141"
"incongruent","1","2","5","l","671","3","141"
"congruent","1","2","3","l","586","5","141"
"congruent","1","2","6","a","654","4","141"
"incongruent","1","2","4","l","589","2","141"
"incongruent","1","4","2","a","463","6","141"
"congruent","1","1","3","l","446","4","141"
"incongruent","1","1","4","a","620","5","141"
"incongruent","1","4","3","a","540","7","141"
"congruent","1","2","4","l","461","6","141"
"congruent","1","1","3","l","650","4","141"
"congruent","1","3","7","a","425","4","141"
"incongruent","1","2","6","l","606","4","141"
"congruent","1","4","7","a","631","3","141"
"congruent","1","2","6","a","543","4","141"
"congruent","1","1","2","l","500","3","141"
"incongruent","1","4","6","l","626","2","141"
"incongruent","1","4","8","l","530","4","141"
"incongruent","1","1","3","l","526","2","141"
"congruent","1","1","3","l","443","4","141"
"incongruent","1","2","4","a","606","6","141"
"congruent","1","1","3","a","561","2","141"
"congruent","1","1","4","a","473","3","141"
"congruent","1","3","7","a","552","4","141"
"congruent","1","4","2","l","493","6","141"
"congruent","1","1","3","l","481","4","141"
"congruent","1","3","3","l","385","6","141"
"congruent","1","2","5","a","471","3","141"
"incongruent","1","4","4","a","773","8","141"
"congruent","1","2","4","l","470","6","141"
"congruent","1","3","2","l","603","5","141"
"incongruent","1","1","4","a","542","5","141"
"congruent","1","3","2","l","405","5","141"
"incongruent","1","2","5","l","1161","3","141"
"incongruent","1","1","2","a","551","3","141"
"incongruent","1","2","3","a","579","5","141"
"congruent","1","2","3","l","513","5","141"
"incongruent","1","4","7","l","603","3","141"
"congruent","1","1","4","l","1319","5","141"
"incongruent","1","2","3","a","698","5","141"
"incongruent","1","1","3","a","705","4","141"
"congruent","1","1","5","a","474","4","141"
"incongruent","1","2","5","l","516","3","141"
