"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","2","l","1153","6","145"
"incongruent","1","2","6","l","1100","4","145"
"congruent","1","1","4","a","951","3","145"
"incongruent","1","3","2","a","723","5","145"
"congruent","1","1","2","l","550","3","145"
"incongruent","1","1","3","a","783","4","145"
"incongruent","1","1","2","a","554","3","145"
"incongruent","1","1","5","l","640","4","145"
"incongruent","1","4","2","a","529","6","145"
"incongruent","1","4","8","l","561","4","145"
"congruent","1","3","5","a","622","2","145"
"incongruent","1","3","7","l","504","4","145"
"incongruent","1","3","4","a","774","7","145"
"congruent","1","2","3","l","425","5","145"
"congruent","1","2","4","l","503","6","145"
"incongruent","0","4","3","l","529","7","145"
"incongruent","1","3","5","l","763","2","145"
"incongruent","1","1","3","l","521","2","145"
"incongruent","1","4","6","l","453","2","145"
"congruent","1","1","5","a","352","4","145"
"congruent","1","3","7","a","795","4","145"
"congruent","1","4","4","l","607","8","145"
"congruent","1","4","3","l","581","7","145"
"incongruent","1","4","7","l","659","3","145"
"incongruent","1","4","2","a","913","6","145"
"congruent","1","4","3","l","440","7","145"
"congruent","1","1","3","l","444","4","145"
"incongruent","1","4","3","a","768","7","145"
"congruent","1","3","6","a","507","3","145"
"congruent","1","4","7","a","595","3","145"
"incongruent","1","4","8","l","463","4","145"
"incongruent","1","4","7","l","792","3","145"
"incongruent","1","1","3","l","536","2","145"
"incongruent","1","1","4","l","580","3","145"
"congruent","1","1","4","l","600","5","145"
"congruent","1","3","2","l","388","5","145"
"incongruent","1","3","3","a","624","6","145"
"incongruent","1","2","5","l","424","3","145"
"incongruent","1","3","7","l","467","4","145"
"congruent","1","4","6","a","496","2","145"
"congruent","1","2","3","l","463","5","145"
"congruent","1","1","4","a","519","3","145"
"congruent","1","2","5","a","491","3","145"
"incongruent","1","3","6","l","822","3","145"
"incongruent","1","4","4","a","463","8","145"
"incongruent","1","2","3","a","571","5","145"
"incongruent","1","1","5","l","464","4","145"
"congruent","0","3","4","a","322","7","145"
"incongruent","1","1","3","a","650","4","145"
"congruent","1","3","5","a","534","2","145"
"congruent","1","1","2","l","415","3","145"
"incongruent","1","3","2","a","593","5","145"
"incongruent","1","2","4","a","515","6","145"
"incongruent","1","2","4","a","404","6","145"
"congruent","1","2","4","a","403","2","145"
"incongruent","1","1","2","a","520","3","145"
"incongruent","1","3","3","a","514","6","145"
"incongruent","1","2","3","a","855","5","145"
"congruent","1","2","5","a","428","3","145"
"congruent","1","4","8","a","650","4","145"
"congruent","1","3","4","l","477","7","145"
"incongruent","1","1","4","l","552","3","145"
"incongruent","1","4","4","a","532","8","145"
"congruent","1","1","3","l","519","4","145"
"incongruent","1","1","4","a","544","5","145"
"congruent","1","3","6","a","491","3","145"
"congruent","1","2","4","a","718","2","145"
"congruent","1","4","8","a","536","4","145"
"incongruent","1","1","4","a","501","5","145"
"congruent","1","2","4","l","388","6","145"
"congruent","1","2","6","a","462","4","145"
"congruent","1","1","5","a","491","4","145"
"incongruent","1","2","4","l","454","2","145"
"incongruent","0","3","6","a","474","3","145"
"congruent","1","4","4","l","455","8","145"
"congruent","1","1","4","l","484","5","145"
"incongruent","1","3","4","a","532","7","145"
"congruent","1","1","3","a","524","2","145"
"congruent","1","2","6","a","483","4","145"
"congruent","1","1","3","a","475","2","145"
"congruent","1","4","7","a","526","3","145"
"incongruent","1","2","5","l","478","3","145"
"congruent","1","2","2","l","433","4","145"
"incongruent","1","2","2","a","708","4","145"
"congruent","1","3","2","l","543","5","145"
"congruent","1","4","6","a","473","2","145"
"congruent","1","3","7","a","730","4","145"
"congruent","1","2","2","l","399","4","145"
"congruent","1","3","3","l","412","6","145"
"incongruent","1","2","2","a","608","4","145"
"incongruent","1","2","4","l","376","2","145"
"incongruent","1","2","6","l","462","4","145"
"congruent","1","3","3","l","469","6","145"
"incongruent","1","4","6","l","365","2","145"
"incongruent","1","3","5","l","364","2","145"
"congruent","1","4","2","l","411","6","145"
"congruent","1","1","4","l","518","5","145"
"congruent","1","3","7","a","443","4","145"
"congruent","1","2","4","a","425","2","145"
"incongruent","1","2","2","a","464","4","145"
"congruent","1","4","2","l","503","6","145"
"incongruent","1","2","2","a","943","4","145"
"incongruent","1","3","7","l","445","4","145"
"incongruent","1","3","4","a","879","7","145"
"congruent","1","1","2","l","487","3","145"
"congruent","1","3","2","l","388","5","145"
"congruent","1","4","3","l","474","7","145"
"incongruent","1","1","2","a","488","3","145"
"incongruent","1","2","6","l","304","4","145"
"incongruent","1","4","8","l","412","4","145"
"incongruent","1","2","5","l","770","3","145"
"congruent","1","1","4","l","507","5","145"
"incongruent","1","1","3","l","355","2","145"
"incongruent","1","1","5","l","347","4","145"
"incongruent","1","4","2","a","352","6","145"
"incongruent","1","4","7","l","323","3","145"
"incongruent","1","3","5","l","644","2","145"
"incongruent","1","4","3","a","410","7","145"
