"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","2","l","710","4","130"
"incongruent","0","4","6","a","743","2","130"
"incongruent","1","4","8","l","807","4","130"
"congruent","1","3","4","l","726","7","130"
"congruent","1","4","8","a","781","4","130"
"congruent","1","1","3","a","649","2","130"
"congruent","1","2","2","l","451","4","130"
"incongruent","1","3","4","a","655","7","130"
"incongruent","1","4","6","l","900","2","130"
"incongruent","1","2","5","l","739","3","130"
"incongruent","1","4","7","l","826","3","130"
"congruent","1","1","4","a","597","3","130"
"congruent","1","1","4","l","633","5","130"
"congruent","1","2","4","l","674","6","130"
"congruent","1","4","2","l","587","6","130"
"incongruent","1","2","6","l","611","4","130"
"incongruent","1","1","3","a","997","4","130"
"incongruent","0","4","2","l","598","6","130"
"incongruent","1","2","3","a","635","5","130"
"incongruent","1","3","6","l","779","3","130"
"incongruent","1","3","7","l","639","4","130"
"congruent","1","2","4","a","651","2","130"
"incongruent","0","2","2","l","553","4","130"
"congruent","1","1","3","l","661","4","130"
"congruent","1","4","3","l","751","7","130"
"incongruent","1","4","4","a","927","8","130"
"congruent","1","4","8","a","591","4","130"
"incongruent","1","2","4","a","1161","6","130"
"congruent","1","3","2","l","582","5","130"
"incongruent","1","1","2","a","917","3","130"
"incongruent","1","1","5","l","932","4","130"
"incongruent","1","1","2","a","1386","3","130"
"incongruent","1","1","3","a","1064","4","130"
"congruent","1","2","6","a","697","4","130"
"congruent","1","3","6","a","642","3","130"
"congruent","1","3","4","l","744","7","130"
"congruent","1","4","3","l","575","7","130"
"congruent","1","2","5","a","671","3","130"
"congruent","1","2","3","l","580","5","130"
"incongruent","1","4","4","a","885","8","130"
"incongruent","1","1","4","a","887","5","130"
"congruent","1","1","5","a","683","4","130"
"incongruent","1","3","7","l","699","4","130"
"congruent","1","1","5","a","1075","4","130"
"congruent","1","4","7","a","715","3","130"
"incongruent","1","4","3","a","1110","7","130"
"incongruent","1","3","2","a","879","5","130"
"incongruent","0","4","2","l","803","6","130"
"congruent","1","1","3","l","746","4","130"
"incongruent","1","3","4","a","559","7","130"
"incongruent","1","3","2","a","989","5","130"
"incongruent","1","2","2","a","953","4","130"
