"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","0","1","5","a","848","4","128"
"incongruent","0","2","6","a","656","4","128"
"incongruent","0","1","3","l","613","4","128"
"congruent","1","4","6","a","533","2","128"
"congruent","1","3","2","l","1124","5","128"
"incongruent","1","4","2","a","1922","6","128"
"incongruent","1","4","4","a","887","8","128"
"incongruent","1","4","6","l","478","2","128"
"incongruent","1","3","5","l","554","2","128"
"congruent","1","1","5","a","702","4","128"
"congruent","1","1","3","a","562","2","128"
"congruent","1","3","4","l","437","7","128"
"incongruent","1","4","3","a","599","7","128"
"congruent","1","1","3","l","462","4","128"
"incongruent","1","3","3","a","398","6","128"
"congruent","1","2","2","l","341","4","128"
"incongruent","0","2","2","l","503","4","128"
"congruent","1","1","5","a","713","4","128"
"congruent","1","4","3","l","387","7","128"
"incongruent","1","2","3","a","805","5","128"
"congruent","1","3","4","l","387","7","128"
"incongruent","0","4","7","a","490","3","128"
"incongruent","1","2","4","a","747","6","128"
"congruent","1","3","5","a","457","2","128"
"incongruent","1","2","5","l","404","3","128"
"incongruent","1","3","3","a","348","6","128"
"congruent","1","4","2","l","366","6","128"
"congruent","1","3","2","l","376","5","128"
"incongruent","1","3","4","a","379","7","128"
"congruent","1","1","4","l","327","5","128"
"congruent","1","2","3","l","402","5","128"
"incongruent","1","4","3","a","492","7","128"
"incongruent","1","1","4","a","487","5","128"
"congruent","1","2","4","a","475","2","128"
"incongruent","1","3","7","l","492","4","128"
"congruent","1","1","2","l","483","3","128"
"congruent","1","3","6","a","446","3","128"
"congruent","1","2","5","a","402","3","128"
"congruent","1","2","6","a","434","4","128"
"incongruent","0","2","2","l","412","4","128"
"congruent","1","1","4","a","509","3","128"
"incongruent","1","1","4","l","367","3","128"
"congruent","1","4","2","l","544","6","128"
"congruent","1","2","4","a","404","2","128"
"congruent","1","4","3","l","381","7","128"
"incongruent","1","2","5","l","845","3","128"
"incongruent","0","4","6","a","456","2","128"
"incongruent","1","1","4","l","549","3","128"
"congruent","1","2","5","a","511","3","128"
"congruent","1","4","7","a","398","3","128"
"incongruent","1","2","4","a","741","6","128"
"congruent","1","3","3","l","488","6","128"
"congruent","1","4","7","a","389","3","128"
"incongruent","1","1","2","a","556","3","128"
"incongruent","1","3","7","l","580","4","128"
"incongruent","1","1","2","a","779","3","128"
"incongruent","1","3","4","a","688","7","128"
"incongruent","1","2","4","l","591","2","128"
"incongruent","1","4","2","a","509","6","128"
"congruent","0","1","4","l","453","3","128"
"incongruent","1","4","8","l","557","4","128"
"congruent","1","4","8","a","756","4","128"
"congruent","1","2","4","l","460","6","128"
"incongruent","1","3","6","l","461","3","128"
"incongruent","1","2","3","a","701","5","128"
"incongruent","1","3","2","a","761","5","128"
"congruent","1","2","6","a","488","4","128"
"congruent","1","1","3","l","403","4","128"
"congruent","1","4","4","l","658","8","128"
"incongruent","1","3","2","a","580","5","128"
"incongruent","1","1","5","l","401","4","128"
"congruent","1","3","5","a","471","2","128"
"congruent","0","3","7","l","469","4","128"
"incongruent","1","2","4","l","555","2","128"
"congruent","1","2","4","l","506","6","128"
"incongruent","1","1","4","a","478","5","128"
"congruent","1","3","7","a","459","4","128"
"incongruent","1","4","7","l","540","3","128"
"incongruent","1","2","6","l","514","4","128"
"congruent","1","3","3","l","442","6","128"
"congruent","1","4","8","a","397","4","128"
"incongruent","1","3","6","l","376","3","128"
"congruent","1","1","3","a","384","2","128"
"incongruent","1","4","8","l","403","4","128"
"congruent","1","1","4","l","424","5","128"
"congruent","1","3","6","a","423","3","128"
"congruent","1","4","6","a","512","2","128"
"congruent","1","1","2","l","461","3","128"
"incongruent","1","1","3","l","661","2","128"
"incongruent","1","4","4","a","446","8","128"
"congruent","1","4","4","l","405","8","128"
"incongruent","1","1","3","a","621","4","128"
"congruent","1","2","3","l","433","5","128"
"incongruent","0","3","5","a","388","2","128"
"incongruent","1","1","3","l","572","2","128"
"congruent","1","2","2","l","466","4","128"
"incongruent","1","4","7","l","470","3","128"
"congruent","1","4","8","a","584","4","128"
"incongruent","0","1","2","l","388","3","128"
"congruent","1","3","4","l","374","7","128"
"congruent","0","1","4","l","411","3","128"
"incongruent","1","2","4","a","565","6","128"
"congruent","1","4","4","l","383","8","128"
"incongruent","1","3","7","l","438","4","128"
"congruent","1","3","2","l","471","5","128"
"congruent","1","2","4","a","418","2","128"
"incongruent","1","4","6","l","556","2","128"
"incongruent","1","1","3","l","815","2","128"
"congruent","1","4","6","a","422","2","128"
"congruent","1","2","3","l","401","5","128"
"congruent","1","4","7","a","405","3","128"
"incongruent","1","2","3","a","468","5","128"
"incongruent","1","2","4","l","432","2","128"
"incongruent","1","3","5","l","442","2","128"
"incongruent","0","4","3","l","401","7","128"
"congruent","0","2","6","l","608","4","128"
"congruent","1","2","4","l","419","6","128"
"incongruent","1","1","3","a","595","4","128"
"incongruent","1","3","6","l","380","3","128"
"incongruent","0","2","5","a","517","3","128"
"congruent","1","3","2","l","436","5","128"
"incongruent","1","2","5","l","769","3","128"
"congruent","1","3","3","l","442","6","128"
"congruent","1","3","6","a","437","3","128"
"congruent","1","4","6","a","461","2","128"
"congruent","1","1","4","l","392","5","128"
"congruent","1","2","6","a","446","4","128"
"congruent","1","3","7","a","600","4","128"
"congruent","1","3","3","l","406","6","128"
"congruent","1","1","2","l","438","3","128"
"incongruent","1","1","5","l","412","4","128"
"congruent","1","2","5","a","420","3","128"
"incongruent","1","4","7","l","397","3","128"
"incongruent","1","1","2","a","389","3","128"
"congruent","1","2","2","l","428","4","128"
"incongruent","0","1","4","a","454","3","128"
"incongruent","1","3","7","l","486","4","128"
"incongruent","1","2","4","l","378","2","128"
"incongruent","1","3","2","a","407","5","128"
"incongruent","1","4","4","a","392","8","128"
"incongruent","1","2","6","l","371","4","128"
"congruent","0","1","3","a","351","4","128"
"incongruent","1","1","3","l","451","2","128"
"incongruent","1","2","4","a","388","6","128"
"congruent","1","1","3","a","408","2","128"
"congruent","1","4","4","l","363","8","128"
"congruent","1","3","7","a","358","4","128"
"incongruent","0","2","6","a","528","4","128"
"congruent","1","4","2","l","397","6","128"
"incongruent","1","4","2","a","476","6","128"
"incongruent","1","2","3","a","400","5","128"
"congruent","1","1","5","a","448","4","128"
"congruent","1","4","7","a","436","3","128"
"congruent","1","1","3","a","444","2","128"
"incongruent","1","2","2","a","1120","4","128"
"congruent","1","4","3","l","436","7","128"
"incongruent","1","4","8","l","512","4","128"
"incongruent","1","1","3","a","429","4","128"
"incongruent","1","4","4","a","416","8","128"
"incongruent","0","3","4","l","426","7","128"
"incongruent","1","1","4","l","400","3","128"
"incongruent","1","3","3","a","620","6","128"
"incongruent","1","3","3","a","888","6","128"
"congruent","1","2","5","a","520","3","128"
"congruent","1","3","4","l","390","7","128"
"incongruent","0","3","5","a","366","2","128"
"incongruent","0","4","6","a","427","2","128"
"congruent","1","3","5","a","473","2","128"
"congruent","1","1","3","l","454","4","128"
"congruent","1","3","6","a","407","3","128"
"congruent","1","4","3","l","429","7","128"
"congruent","1","2","4","l","472","6","128"
"congruent","1","1","5","a","379","4","128"
"congruent","1","4","8","a","463","4","128"
"incongruent","1","3","6","l","340","3","128"
"incongruent","1","3","4","a","338","7","128"
"congruent","1","1","2","l","380","3","128"
"incongruent","1","4","8","l","407","4","128"
"congruent","1","1","4","a","345","3","128"
"incongruent","1","3","2","a","405","5","128"
"congruent","1","1","4","l","458","5","128"
"incongruent","1","4","3","a","466","7","128"
"incongruent","1","1","4","a","425","5","128"
"incongruent","1","4","2","a","394","6","128"
"congruent","1","2","2","l","445","4","128"
"incongruent","1","2","2","a","333","4","128"
"incongruent","1","1","5","l","435","4","128"
"congruent","1","4","2","l","425","6","128"
"congruent","1","2","4","a","355","2","128"
"incongruent","1","1","4","a","369","5","128"
"congruent","1","2","3","l","396","5","128"
"congruent","1","3","5","a","373","2","128"
"incongruent","1","1","4","a","707","5","128"
"incongruent","0","4","2","l","631","6","128"
"congruent","1","4","6","a","437","2","128"
"incongruent","0","4","2","l","385","6","128"
"incongruent","1","2","4","a","778","6","128"
"incongruent","1","1","4","l","562","3","128"
"incongruent","1","3","7","l","432","4","128"
"congruent","1","1","5","a","516","4","128"
"incongruent","1","4","7","l","693","3","128"
"congruent","1","4","3","l","383","7","128"
"incongruent","1","4","8","l","520","4","128"
"congruent","1","1","4","l","361","5","128"
"incongruent","1","1","5","l","683","4","128"
"incongruent","1","2","3","a","430","5","128"
"incongruent","1","3","5","l","361","2","128"
"incongruent","1","3","4","a","431","7","128"
"incongruent","1","2","4","a","425","6","128"
"incongruent","1","3","3","a","417","6","128"
"congruent","1","4","7","a","384","3","128"
"congruent","1","1","2","l","376","3","128"
"incongruent","1","4","3","a","340","7","128"
"incongruent","1","4","6","l","468","2","128"
"congruent","1","1","4","a","348","3","128"
"incongruent","1","4","8","l","468","4","128"
"congruent","1","2","6","a","357","4","128"
"congruent","1","2","3","l","396","5","128"
"incongruent","1","3","5","l","480","2","128"
"congruent","0","2","4","a","342","6","128"
"incongruent","0","2","4","a","451","2","128"
"incongruent","1","3","2","a","474","5","128"
"congruent","1","4","7","a","377","3","128"
"incongruent","1","1","4","l","431","3","128"
"incongruent","1","1","3","l","447","2","128"
"incongruent","1","2","2","a","369","4","128"
"incongruent","1","3","6","l","366","3","128"
"congruent","1","2","5","a","448","3","128"
"congruent","1","3","2","l","398","5","128"
"congruent","1","1","3","l","453","4","128"
"congruent","1","4","8","a","397","4","128"
"incongruent","1","3","2","a","439","5","128"
"incongruent","1","2","3","a","416","5","128"
"congruent","1","2","4","a","411","2","128"
"congruent","1","3","6","a","462","3","128"
"congruent","1","4","2","l","348","6","128"
"congruent","1","2","4","a","355","2","128"
"incongruent","1","2","5","l","788","3","128"
"congruent","1","4","4","l","436","8","128"
"incongruent","0","2","4","a","472","2","128"
"congruent","1","1","4","l","483","5","128"
"incongruent","0","3","7","a","437","4","128"
"incongruent","1","1","3","a","507","4","128"
"incongruent","1","2","5","l","420","3","128"
"incongruent","0","3","3","l","500","6","128"
"congruent","1","1","2","l","471","3","128"
"incongruent","1","4","6","l","615","2","128"
"congruent","1","2","2","l","461","4","128"
"incongruent","1","1","3","l","470","2","128"
"congruent","1","1","3","l","465","4","128"
"incongruent","1","4","4","a","433","8","128"
"congruent","1","3","7","a","458","4","128"
"congruent","1","3","3","l","435","6","128"
"congruent","1","1","3","a","698","2","128"
"incongruent","1","4","7","l","633","3","128"
"congruent","1","2","4","l","496","6","128"
"congruent","1","4","2","l","475","6","128"
"incongruent","1","1","3","a","507","4","128"
"congruent","1","3","5","a","418","2","128"
"incongruent","1","1","5","l","526","4","128"
"congruent","1","3","4","l","461","7","128"
"incongruent","1","1","2","a","499","3","128"
"congruent","1","1","5","a","559","4","128"
"incongruent","1","3","4","a","508","7","128"
"congruent","1","4","8","a","403","4","128"
"incongruent","1","3","6","l","499","3","128"
"congruent","1","2","3","l","535","5","128"
"incongruent","1","1","2","a","439","3","128"
"congruent","1","4","6","a","461","2","128"
"congruent","1","4","3","l","405","7","128"
"congruent","1","3","3","l","843","6","128"
"incongruent","1","4","4","a","451","8","128"
"congruent","1","1","4","a","495","3","128"
"congruent","1","3","7","a","393","4","128"
"congruent","1","3","5","a","415","2","128"
"incongruent","1","1","4","a","626","5","128"
"incongruent","1","4","3","a","543","7","128"
"congruent","1","2","5","a","445","3","128"
"incongruent","1","2","6","l","492","4","128"
"congruent","1","2","6","a","400","4","128"
"congruent","1","3","2","l","380","5","128"
"congruent","1","1","3","a","518","2","128"
"congruent","1","3","6","a","407","3","128"
"incongruent","1","2","2","a","391","4","128"
"incongruent","1","2","6","l","423","4","128"
"congruent","1","2","2","l","435","4","128"
"congruent","1","4","4","l","458","8","128"
"congruent","1","3","4","l","467","7","128"
"incongruent","1","2","3","a","519","5","128"
"congruent","1","1","4","a","383","3","128"
"congruent","1","1","3","l","357","4","128"
"congruent","0","1","4","a","373","5","128"
"congruent","1","3","3","l","427","6","128"
"incongruent","1","4","3","a","618","7","128"
"congruent","1","1","5","a","469","4","128"
"incongruent","0","2","4","a","494","2","128"
"congruent","1","3","7","a","637","4","128"
"congruent","1","4","7","a","355","3","128"
"incongruent","1","2","6","l","370","4","128"
"incongruent","1","1","5","l","423","4","128"
"incongruent","0","1","3","a","532","2","128"
"congruent","1","4","3","l","413","7","128"
"incongruent","1","2","2","a","469","4","128"
"congruent","1","2","2","l","403","4","128"
"incongruent","1","3","2","a","881","5","128"
"incongruent","1","1","3","a","534","4","128"
"congruent","1","4","4","l","372","8","128"
"incongruent","1","2","5","l","463","3","128"
"incongruent","1","4","2","a","487","6","128"
"incongruent","1","1","2","a","407","3","128"
"congruent","1","3","5","a","448","2","128"
"incongruent","1","3","5","l","434","2","128"
"congruent","1","1","3","a","477","2","128"
"incongruent","1","4","4","a","531","8","128"
"incongruent","1","2","5","l","482","3","128"
"incongruent","1","3","4","a","420","7","128"
"incongruent","1","3","2","a","973","5","128"
"congruent","1","1","3","l","554","4","128"
"congruent","1","2","2","l","497","4","128"
"congruent","1","3","7","a","405","4","128"
"congruent","1","2","6","a","806","4","128"
